# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.10732e-05 to 20.1095 h/Mpc,
# number of wavenumbers equal to 847
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       6.635624518613e-04      -6.989044296280e-01      -3.551386280901e+00      -3.551592553239e+00      -6.617304590072e-01      -6.609674754575e-01      -3.550766362041e+00       4.851995939768e-01       4.852069986681e-01 
       7.120040827310e-04      -6.221775650770e-01      -4.086516145455e+00      -4.086777335541e+00      -5.849062706737e-01      -5.841996913036e-01      -4.085773028182e+00       4.849068412927e-01       4.849165783333e-01 
       7.640644534552e-04      -5.518724149234e-01      -4.702963927932e+00      -4.703292836597e+00      -5.167302073806e-01      -5.160752529902e-01      -4.702087868687e+00       4.845829457911e-01       4.845933258056e-01 
       8.199451635708e-04      -4.990691564220e-01      -5.412169502964e+00      -5.412581046916e+00      -4.685779495305e-01      -4.679594007155e-01      -5.411152467368e+00       4.842251921702e-01       4.842347175158e-01 
       8.798188576122e-04      -4.721996720368e-01      -6.226478501054e+00      -6.226989668094e+00      -4.487614614955e-01      -4.481552689923e-01      -6.225313100518e+00       4.838307042722e-01       4.838382913478e-01 
       9.438205940852e-04      -4.730565977809e-01      -7.158972136345e+00      -7.159601807154e+00      -4.583686736086e-01      -4.577472802233e-01      -7.157649377826e+00       4.833964955124e-01       4.834016562135e-01 
       1.012040408795e-03      -4.936985108656e-01      -8.223235887333e+00      -8.224004460395e+00      -4.881374043695e-01      -4.874784868473e-01      -8.221741961834e+00       4.829196037040e-01       4.829225123630e-01 
       1.084517963725e-03      -5.166828072949e-01      -9.433078284768e+00      -9.434007138778e+00      -5.189015494837e-01      -5.181977410646e-01      -9.431391383075e+00       4.823973044241e-01       4.823986899562e-01 
       1.161239995243e-03      -5.206138627541e-01      -1.080221968043e+01      -1.080333059631e+01      -5.276284375271e-01      -5.268934031957e-01      -1.080030844616e+01       4.818273879803e-01       4.818282447577e-01 
       1.242140937371e-03      -4.904891980358e-01      -1.234397644958e+01      -1.234529103028e+01      -4.983835006820e-01      -4.976492764057e-01      -1.234180144403e+01       4.812084174146e-01       4.812096139013e-01 
       1.327106664275e-03      -4.282284140506e-01      -1.407096749394e+01      -1.407250675515e+01      -4.332987089846e-01      -4.326022722718e-01      -1.406848584454e+01       4.805398694559e-01       4.805418111156e-01 
       1.415980872486e-03      -3.557315760915e-01      -1.599486690398e+01      -1.599665122157e+01      -3.555655757149e-01      -3.549291914368e-01      -1.599203816101e+01       4.798220917721e-01       4.798246062891e-01 
       1.508573308148e-03      -3.047702478759e-01      -1.812621878754e+01      -1.812826824253e+01      -2.987028143223e-01      -2.981193338154e-01      -1.812300830526e+01       4.790560695814e-01       4.790585895945e-01 
       1.600463238080e-03      -2.959553421516e-01      -2.036866770139e+01      -2.037099025652e+01      -2.849301674778e-01      -2.843652450989e-01      -2.036506318378e+01       4.782790727330e-01       4.782810558514e-01 
       1.604668900590e-03      -2.964975210554e-01      -2.047432163398e+01      -2.047665693889e+01      -2.852778734108e-01      -2.847128558231e-01      -2.047069872145e+01       4.782431323417e-01       4.782450830042e-01 
       1.704036898571e-03      -3.238407253480e-01      -2.304717998662e+01      -2.304982390683e+01      -3.089486754202e-01      -3.083620426239e-01      -2.304311157926e+01       4.773847434919e-01       4.773859018875e-01 
       1.806439278128e-03      -3.527003323306e-01      -2.585151501641e+01      -2.585449410280e+01      -3.360058776805e-01      -3.353806011071e-01      -2.584695997304e+01       4.764824810855e-01       4.764830774097e-01 
       1.911637934601e-03      -3.460184442447e-01      -2.889282066481e+01      -2.889616725167e+01      -3.299681657102e-01      -3.293241427165e-01      -2.888773098748e+01       4.755381557683e-01       4.755386588118e-01 
       2.019400420676e-03      -2.944507993344e-01      -3.217545251377e+01      -3.217920640745e+01      -2.820860883850e-01      -2.814651573246e-01      -3.216978275559e+01       4.745539237840e-01       4.745546828934e-01 
       2.129504201157e-03      -2.267028195651e-01      -3.570273576011e+01      -3.570694561245e+01      -2.206133656782e-01      -2.200445038843e-01      -3.569645489127e+01       4.735322466623e-01       4.735332675821e-01 
       2.241739541922e-03      -1.864756647230e-01      -3.947708271222e+01      -3.948180648338e+01      -1.868632388817e-01      -1.863368061894e-01      -3.947017871657e+01       4.724757009041e-01       4.724767151285e-01 
       2.355911234221e-03      -1.934848861817e-01      -4.350010865494e+01      -4.350541342264e+01      -1.970041926791e-01      -1.964798955362e-01      -4.349258183384e+01       4.713867431919e-01       4.713874828382e-01 
       2.471839387193e-03      -2.248566215725e-01      -4.777274495649e+01      -4.777870584044e+01      -2.259451137736e-01      -2.253890015046e-01      -4.776459555986e+01       4.702676377497e-01       4.702680637013e-01 
       2.589359517119e-03      -2.372158510313e-01      -5.229533884201e+01      -5.230203733762e+01      -2.315164840412e-01      -2.309331251301e-01      -5.228656050062e+01       4.691205004495e-01       4.691207960993e-01 
       2.708322136466e-03      -2.097786223246e-01      -5.706774468039e+01      -5.707526676048e+01      -1.968592758111e-01      -1.962869058794e-01      -5.705832947425e+01       4.679474297678e-01       4.679477999121e-01 
       2.828592010923e-03      -1.649241787958e-01      -6.208940246584e+01      -6.209783657880e+01      -1.476640660872e-01      -1.471357646831e-01      -6.207935124077e+01       4.667505376343e-01       4.667510234544e-01 
