# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.60881e-06 to 21.9587 h/Mpc,
# number of wavenumbers equal to 853
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       5.056678639574e-04      -7.771223978128e-01      -2.707342055405e+00      -2.707480278921e+00      -7.432364571430e-01      -7.424470594563e-01      -2.706841110605e+00       4.471331294251e-01       4.471338725069e-01 
       5.374071853343e-04      -7.182053039713e-01      -3.056464851139e+00      -3.056635562293e+00      -6.816038396389e-01      -6.808511529889e-01      -3.055861389830e+00       4.469046873137e-01       4.469103660165e-01 
       5.711927319294e-04      -6.499850350973e-01      -3.451086090448e+00      -3.451296208050e+00      -6.115169169279e-01      -6.108081627757e-01      -3.450368664682e+00       4.466551050026e-01       4.466644803168e-01 
       6.071797585811e-04      -5.776197325988e-01      -3.897433502581e+00      -3.897691179997e+00      -5.385050311662e-01      -5.378435502913e-01      -3.896591415549e+00       4.463825973843e-01       4.463943136001e-01 
       6.455249558241e-04      -5.077636438739e-01      -4.402479149663e+00      -4.402793876968e+00      -4.695843174220e-01      -4.689685546406e-01      -4.401502778742e+00       4.460852227576e-01       4.460978944008e-01 
       6.863834258880e-04      -4.478130717549e-01      -4.973966994593e+00      -4.974349688213e+00      -4.124297531962e-01      -4.118528431790e-01      -4.972847845465e+00       4.457608611004e-01       4.457731891001e-01 
       7.299050697801e-04      -4.045291891456e-01      -5.620419547351e+00      -5.620882571791e+00      -3.739040449154e-01      -3.733543990646e-01      -5.619149798736e+00       4.454071978105e-01       4.454181047072e-01 
       7.762304804195e-04      -3.821141614491e-01      -6.351117500248e+00      -6.351674624663e+00      -3.580309714875e-01      -3.574941576100e-01      -6.349688875454e+00       4.450217252050e-01       4.450304882543e-01 
       8.254865149471e-04      -3.801297651216e-01      -7.176047116777e+00      -7.176713381924e+00      -3.638365621301e-01      -3.632984304509e-01      -7.174449025354e+00       4.446017799980e-01       4.446081302752e-01 
       8.777817983007e-04      -3.920522857347e-01      -8.105811702290e+00      -8.106603211510e+00      -3.838983050617e-01      -3.833487801990e-01      -8.104028886647e+00       4.441446271357e-01       4.441487773168e-01 
       9.332024751379e-04      -4.055540975567e-01      -9.151506371777e+00      -9.152439972959e+00      -4.047370358462e-01      -4.041733781177e-01      -9.149516606793e+00       4.436476002736e-01       4.436501702807e-01 
       9.918085613878e-04      -4.054535421094e-01      -1.032455859813e+01      -1.032565157509e+01      -4.100129879390e-01      -4.094410089454e-01      -1.032233141990e+01       4.431082851412e-01       4.431101187798e-01 
       1.053631235555e-03      -3.793639317376e-01      -1.163654136591e+01      -1.163781107950e+01      -3.865045407819e-01      -3.859366671961e-01      -1.163403865621e+01       4.425247174421e-01       4.425266230994e-01 
       1.118671346315e-03      -3.243497560939e-01      -1.309896885098e+01      -1.310043253233e+01      -3.310597556065e-01      -3.305101824475e-01      -1.309614776784e+01       4.418955387974e-01       4.418980313504e-01 
       1.186899301353e-03      -2.511272006774e-01      -1.472308753307e+01      -1.472476223782e+01      -2.548907245421e-01      -2.543697071180e-01      -1.471990498883e+01       4.412200562901e-01       4.412232011315e-01 
       1.258256359613e-03      -1.818899388453e-01      -1.651967634637e+01      -1.652157918664e+01      -1.811930819795e-01      -1.807034869319e-01      -1.651609306374e+01       4.404981795328e-01       4.405016191251e-01 
       1.332657200755e-03      -1.402732841958e-01      -1.849886882319e+01      -1.850101757962e+01      -1.346812711461e-01      -1.342195027322e-01      -1.849485052294e+01       4.397302665885e-01       4.397334360700e-01 
       1.340840250952e-03      -1.380908914686e-01      -1.872312362912e+01      -1.872529995974e+01      -1.319824531314e-01      -1.315233300100e-01      -1.871905660414e+01       4.396449146326e-01       4.396480228902e-01 
       1.409993519211e-03      -1.371608862376e-01      -2.067000693028e+01      -2.067242096644e+01      -1.270157970724e-01      -1.265760943811e-01      -2.066552126307e+01       4.389169426849e-01       4.389193805903e-01 
       1.490138307530e-03      -1.610899788169e-01      -2.304153309709e+01      -2.304423471864e+01      -1.471775416594e-01      -1.467556383775e-01      -2.303654393526e+01       4.380589994069e-01       4.380605910664e-01 
