#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]           19:delta_ddec[0]         20:theta_ddec[0]         21:shear_ddec[0]         22:cs2_ddec[0]        
       7.437249978102e-01       1.550376431920e-06      -1.215343165075e+00       2.256552031820e-07       4.251636719780e-13       1.062909179945e-12       1.126539763559e-21       2.125818359890e-13      -9.115073738064e-01       2.256552031820e-07       6.076606119244e-01       6.961642367235e-01      -9.115073738064e-01       2.256552145875e-07      -1.215343165265e+00       2.256551976001e-07       2.241690541057e-08       3.333333333333e-01      -1.215343165075e+00       2.256551976176e-07       2.239380967398e-08       3.333333333333e-01 
       7.523272385692e-01       1.568334071311e-06      -1.215367707207e+00       2.282661603926e-07       4.401036520580e-13       1.100259130145e-12       1.193296008701e-21       2.200518260290e-13      -9.115257804053e-01       2.282661603926e-07       6.076588325362e-01       6.961581018413e-01      -9.115257804053e-01       2.282661721981e-07      -1.215367707401e+00       2.282661546146e-07       2.293807443194e-08       3.333333333333e-01      -1.215367707207e+00       2.282661546327e-07       2.291444174422e-08       3.333333333333e-01 
       7.609294793283e-01       1.586292289816e-06      -1.215391779518e+00       2.308770497871e-07       4.553897771715e-13       1.138474442929e-12       1.263181523358e-21       2.276948885858e-13      -9.115438346386e-01       2.308770497871e-07       6.076571109839e-01       6.961520844218e-01      -9.115438346386e-01       2.308770620020e-07      -1.215391779717e+00       2.308770438085e-07       2.346523892745e-08       3.333333333333e-01      -1.215391779518e+00       2.308770438273e-07       2.344106311159e-08       3.333333333333e-01 
       7.891052951095e-01       1.645116769563e-06      -1.215467539978e+00       2.394282960297e-07       5.079305935379e-13       1.269826483845e-12       1.515353273469e-21       2.539652967690e-13      -9.116006549834e-01       2.394282960297e-07       6.076518664504e-01       6.961331465154e-01      -9.116006549834e-01       2.394283096513e-07      -1.215467540192e+00       2.394282893617e-07       2.523389320544e-08       3.333333333333e-01      -1.215467539978e+00       2.394282893826e-07       2.520789517672e-08       3.333333333333e-01 
       8.172811108907e-01       1.703947462210e-06      -1.215539268988e+00       2.479788847239e-07       5.643673657860e-13       1.410918414465e-12       1.806301962788e-21       2.821836828930e-13      -9.116544517413e-01       2.479788847239e-07       6.076471292442e-01       6.961152165516e-01      -9.116544517413e-01       2.479788998562e-07      -1.215539269218e+00       2.479788773154e-07       2.706686130781e-08       3.333333333333e-01      -1.215539268988e+00       2.479788773386e-07       2.703897480484e-08       3.333333333333e-01 
       8.454569266719e-01       1.762784367757e-06      -1.215607632956e+00       2.565288715903e-07       6.248399287885e-13       1.562099821971e-12       2.140342208916e-21       3.124199643942e-13      -9.117057247167e-01       2.565288715903e-07       6.076428159982e-01       6.960981279290e-01      -9.117057247167e-01       2.565288883410e-07      -1.215607633201e+00       2.565288633884e-07       2.896413834270e-08       3.333333333333e-01      -1.215607632956e+00       2.565288634141e-07       2.893429710915e-08       3.333333333333e-01 
       8.736327424532e-01       1.821627486205e-06      -1.215673081792e+00       2.650782841857e-07       6.894881175303e-13       1.723720293826e-12       2.522098176429e-21       3.447440587651e-13      -9.117548113440e-01       2.650782841857e-07       6.076388805360e-01       6.960817681693e-01      -9.117548113440e-01       2.650783026661e-07      -1.215673082054e+00       2.650782751357e-07       3.092572037097e-08       3.333333333333e-01      -1.215673081792e+00       2.650782751640e-07       3.089385815455e-08       3.333333333333e-01 
       9.018085582344e-01       1.880476817553e-06      -1.215735955247e+00       2.736271373630e-07       7.584517889443e-13       1.896129472361e-12       2.956514467051e-21       3.792258944721e-13      -9.118019664352e-01       2.736271373630e-07       6.076352925163e-01       6.960660523353e-01      -9.118019664352e-01       2.736271576882e-07      -1.215735955526e+00       2.736271274083e-07       3.295160309966e-08       3.333333333333e-01      -1.215735955247e+00       2.736271274395e-07       3.291765365251e-08       3.333333333333e-01 
       9.299843740156e-01       1.939332361802e-06      -1.215796601085e+00       2.821754579553e-07       8.318708849876e-13       2.079677212469e-12       3.448867220067e-21       4.159354424938e-13      -9.118474508140e-01       2.821754579553e-07       6.076320108432e-01       6.960508934858e-01      -9.118474508140e-01       2.821754802440e-07      -1.215796601382e+00       2.821754470374e-07       3.504178252922e-08       3.333333333333e-01      -1.215796601085e+00       2.821754470716e-07       3.500567960759e-08       3.333333333333e-01 
       1.002650667627e+00       2.091151290556e-06      -1.215944643914e+00       3.042195306899e-07       1.042769988243e-12       2.606924970608e-12       5.026613492848e-21       5.213849941217e-13      -9.119584829357e-01       3.042195306899e-07       6.076247295820e-01       6.960138898804e-01      -9.119584829357e-01       3.042195586167e-07      -1.215944644259e+00       3.042195170056e-07       4.072913509749e-08       3.333333333333e-01      -1.215944643914e+00       3.042195170484e-07       4.068717259827e-08       3.333333333333e-01 
