# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       7.305901709257e+13       1.328711368694e-25       5.951733328402e-09       1.227340960477e+22       1.372279007890e+04       1.878315726792e-10       1.002573554932e+18       3.436750222113e-09       7.839247429430e+43       9.701035002625e+32       5.133591955499e+33       7.224410902611e+43       2.408136967537e+43       5.697620130165e-08       1.506365833265e+44       4.336919209508e-06       3.185701367918e+00 
       7.255115897971e+13       1.347378434713e-25       5.993570084684e-09       1.210336936852e+22       1.372279007890e+04       1.891463936880e-10       9.956043246593e+17       3.460807473667e-09       7.623536606878e+43       9.500132443301e+32       5.027278375339e+33       7.025618399596e+43       2.341872799865e+43       5.697620130165e-08       1.464915500707e+44       4.433295191941e-06       3.116446990355e+00 
       7.204683116158e+13       1.366307754342e-25       6.035406840965e-09       1.193568493092e+22       1.372279007890e+04       1.904704184438e-10       9.886835398801e+17       3.485033125983e-09       7.413761450905e+43       9.303390454301e+32       4.923166485034e+33       6.832296025535e+43       2.277432008512e+43       5.697620130165e-08       1.424605747703e+44       4.529671174375e-06       3.050139607581e+00 
       7.154600909790e+13       1.385503011983e-25       6.079062586650e-09       1.177032365391e+22       1.372279007890e+04       1.918037113729e-10       9.818108638333e+17       3.509428357864e-09       7.209758631098e+43       9.110722872733e+32       4.821210688920e+33       6.644293260110e+43       2.214764420037e+43       5.697620130165e-08       1.385405189178e+44       4.626047156808e-06       2.986595032423e+00 
       7.104866841896e+13       1.404967943798e-25       6.120899342932e-09       1.160725335158e+22       1.372279007890e+04       1.931463373525e-10       9.749859620986e+17       3.533994356369e-09       7.011369311369e+43       8.922045320087e+32       4.721366335593e+33       6.461463724837e+43       2.153821241612e+43       5.697620130165e-08       1.347283303677e+44       4.722423139241e-06       2.925644113395e+00 
       7.055478492449e+13       1.424706338440e-25       6.164555088617e-09       1.144644228393e+22       1.372279007890e+04       1.944983617140e-10       9.682085025805e+17       3.558732316864e-09       6.818439026289e+43       8.737275165282e+32       4.623589698350e+33       6.283665069096e+43       2.094555023032e+43       5.697620130165e-08       1.310210409594e+44       4.818799121675e-06       2.867131231127e+00 
       7.006433458242e+13       1.444722037789e-25       6.206391844898e-09       1.128785915072e+22       1.372279007890e+04       1.958598502460e-10       9.614781554921e+17       3.583643443081e-09       6.630817560821e+43       8.556331488473e+32       4.527837956045e+33       6.110758859298e+43       2.036919619766e+43       5.697620130165e-08       1.274157642066e+44       4.915175104108e-06       2.810912971693e+00 
       6.957729352772e+13       1.465018937698e-25       6.250047590584e-09       1.113147308535e+22       1.372279007890e+04       1.972308691977e-10       9.547945933387e+17       3.608728947183e-09       6.448358833359e+43       8.379135045620e+32       4.434069174330e+33       5.942610471099e+43       1.980870157033e+43       5.697620130165e-08       1.239096930499e+44       5.011551086542e-06       2.756856953007e+00 
       6.909363806129e+13       1.485600988753e-25       6.293703336269e-09       1.097725364884e+22       1.372279007890e+04       1.986114852821e-10       9.481574909024e+17       3.633990049813e-09       6.270920781994e+43       8.205608233777e+32       4.342242287292e+33       5.779088984584e+43       1.926362994861e+43       5.697620130165e-08       1.205000976709e+44       5.107927068975e-06       2.704840784082e+00 
       6.861334464875e+13       1.506472197044e-25       6.339178071357e-09       1.082517082393e+22       1.372279007890e+04       2.000017656791e-10       9.415665252258e+17       3.659427980161e-09       6.098365253901e+43       8.035675057108e+32       4.252317079467e+33       5.620067082331e+43       1.873355694110e+43       5.697620130165e-08       1.171843233674e+44       5.204303051409e-06       2.654751139932e+00 
       6.813638991932e+13       1.527636624940e-25       6.382833817042e-09       1.067519500925e+22       1.372279007890e+04       2.014017780388e-10       9.350213755966e+17       3.685043976022e-09       5.930557897776e+43       7.869261093605e+32       4.164254168233e+33       5.465420950283e+43       1.821806983428e+43       5.697620130165e-08       1.139597884855e+44       5.300679033842e-06       2.606482937388e+00 
       6.766275066466e+13       1.549098391884e-25       6.426489562728e-09       1.052729701351e+22       1.372279007890e+04       2.028115904851e-10       9.285217235319e+17       3.710839283854e-09       5.767368059232e+43       7.706293462495e+32       4.078014986553e+33       5.315030181349e+43       1.771676727116e+43       5.697620130165e-08       1.108239824107e+44       5.397055016275e-06       2.559938599221e+00 
       6.719240383780e+13       1.570861675191e-25       6.471964297816e-09       1.038144804986e+22       1.372279007890e+04       2.042312716185e-10       9.220672527625e+17       3.736815158841e-09       5.608668679067e+43       7.546700792321e+32       3.993561766094e+33       5.168777681651e+43       1.722925893884e+43       5.697620130165e-08       1.077744636119e+44       5.493430998709e-06       2.515027395726e+00 
       6.672532655193e+13       1.592930710866e-25       6.517439032905e-09       1.023761973027e+22       1.372279007890e+04       2.056608905198e-10       9.156576492180e+17       3.762972864952e-09       5.454336194339e+43       7.390413189687e+32       3.910857520680e+33       5.026549579358e+43       1.675516526453e+43       5.697620130165e-08       1.048088577416e+44       5.589806981142e-06       2.471664854420e+00 
       6.626149607938e+13       1.615309794423e-25       6.562913767993e-09       1.009578406001e+22       1.372279007890e+04       2.071005167534e-10       9.092926010109e+17       3.789313675007e-09       5.304250442161e+43       7.237362208646e+32       3.829866030097e+33       4.888235136024e+43       1.629411712008e+43       5.697620130165e-08       1.019248557864e+44       5.686182963576e-06       2.429772229769e+00 
       6.580088985043e+13       1.638003281725e-25       6.608388503082e-09       9.955913432205e+21       1.372279007890e+04       2.085502203707e-10       9.029717984220e+17       3.815838870732e-09       5.158294566142e+43       7.087480820724e+32       3.750551824231e+33       4.753726660369e+43       1.584575553456e+43       5.697620130165e-08       9.912021226957e+43       5.782558946009e-06       2.389276025940e+00 
