# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02716e-05 to 23.4501 h/Mpc,
# number of wavenumbers equal to 850
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       7.428411618043e-04      -4.738037596570e-01      -5.128756215436e+00      -5.129146549756e+00      -4.397203597066e-01      -5.127696273917e+00       4.638462742718e-01       4.638573410824e-01 
       7.932423100602e-04      -4.357262720360e-01      -5.843794799024e+00      -5.844273078226e+00      -4.073383421769e-01      -5.842585580983e+00       4.634759478200e-01       4.634853985530e-01 
       8.470270718585e-04      -4.219259567591e-01      -6.657404069069e+00      -6.657986253727e+00      -4.010635838605e-01      -6.656037128136e+00       4.630702609284e-01       4.630774252297e-01 
       9.043186217786e-04      -4.297028230039e-01      -7.581271992423e+00      -7.581975472045e+00      -4.173747986866e-01      -7.579735706063e+00       4.626263418523e-01       4.626310998171e-01 
       9.652090971708e-04      -4.484554460619e-01      -8.627605115034e+00      -8.628448385615e+00      -4.444294686201e-01      -8.625881858981e+00       4.621413506869e-01       4.621441232886e-01 
       1.029755036084e-03      -4.614438503798e-01      -9.808921147898e+00      -9.809923386298e+00      -4.640621136160e-01      -9.806984998259e+00       4.616126804574e-01       4.616142786193e-01 
       1.097974391874e-03      -4.514832064062e-01      -1.113781052928e+01      -1.113899114999e+01      -4.578799291515e-01      -1.113562676242e+01       4.610381912302e-01       4.610395391594e-01 
       1.169845483248e-03      -4.093895734232e-01      -1.262668291367e+01      -1.262806116627e+01      -4.161433551433e-01      -1.262421017959e+01       4.604164196854e-01       4.604182303274e-01 
       1.245308022080e-03      -3.412226288854e-01      -1.428751701751e+01      -1.428911175910e+01      -3.452544889768e-01      -1.428471191803e+01       4.597466846898e-01       4.597492130244e-01 
       1.324266112579e-03      -2.687832941408e-01      -1.613163226082e+01      -1.613346209573e+01      -2.681170336805e-01      -1.612845443561e+01       4.590290404706e-01       4.590320354927e-01 
       1.406592886356e-03      -2.199008838787e-01      -1.816949807176e+01      -1.817158172643e+01      -2.139198509757e-01      -1.816591258984e+01       4.582640952454e-01       4.582669921602e-01 
       1.457785448969e-03      -2.098513306643e-01      -1.949557699006e+01      -1.949782313128e+01      -2.008360645191e-01      -1.949173050648e+01       4.577805029478e-01       4.577830662334e-01 
       1.492136275074e-03      -2.114811099164e-01      -2.041059047403e+01      -2.041294780503e+01      -2.006323705147e-01      -2.040656569294e+01       4.574527770531e-01       4.574550422773e-01 
       1.580725352096e-03      -2.357326371907e-01      -2.286330117242e+01      -2.286595445520e+01      -2.210508987087e-01      -2.285880274347e+01       4.565961793401e-01       4.565976174536e-01 
       1.672176697728e-03      -2.616819390673e-01      -2.553489684407e+01      -2.553787239609e+01      -2.446459599006e-01      -2.552988250167e+01       4.556955503311e-01       4.556963873520e-01 
       1.766300337890e-03      -2.552843105029e-01      -2.843152339265e+01      -2.843485331242e+01      -2.380922465338e-01      -2.842594387012e+01       4.547524058222e-01       4.547530990369e-01 
       1.862904940967e-03      -2.058161016554e-01      -3.155824615413e+01      -3.156196992315e+01      -1.914730271813e-01      -3.155205379625e+01       4.537686316408e-01       4.537695439804e-01 
       1.961802099332e-03      -1.368637388901e-01      -3.491911780168e+01      -3.492328336902e+01      -1.282843290509e-01      -3.491227786961e+01       4.527464707578e-01       4.527476465482e-01 
       2.062809646387e-03      -8.913749682848e-02      -3.851726277720e+01      -3.852192706202e+01      -8.730732828345e-02      -3.850975901464e+01       4.516883471392e-01       4.516895460716e-01 
       2.165754053571e-03      -8.627884611467e-02      -4.235497100995e+01      -4.236019956433e+01      -8.883243134044e-02      -4.234680036004e+01       4.505966466558e-01       4.505975869460e-01 
       2.270472011535e-03      -1.134268358123e-01      -4.643379487747e+01      -4.643966093276e+01      -1.153149151696e-01      -4.642495553393e+01       4.494736059480e-01       4.494742029285e-01 
       2.376811329494e-03      -1.305285740663e-01      -5.075464169523e+01      -5.076122447915e+01      -1.268920686138e-01      -5.074512473860e+01       4.483213321995e-01       4.483217378617e-01 
       2.484631293607e-03      -1.104155931571e-01      -5.531785905199e+01      -5.532524211299e+01      -9.953323735705e-02      -5.530765139618e+01       4.471419010561e-01       4.471423365261e-01 
       2.593802617008e-03      -6.532015718058e-02      -6.012331939330e+01      -6.013158850179e+01      -4.896212911330e-02      -6.011241391976e+01       4.459374555995e-01       4.459380102180e-01 
       2.704207097426e-03      -3.397849640935e-02      -6.517048355426e+01      -6.517972544803e+01      -1.484495502441e-02      -6.515888574811e+01       4.447100899932e-01       4.447106718315e-01 
       2.815737078307e-03      -4.074446783784e-02      -7.045847079634e+01      -7.046877237125e+01      -1.975797214598e-02      -7.044619356216e+01       4.434617913663e-01       4.434622535435e-01 
       2.928294789251e-03      -6.895617425072e-02      -7.598610349793e+01      -7.599755175827e+01      -4.551263423185e-02      -7.597315504215e+01       4.421943110129e-01       4.421946094855e-01 
       3.041791623320e-03      -7.794618003607e-02      -8.175196322338e+01      -8.176464663411e+01      -5.286388417370e-02      -8.173834148409e+01       4.409092712075e-01       4.409094968064e-01 
       3.156147393297e-03      -4.677927904770e-02      -8.775442526386e+01      -8.776843551715e+01      -2.863802919862e-02      -8.774012609492e+01       4.396082144828e-01       4.396085756967e-01 
       3.271289596363e-03       2.696196910535e-03      -9.399168494294e+01      -9.400711943602e+01      -3.568723477117e-02      -9.397672101250e+01       4.382926326209e-01       4.382931079807e-01 
       3.387152706862e-03       2.964447152174e-02      -1.004618020081e+02      -1.004787662622e+02      -1.099258955974e-01      -1.004462049348e+02       4.369639749742e-01       4.369644127253e-01 
       3.503677509409e-03       1.908254994822e-02      -1.071627108594e+02      -1.071813210919e+02      -2.073703590043e-01      -1.071465191554e+02       4.356234891924e-01       4.356238073641e-01 
       3.620810479152e-03      -2.519875385652e-03      -1.140922575615e+02      -1.141126423817e+02      -2.647817420478e-01      -1.140755084586e+02       4.342723196346e-01       4.342725551207e-01 
       3.738503212130e-03       1.318500813330e-03      -1.212481996105e+02      -1.212705008252e+02      -2.617815796885e-01      -1.212309332150e+02       4.329114969456e-01       4.329117428397e-01 
       3.856711906024e-03       3.488661069573e-02      -1.286282425646e+02      -1.286526154947e+02      -2.325947934797e-01      -1.286105144349e+02       4.315420644771e-01       4.315423700080e-01 
       3.975396889812e-03       6.636055176597e-02      -1.362300317556e+02      -1.362566433893e+02      -2.263958637176e-01      -1.362119195314e+02       4.301649829385e-01       4.301653141497e-01 
       4.094522199770e-03       6.651669357417e-02      -1.440511846605e+02      -1.440802128872e+02      -2.587867015964e-01      -1.440327828883e+02       4.287811671117e-01       4.287814566680e-01 
       4.214055198624e-03       4.379688289480e-02      -1.520892896763e+02      -1.521209203755e+02      -3.009797305935e-01      -1.520706953545e+02       4.273914210273e-01       4.273916442391e-01 
       4.333966234382e-03       3.351716516327e-02      -1.603418996826e+02      -1.603763253231e+02      -3.145183680498e-01      -1.603232051955e+02       4.259964301919e-01       4.259966250874e-01 
       4.454228335282e-03       5.398537589293e-02      -1.688065877385e+02      -1.688440056145e+02      -2.934495444522e-01      -1.687878863083e+02       4.245969386829e-01       4.245971559645e-01 
       4.574816937406e-03       8.287521989009e-02      -1.774808738296e+02      -1.775214850235e+02      -2.689403799926e-01      -1.774622703135e+02       4.231935567410e-01       4.231938022334e-01 
       4.695709641655e-03       2.345256274919e-01      -1.863620201134e+02      -1.864060304098e+02       2.383267753702e-01      -1.863435457698e+02       4.217862483713e-01       4.217862483713e-01 
       4.816885997007e-03       2.337437186322e-01      -1.954480067068e+02      -1.954956267852e+02       2.375321673646e-01      -1.954298663310e+02       4.203767166744e-01       4.203767166744e-01 
       4.938327307253e-03       2.329588015970e-01      -2.047362533554e+02      -2.047877019367e+02       2.367345290293e-01      -2.047185707164e+02       4.189651338579e-01       4.189651338579e-01 
       5.060016458617e-03       2.321743576753e-01      -2.142241453222e+02      -2.142796505743e+02       2.359373498827e-01      -2.142070529084e+02       4.175516708336e-01       4.175516708336e-01 
       5.181937765964e-03       2.313944860479e-01      -2.239088956566e+02      -2.239686971440e+02       2.351447361207e-01      -2.238925363663e+02       4.161361913815e-01       4.161361913815e-01 
       5.304076835506e-03       2.306001366444e-01      -2.337894020800e+02      -2.338537540382e+02       2.343376230430e-01      -2.337739314804e+02       4.147216118630e-01       4.147216118630e-01 
       5.426420442150e-03       2.298082252147e-01      -2.438620558747e+02      -2.439312274073e+02       2.335329454488e-01      -2.438476431021e+02       4.133061135290e-01       4.133061135290e-01 
       5.548956419837e-03       2.290180241001e-01      -2.541244851436e+02      -2.541987609851e+02       2.327299782882e-01      -2.541113131825e+02       4.118902103407e-01       4.118902103407e-01 
       5.671673563417e-03       2.283008242235e-01      -2.645684895998e+02      -2.646481698179e+02       2.320000854815e-01      -2.645567567439e+02       4.104653060262e-01       4.104653060262e-01 
       5.794561540740e-03       2.275088398360e-01      -2.752033389476e+02      -2.752887392159e+02       2.311953378385e-01      -2.751932539002e+02       4.090502203827e-01       4.090502203827e-01 
       5.917610813838e-03       2.267212482217e-01      -2.860204716977e+02      -2.861119188387e+02       2.303949930688e-01      -2.860122550580e+02       4.076353221573e-01       4.076353221573e-01 
       6.040812568160e-03       2.259335710784e-01      -2.970178750983e+02      -2.971157076385e+02       2.295945706249e-01      -2.970117579064e+02       4.062214457101e-01       4.062214457101e-01 
       6.164158648985e-03       2.251361892687e-01      -3.081941385138e+02      -3.082987030182e+02       2.287844441785e-01      -3.081903589907e+02       4.048100850418e-01       4.048100850418e-01 
       6.287641504205e-03       2.243068178217e-01      -3.195491917355e+02      -3.196608448149e+02       2.279423080803e-01      -3.195479965764e+02       4.034041957547e-01       4.034041957547e-01 
