#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       7.008119314877e-02       1.512226124851e-07      -1.202341153305e+00       2.106269505294e-06       3.791105306977e-14       9.477763267444e-14       9.595818330665e-24       1.895552653489e-14      -9.017558649788e-01       2.106269505294e-06       6.011221815990e-01       6.994147362758e-01      -1.202341153305e+00       2.106269459307e-06       1.968165150085e-08      -9.017558649788e-01       2.106269600887e-06 
       7.015349948409e-02       1.513786564032e-07      -1.202338288836e+00       2.108437350413e-06       3.802843268998e-14       9.507108172495e-14       9.645403828139e-24       1.901421634499e-14      -9.017537166272e-01       2.108437350413e-06       6.011228603947e-01       6.994154524438e-01      -1.202338288836e+00       2.108437304283e-06       1.972229818858e-08      -9.017537166272e-01       2.108437446302e-06 
       7.022580581941e-02       1.515347003622e-07      -1.202335480950e+00       2.110605284569e-06       3.814605597581e-14       9.536513993952e-14       9.695194516189e-24       1.907302798790e-14      -9.017516107126e-01       2.110605284569e-06       6.011235268117e-01       6.994161544662e-01      -1.202335480950e+00       2.110605238297e-06       1.976298651767e-08      -9.017516107126e-01       2.110605380756e-06 
       7.053816734972e-02       1.522088067681e-07      -1.202330940213e+00       2.119983960419e-06       3.865721489165e-14       9.664303722912e-14       9.912719569808e-24       1.932860744582e-14      -9.017482051600e-01       2.119983960419e-06       6.011246805967e-01       6.994172898707e-01      -1.202330940213e+00       2.119983913526e-06       1.993920602860e-08      -9.017482051600e-01       2.119984057895e-06 
       7.085052888004e-02       1.528829139375e-07      -1.202330283906e+00       2.129369435675e-06       3.917304537102e-14       9.793261342755e-14       1.013416416076e-23       1.958652268551e-14      -9.017477129295e-01       2.129369435675e-06       6.011249526377e-01       6.994174541687e-01      -1.202330283906e+00       2.129369388156e-06       2.011618967540e-08      -9.017477129295e-01       2.129369534451e-06 
       7.116289041035e-02       1.535570218706e-07      -1.202330739154e+00       2.138756864809e-06       3.969348093796e-14       9.923370234489e-14       1.035955841421e-23       1.984674046898e-14      -9.017480543657e-01       2.138756864809e-06       6.011249718177e-01       6.994173405789e-01      -1.202330739154e+00       2.138756816659e-06       2.029394999575e-08      -9.017480543657e-01       2.138756964897e-06 
       7.147525194066e-02       1.542311305672e-07      -1.202331394988e+00       2.148144650687e-06       4.021851279861e-14       1.005462819965e-13       1.058894731366e-23       2.010925639931e-14      -9.017485462413e-01       2.148144650687e-06       6.011249453453e-01       6.994171768435e-01      -1.202331394988e+00       2.148144601900e-06       2.047249142346e-08      -9.017485462413e-01       2.148144752099e-06 
       7.227002326564e-02       1.559463332587e-07      -1.202332053178e+00       2.172029063675e-06       4.157520015269e-14       1.039380003817e-13       1.119096094482e-23       2.078760007634e-14      -9.017490398834e-01       2.172029063675e-06       6.011251269566e-01       6.994170128684e-01      -1.202332053178e+00       2.172029013242e-06       2.093029785885e-08      -9.017490398834e-01       2.172029168507e-06 
       7.306479459062e-02       1.576615408936e-07      -1.202332631389e+00       2.195913286222e-06       4.296205843265e-14       1.074051460816e-13       1.182004992826e-23       2.148102921633e-14      -9.017494735420e-01       2.195913286222e-06       6.011253282932e-01       6.994168688941e-01      -1.202332631389e+00       2.195913234107e-06       2.139316624563e-08      -9.017494735420e-01       2.195913394552e-06 
       7.385956591560e-02       1.593767534719e-07      -1.202333299933e+00       2.219797631842e-06       4.437942566419e-14       1.109485641605e-13       1.247711923555e-23       2.218971283209e-14      -9.017499749494e-01       2.219797631842e-06       6.011255075248e-01       6.994167023432e-01      -1.202333299933e+00       2.219797578007e-06       2.186109667100e-08      -9.017499749494e-01       2.219797743745e-06 
       7.465433724059e-02       1.610919709936e-07      -1.202334005576e+00       2.243682001126e-06       4.582763197999e-14       1.145690799500e-13       1.316309159282e-23       2.291381598999e-14      -9.017505041823e-01       2.243682001126e-06       6.011256763769e-01       6.994165265235e-01      -1.202334005576e+00       2.243681945534e-06       2.233408910482e-08      -9.017505041823e-01       2.243682116680e-06 
       7.692924789482e-02       1.660015446148e-07      -1.202337583718e+00       2.312050109167e-06       5.014640072147e-14       1.253660018037e-13       1.529490278630e-23       2.507320036073e-14      -9.017531877889e-01       2.312050109167e-06       6.011257647069e-01       6.994156337153e-01      -1.202337583718e+00       2.312050048337e-06       2.371593980135e-08      -9.017531877889e-01       2.312050235610e-06 
       7.920415854905e-02       1.709111587374e-07      -1.202342177034e+00       2.380420066956e-06       5.472838721741e-14       1.368209680435e-13       1.769441396001e-23       2.736419360871e-14      -9.017566327753e-01       2.380420066956e-06       6.011255881941e-01       6.994144871656e-01      -1.202342177034e+00       2.380420000567e-06       2.513926601978e-08      -9.017566327753e-01       2.380420204950e-06 
       8.147906920328e-02       1.758208133613e-07      -1.202346936102e+00       2.448790317609e-06       5.958134780083e-14       1.489533695021e-13       2.038607364792e-23       2.979067390041e-14      -9.017602020764e-01       2.448790317609e-06       6.011253573341e-01       6.994132992296e-01      -1.202346936102e+00       2.448790245334e-06       2.660406852967e-08      -9.017602020764e-01       2.448790467837e-06 
       8.375397985751e-02       1.807305084867e-07      -1.202351519326e+00       2.517160174718e-06       6.471305327716e-14       1.617826331929e-13       2.339577995593e-23       3.235652663858e-14      -9.017636394949e-01       2.517160174718e-06       6.011251582325e-01       6.994121553063e-01      -1.202351519326e+00       2.517160096218e-06       2.811034754979e-08      -9.017636394949e-01       2.517160337883e-06 
       8.602889051174e-02       1.856402441135e-07      -1.202355915098e+00       2.585529582791e-06       7.013128799752e-14       1.753282199938e-13       2.675092308510e-23       3.506564399876e-14      -9.017669363234e-01       2.585529582791e-06       6.011249960561e-01       6.994110582982e-01      -1.202355915098e+00       2.585529497718e-06       2.965810274191e-08      -9.017669363234e-01       2.585529759614e-06 
       9.167492318397e-02       1.978257450311e-07      -1.202365954560e+00       2.755211288907e-06       8.486691829447e-14       2.121672957362e-13       3.676095186820e-23       4.243345914723e-14      -9.017744659198e-01       2.755211288907e-06       6.011247798483e-01       6.994085534584e-01      -1.202365954560e+00       2.755211185961e-06       3.367863753270e-08      -9.017744659198e-01       2.755211502877e-06 
       9.732095585620e-02       2.100114954242e-07      -1.202375715813e+00       2.924891657258e-06       1.015345112310e-13       2.538362780775e-13       4.956584487516e-23       5.076725561549e-14      -9.017817868598e-01       2.924891657258e-06       6.011246188137e-01       6.994061184900e-01      -1.202375715813e+00       2.924891534093e-06       3.795464038451e-08      -9.017817868598e-01       2.924891913242e-06 
       1.029669885284e-01       2.221974952931e-07      -1.202385532775e+00       3.094571433089e-06       1.202531482605e-13       3.006328706512e-13       6.571393430781e-23       6.012657413024e-14      -9.017891495816e-01       3.094571433089e-06       6.011244331038e-01       6.994036699138e-01      -1.202385532775e+00       3.094571287219e-06       4.248610983579e-08      -9.017891495816e-01       3.094571736256e-06 
       1.086130212007e-01       2.343837446375e-07      -1.202395199971e+00       3.264250079840e-06       1.411418761824e-13       3.528546904559e-13       8.582099771458e-23       7.057093809118e-14      -9.017963999785e-01       3.264250079840e-06       6.011242604050e-01       6.994012590985e-01      -1.202395199971e+00       3.264249908631e-06       4.727305177479e-08      -9.017963999785e-01       3.264250435656e-06 
