# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.326212236469e+13       8.690109267062e-26       4.969479050487e-09       1.876595376799e+22       1.419245727533e+04       1.521781503088e-10       1.323618687068e+18       2.869287227188e-09       2.081614238068e+44       2.017959657592e+33       1.067863528163e+34       3.669988173570e-08       1.439995970030e+44       3.521610208225e+44       7.893604635358e-07       1.433565615564e+01 
       9.261382558559e+13       8.812196612155e-26       5.004039849155e-09       1.850596348697e+22       1.419245727533e+04       1.532433973610e-10       1.314417762729e+18       2.889372237778e-09       2.024334923495e+44       1.976168935292e+33       1.045748721263e+34       3.669988173570e-08       1.400371922191e+44       3.424706845810e+44       8.682965098893e-07       1.303241468694e+01 
       9.197003533823e+13       8.935999162359e-26       5.040419637226e-09       1.824957520492e+22       1.419245727533e+04       1.543161011425e-10       1.305280797149e+18       2.909597843442e-09       1.968631751041e+44       1.935243673539e+33       1.024091898619e+34       3.669988173570e-08       1.361838200436e+44       3.330469951599e+44       9.472325562428e-07       1.194638012970e+01 
       9.133072029615e+13       9.061541014590e-26       5.074980435893e-09       1.799673901845e+22       1.419245727533e+04       1.553963138505e-10       1.296207345728e+18       2.929965028346e-09       1.914461350357e+44       1.895165949170e+33       1.002883575656e+34       3.669988173570e-08       1.324364802505e+44       3.238826152981e+44       1.026168602596e-06       1.102742781203e+01 
       9.069584935070e+13       9.188846604304e-26       5.109541234560e-09       1.774740571555e+22       1.419245727533e+04       1.564840880474e-10       1.287196966960e+18       2.950474783545e-09       1.861781544502e+44       1.855918210199e+33       9.821144642157e+33       3.669988173570e-08       1.287922551705e+44       3.149704096324e+44       1.105104648950e-06       1.023975439688e+01 
       9.006539160943e+13       9.317940710248e-26       5.145921022631e-09       1.750152676602e+22       1.419245727533e+04       1.575794766638e-10       1.278249222403e+18       2.971128107029e-09       1.810551317112e+44       1.817483268131e+33       9.617754684945e+33       3.669988173570e-08       1.252483074190e+44       3.063034391417e+44       1.184040695303e-06       9.557104103757e+00 
       8.943931639467e+13       9.448848459286e-26       5.182300810702e-09       1.725905431199e+22       1.419245727533e+04       1.586825330004e-10       1.269363676666e+18       2.991926003779e-09       1.760730780460e+44       1.779844290434e+33       9.418576810560e+33       3.669988173570e-08       1.218018776871e+44       2.978749557443e+44       1.262976741657e-06       8.959785097272e+00 
       8.881759324197e+13       9.581595331290e-26       5.218680598773e-09       1.701994115866e+22       1.419245727533e+04       1.597933107314e-10       1.260539897385e+18       3.012869485805e-09       1.712281144399e+44       1.742984793170e+33       9.223523789319e+33       3.669988173570e-08       1.184502825932e+44       2.896783970441e+44       1.341912788010e-06       8.432738915079e+00 
       8.820019189868e+13       9.716207164099e-26       5.255060386844e-09       1.678414076505e+22       1.419245727533e+04       1.609118639065e-10       1.251777455198e+18       3.033959572205e-09       1.665164686165e+44       1.706888633768e+33       9.032510198010e+33       3.669988173570e-08       1.151909125938e+44       2.817073812210e+44       1.420848834364e-06       7.964253419797e+00 
       8.758708232243e+13       9.852710158547e-26       5.291440174915e-09       1.655160723501e+22       1.419245727533e+04       1.620382469539e-10       1.243075923732e+18       3.055197289211e-09       1.619344721000e+44       1.671540003966e+33       8.845452382488e+33       3.669988173570e-08       1.120212299515e+44       2.739557020620e+44       1.499784880717e-06       7.545082187176e+00 
