#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]        
       7.015582445533e-01       1.615100283471e-06      -1.181679591623e+00       2.070073813093e-07       4.280692923856e-13       1.070173230964e-12       1.244871980802e-21       2.140346461928e-13      -8.862596937175e-01       2.070073813093e-07       5.913676482163e-01       7.045801263316e-01      -8.862596937175e-01       2.070073908835e-07      -1.181679591792e+00       2.070073767495e-07       1.940995385217e-08       3.333333333333e-01 
       7.022826368973e-01       1.616769942196e-06      -1.181679622455e+00       2.072208770883e-07       4.293971885431e-13       1.073492971358e-12       1.251316813818e-21       2.146985942715e-13      -8.862597168414e-01       2.072208770883e-07       5.913681560210e-01       7.045801186737e-01      -8.862597168414e-01       2.072208866922e-07      -1.181679622625e+00       2.072208725144e-07       1.945001680440e-08       3.333333333333e-01 
       7.030070292413e-01       1.618439605028e-06      -1.181679694935e+00       2.074343796197e-07       4.307278441698e-13       1.076819610425e-12       1.257788365283e-21       2.153639220849e-13      -8.862597712011e-01       2.074343796197e-07       5.913686539408e-01       7.045801006039e-01      -8.862597712011e-01       2.074343892533e-07      -1.181679695105e+00       2.074343750316e-07       1.949012085343e-08       3.333333333333e-01 
       7.061167904060e-01       1.625607387064e-06      -1.181687613426e+00       2.083522656502e-07       4.364743057991e-13       1.091185764498e-12       1.285883553627e-21       2.182371528995e-13      -8.862657100692e-01       2.083522656502e-07       5.913690736994e-01       7.045781211967e-01      -8.862657100692e-01       2.083522754122e-07      -1.181687613597e+00       2.083522610009e-07       1.966272095392e-08       3.333333333333e-01 
       7.092265515706e-01       1.632775244783e-06      -1.181699292480e+00       2.092708200948e-07       4.422731044813e-13       1.105682761203e-12       1.314483003289e-21       2.211365522407e-13      -8.862744693600e-01       2.092708200948e-07       5.913686321333e-01       7.045752016496e-01      -8.862744693600e-01       2.092708299863e-07      -1.181699292653e+00       2.092708153838e-07       1.983606613662e-08       3.333333333333e-01 
       7.123363127353e-01       1.639943178183e-06      -1.181712002884e+00       2.101895667102e-07       4.481234874697e-13       1.120308718674e-12       1.343590544802e-21       2.240617437348e-13      -8.862840021633e-01       2.101895667102e-07       5.913679397353e-01       7.045720242658e-01      -8.862840021633e-01       2.101895767323e-07      -1.181712003059e+00       2.101895619369e-07       2.001016900423e-08       3.333333333333e-01 
       7.154460738999e-01       1.647111187267e-06      -1.181724764584e+00       2.111083323726e-07       4.540253187117e-13       1.135063296779e-12       1.373211830962e-21       2.270126593559e-13      -8.862935734382e-01       2.111083323726e-07       5.913672168314e-01       7.045688340592e-01      -8.862935734382e-01       2.111083425264e-07      -1.181724764760e+00       2.111083275364e-07       2.018503360480e-08       3.333333333333e-01 
       7.222821581144e-01       1.662868648530e-06      -1.181751766783e+00       2.131278704235e-07       4.671806055829e-13       1.167951513957e-12       1.440165246266e-21       2.335903027915e-13      -8.863138250876e-01       2.131278704235e-07       5.913658121401e-01       7.045620839928e-01      -8.863138250876e-01       2.131278808710e-07      -1.181751766963e+00       2.131278654473e-07       2.057211409557e-08       3.333333333333e-01 
       7.291182423290e-01       1.678626475520e-06      -1.181778148137e+00       2.151473406653e-07       4.805876376307e-13       1.201469094077e-12       1.509705936582e-21       2.402938188153e-13      -8.863336111027e-01       2.151473406653e-07       5.913644623303e-01       7.045554891424e-01      -8.863336111027e-01       2.151473514121e-07      -1.181778148320e+00       2.151473355464e-07       2.096287975613e-08       3.333333333333e-01 
       7.359543265435e-01       1.694384668236e-06      -1.181804032331e+00       2.171667630892e-07       4.942488483813e-13       1.235622120953e-12       1.581908365581e-21       2.471244241906e-13      -8.863530242485e-01       2.171667630892e-07       5.913631410267e-01       7.045490185863e-01      -8.863530242485e-01       2.171667741409e-07      -1.181804032517e+00       2.171667578249e-07       2.135733080974e-08       3.333333333333e-01 
