# Matter power spectrum P(k) at redshift z=0
# for k=1.02735e-05 to 23.4548 h/Mpc,
# number of wavenumbers equal to 850
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.027347021217e-05       5.098326572255e+01 
       2.293667112533e-05       1.105924516871e+02 
       3.564291528140e-05       1.691583661002e+02 
       4.842524124687e-05       2.273034562873e+02 
       6.131721588657e-05       2.853802228216e+02 
       7.435322367328e-05       3.436516836103e+02 
       8.756876495136e-05       4.023419172055e+02 
       1.010007669986e-04       4.616566906501e+02 
       1.146879117604e-04       5.217939856281e+02 
       1.286709841634e-04       5.829503297877e+02 
       1.429932449243e-04       6.453251505258e+02 
       1.577008317338e-04       7.091241290011e+02 
       1.728431925524e-04       7.745620384853e+02 
       1.884735544710e-04       8.418653091443e+02 
       2.046494310612e-04       9.112744776638e+02 
       2.214331702803e-04       9.830465806621e+02 
       2.388925436593e-04       1.057457569994e+03 
       2.571013755133e-04       1.134804718389e+03 
       2.761402080523e-04       1.215409069521e+03 
       2.960969942675e-04       1.299617818923e+03 
       3.170678050143e-04       1.387806644214e+03 
       3.391575294584e-04       1.480381827079e+03 
       3.624805386718e-04       1.577782051405e+03 
       3.871612703982e-04       1.680479701767e+03 
       4.133346787621e-04       1.788981375403e+03 
       4.411464762738e-04       1.903827364379e+03 
       4.707530777243e-04       2.025589670701e+03 
       5.023211382382e-04       2.154868173128e+03 
       5.360265637989e-04       2.292284468427e+03 
       5.720528663629e-04       2.438472927988e+03 
       6.105887430447e-04       2.594068594461e+03 
       6.518247864876e-04       2.759691648757e+03 
       6.959492877995e-04       2.935928521408e+03 
       7.431431780706e-04       3.123309998762e+03 
       7.935742677405e-04       3.322287237367e+03 
       8.473910745535e-04       3.533207054674e+03 
       9.047166600686e-04       3.756288396922e+03 
       9.656429926378e-04       3.991602165661e+03 
       1.030226389989e-03       4.239056683269e+03 
       1.098484543128e-03       4.498390715956e+03 
       1.170395479537e-03       4.769175318205e+03 
       1.245898606508e-03       5.050824649590e+03 
       1.324897726323e-03       5.342615084211e+03 
       1.407265685947e-03       5.643710466500e+03 
       1.458125550442e-03       5.828037067351e+03 
       1.492850161401e-03       5.953191234713e+03 
       1.581480007379e-03       6.270084446940e+03 
       1.672971626480e-03       6.593392586837e+03 
       1.767134908327e-03       6.922119120047e+03 
       1.863778424053e-03       7.255290284722e+03 
       1.962713703573e-03       7.591971926801e+03 
       2.063758547357e-03       7.931281987417e+03 
       2.166739417868e-03       8.272398971644e+03 
       2.271493015384e-03       8.614566897678e+03 
       2.377867172534e-03       8.957095767585e+03 
       2.485721208567e-03       9.299362103879e+03 
       2.594925876004e-03       9.640805643317e+03 
       2.705363015595e-03       9.980926262165e+03 
       2.816925015398e-03       1.031927986359e+04 
       2.929514149712e-03       1.065547450866e+04 
       3.043041855314e-03       1.098916460229e+04 
       3.157427986992e-03       1.132004764722e+04 
       3.272600081755e-03       1.164785932119e+04 
       3.388492651335e-03       1.197237012711e+04 
       3.505046515179e-03       1.229338148408e+04 
       3.622208180690e-03       1.261072137286e+04 
       3.739929273651e-03       1.292424482464e+04 
       3.858166019066e-03       1.323382569059e+04 
