# Matter power spectrum P(k) at redshift z=0
# for k=8.06309e-06 to 23.1709 h/Mpc,
# number of wavenumbers equal to 861
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.063094627304e-06       1.012381814041e+02 
       1.799879852529e-05       2.195685569680e+02 
       2.795531670261e-05       3.356749224541e+02 
       3.794857284474e-05       4.506812722224e+02 
       4.799464795472e-05       5.651746034822e+02 
       5.810986579511e-05       6.795611303090e+02 
       6.831087998549e-05       7.941648418733e+02 
       7.861476346671e-05       9.092667607415e+02 
       8.903910104816e-05       1.025124013503e+03 
       9.960208576256e-05       1.141980586969e+03 
       1.103226197607e-04       1.260074004062e+03 
       1.212204204863e-04       1.379639924998e+03 
       1.323161328746e-04       1.500915496205e+03 
       1.436314483177e-04       1.624142101969e+03 
       1.551892311236e-04       1.749567596537e+03 
       1.670136531707e-04       1.877448348820e+03 
       1.791303374080e-04       2.008051106261e+03 
       1.915665107696e-04       2.141654763718e+03 
       2.043511669539e-04       2.278552113314e+03 
       2.175152393408e-04       2.419051547839e+03 
       2.310917840800e-04       2.563478764588e+03 
       2.451161730514e-04       2.712178474319e+03 
       2.596262959596e-04       2.865516106146e+03 
       2.746627702457e-04       3.023879454691e+03 
       2.902691567586e-04       3.187680330257e+03 
       3.064921781847e-04       3.357356075994e+03 
       3.233819360610e-04       3.533370984448e+03 
       3.409921207563e-04       3.716217483095e+03 
       3.593802070753e-04       3.906417032593e+03 
       3.786076260986e-04       4.104520630234e+03 
       3.987399015405e-04       4.311108766805e+03 
       4.198467363095e-04       4.526790673864e+03 
       4.420020322063e-04       4.752202703995e+03 
       4.652838229331e-04       4.988005563358e+03 
       4.897740980930e-04       5.234880228958e+03 
       5.155584939622e-04       5.493522260599e+03 
       5.427258260208e-04       5.764634268001e+03 
       5.713674391044e-04       6.048916353318e+03 
       6.015763542509e-04       6.347054373117e+03 
       6.334461975377e-04       6.659706058695e+03 
       6.670699059687e-04       6.987485186345e+03 
       7.025382190504e-04       7.330944025824e+03 
       7.399379818654e-04       7.690554974967e+03 
       7.793503053074e-04       8.066692027453e+03 
       8.208486500002e-04       8.459613185810e+03 
       8.644969197837e-04       8.869444569414e+03 
       9.103476654871e-04       9.296167914737e+03 
       9.584405068746e-04       9.739610439653e+03 
       1.008800877574e-03       1.019943937123e+04 
       1.061439183157e-03       1.067515928201e+04 
       1.072483128768e-03       1.077433595280e+04 
       1.116350436862e-03       1.116611441994e+04 
       1.173514403223e-03       1.167149528737e+04 
       1.232896241352e-03       1.219035096037e+04 
       1.294447601936e-03       1.272160784880e+04 
       1.358108100175e-03       1.326409471410e+04 
