# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       9.326212236469e+13       8.690890600143e-26       4.969479050487e-09       1.876426666121e+22       1.419311605844e+04       1.521852140887e-10       1.323680126578e+18       2.869545206571e-09       2.081614238068e+44       2.017959657592e+33       1.067863528163e+34       1.439362795135e+44       4.797875983783e+43       3.667546103802e-08       3.520977033330e+44       7.891394908186e-07       1.433565615564e+01 
       9.261382558559e+13       8.812988922185e-26       5.005858838558e-09       1.850429975397e+22       1.419311605844e+04       1.532505105873e-10       1.314478775152e+18       2.889632023017e-09       2.024334923495e+44       1.976168935292e+33       1.045748721263e+34       1.399756170228e+44       4.665853900760e+43       3.667546103802e-08       3.424091093847e+44       8.680534399004e-07       1.303241468694e+01 
       9.197003533823e+13       8.936802603552e-26       5.040419637226e-09       1.824793452187e+22       1.419311605844e+04       1.543232641615e-10       1.305341385454e+18       2.909859447178e-09       1.968631751041e+44       1.935243673539e+33       1.024091898619e+34       1.361239391983e+44       4.537464639942e+43       3.667546103802e-08       3.329871143146e+44       9.469673889822e-07       1.194638012970e+01 
       9.133072029615e+13       9.062355743329e-26       5.074980435893e-09       1.799512106602e+22       1.419311605844e+04       1.554035270106e-10       1.296267512864e+18       2.930228463308e-09       1.914461350357e+44       1.895165949170e+33       1.002883575656e+34       1.323782471331e+44       4.412608237769e+43       3.667546103802e-08       3.238243821807e+44       1.025881338064e-06       1.102742781203e+01 
       9.069584935070e+13       9.189672779167e-26       5.111360223964e-09       1.774581017882e+22       1.419311605844e+04       1.564913516997e-10       1.287256715853e+18       2.950740062552e-09       1.861781544502e+44       1.855918210199e+33       9.821144642157e+33       1.287356244408e+44       4.291187481359e+43       3.667546103802e-08       3.149137789027e+44       1.104795287146e-06       1.023975439688e+01 
       9.006539160943e+13       9.318778492042e-26       5.145921022631e-09       1.749995333443e+22       1.419311605844e+04       1.575867911616e-10       1.278308555961e+18       2.971395242989e-09       1.810551317112e+44       1.817483268131e+33       9.617754684945e+33       1.251932349844e+44       4.173107832814e+43       3.667546103802e-08       3.062483667071e+44       1.183709236228e-06       9.557104103757e+00 
       8.943931639467e+13       9.449698011076e-26       5.182300810702e-09       1.725750267929e+22       1.419311605844e+04       1.586898986997e-10       1.269422597777e+18       2.992195009690e-09       1.760730780460e+44       1.779844290434e+33       9.418576810560e+33       1.217483206684e+44       4.058277355614e+43       3.667546103802e-08       2.978213987256e+44       1.262623185309e-06       8.959785097272e+00 
       8.881759324197e+13       9.582456818433e-26       5.218680598773e-09       1.701841102283e+22       1.419311605844e+04       1.598007279906e-10       1.260598408915e+18       3.013140374758e-09       1.712281144399e+44       1.742984793170e+33       9.223523789319e+33       1.183981992911e+44       3.946606643036e+43       3.667546103802e-08       2.896263137420e+44       1.341537134391e-06       8.432738915079e+00 
       8.820019189868e+13       9.717080754275e-26       5.255060386844e-09       1.678263182828e+22       1.419311605844e+04       1.609193330865e-10       1.251835559995e+18       3.034232357381e-09       1.665164686165e+44       1.706888633768e+33       9.032510198010e+33       1.151402624562e+44       3.838008748541e+43       3.667546103802e-08       2.816567310835e+44       1.420451083473e-06       7.964253419797e+00 
       8.758708232243e+13       9.853596021792e-26       5.291440174915e-09       1.655011920359e+22       1.419311605844e+04       1.620457684181e-10       1.243133624622e+18       3.055471983883e-09       1.619344721000e+44       1.671540003966e+33       8.845452382488e+33       1.119719735424e+44       3.732399118081e+43       3.667546103802e-08       2.739064456530e+44       1.499365032555e-06       7.545082187176e+00 
       8.697823467967e+13       9.992029192302e-26       5.329638952389e-09       1.632082789253e+22       1.419311605844e+04       1.631800887971e-10       1.234492179367e+18       3.076860287770e-09       1.574785573594e+44       1.636923422878e+33       8.662268421030e+33       1.088908657278e+44       3.629695524261e+43       3.667546103802e-08       2.663694230975e+44       1.578278981636e-06       7.167828077817e+00 
       8.637361934426e+13       1.013240721042e-25       5.366018740460e-09       1.609471326586e+22       1.419311605844e+04       1.643223494186e-10       1.225910803741e+18       3.098398309784e-09       1.531452550306e+44       1.603023730218e+33       8.482878088466e+33       1.058945400695e+44       3.529818002318e+43       3.667546103802e-08       2.590397951102e+44       1.657192930718e-06       6.826502931254e+00 
