# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=8.06198e-06 to 23.1673 h/Mpc,
# number of wavenumbers equal to 861
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       3.785275313216e-04      -8.035593456428e-01      -2.124803138538e+00      -2.124901537253e+00      -7.742465883872e-01      -1.332516303887e+00      -2.124425432901e+00       4.006370130289e-01       4.006296753233e-01 
       3.986532016651e-04      -7.710034724051e-01      -2.355894081395e+00      -2.356012337633e+00      -7.386001007839e-01      -1.345560843859e+00      -2.355436680910e+00       4.004673533296e-01       4.004649252803e-01 
       4.197528679206e-04      -7.277928045518e-01      -2.610837245046e+00      -2.610978922408e+00      -6.924578241836e-01      -1.340318479998e+00      -2.610289498538e+00       4.002848486953e-01       4.002867733597e-01 
       4.419003842333e-04      -6.750272723321e-01      -2.892363281919e+00      -2.892532499753e+00      -6.370789979719e-01      -1.313609838265e+00      -2.891714062064e+00       4.000885783311e-01       4.000942017884e-01 
       4.651737349255e-04      -6.145899779207e-01      -3.203532251371e+00      -3.203733750852e+00      -5.745342362969e-01      -1.262289008760e+00      -3.202770124643e+00       3.998775479331e-01       3.998861307288e-01 
       4.896548591380e-04      -5.492010358380e-01      -3.547766608388e+00      -3.548005816054e+00      -5.077529819288e-01      -1.183468974766e+00      -3.546880023860e+00       3.996506804344e-01       3.996614176617e-01 
       5.154293424640e-04      -4.823773136090e-01      -3.928884684990e+00      -3.929167769376e+00      -4.404701477896e-01      -1.074834656328e+00      -3.927862156424e+00       3.994068026686e-01       3.994188539331e-01 
       5.425859505803e-04      -4.182508125138e-01      -4.351133656127e+00      -4.351467582014e+00      -3.770230984749e-01      -9.350543909025e-01      -4.349963906277e+00       3.991446335385e-01       3.991571632344e-01 
       5.712159807542e-04      -3.611989177544e-01      -4.819220611058e+00      -4.819613162380e+00      -3.219526612625e-01      -7.642906332003e-01      -4.817892605690e+00       3.988627697877e-01       3.988749966769e-01 
       6.014124102975e-04      -3.152617261034e-01      -5.338340004761e+00      -5.338799809158e+00      -2.793822649856e-01      -5.647927599996e-01      -5.336842847755e+00       3.985596760874e-01       3.985709291185e-01 
       6.332688272377e-04      -2.833595237612e-01      -5.914195429342e+00      -5.914731936821e+00      -2.521950963992e-01      -3.415259813447e-01      -5.912518024297e+00       3.982336759610e-01       3.982434505846e-01 
       6.668781382122e-04      -2.664040555086e-01      -6.553013410148e+00      -6.553636853158e+00      -2.411081796018e-01      -1.027500365021e-01      -6.551143879210e+00       3.978829574191e-01       3.978909638430e-01 
       7.023310621381e-04      -2.624942595891e-01      -7.261546600939e+00      -7.262267911554e+00      -2.438478285234e-01       1.395899644678e-01      -7.259471456401e+00       3.975055870881e-01       3.975117796193e-01 
       7.397144353408e-04      -2.665008294060e-01      -8.047064019210e+00      -8.047894703567e+00      -2.547430160983e-01       3.698518148711e-01      -8.044767181382e+00       3.970995507836e-01       3.971041268166e-01 
       7.791093736539e-04      -2.704016743413e-01      -8.917325618077e+00      -8.918277653510e+00      -2.651146500678e-01       5.692984107142e-01      -8.914787519414e+00       3.966628033278e-01       3.966661631308e-01 
       8.205893578336e-04      -2.646865507273e-01      -9.880539914227e+00      -9.881625557792e+00      -2.647776474029e-01       7.175531933454e-01      -9.877736856724e+00       3.961933480191e-01       3.961960130867e-01 
       8.642183279931e-04      -2.408783860440e-01      -1.094530309779e+01      -1.094653478939e+01      -2.446975048526e-01       7.950850261831e-01      -1.094220727798e+01       3.956893197480e-01       3.956918187094e-01 
       9.100488876135e-04      -1.947411939619e-01      -1.212052030144e+01      -1.212191058257e+01      -2.003297373111e-01       7.867260905897e-01      -1.211710056349e+01       3.951490729729e-01       3.951518173214e-01 
       9.581207249038e-04      -1.291080053161e-01      -1.341530988384e+01      -1.341687147686e+01      -1.345274951154e-01       6.859311503235e-01      -1.341153314974e+01       3.945712405032e-01       3.945744236617e-01 
       1.008459356273e-03      -5.479995301528e-02      -1.483889404723e+01      -1.484063991913e+01      -5.843587061445e-02       4.990756599249e-01      -1.483472669795e+01       3.939547582356e-01       3.939583138997e-01 
       1.061075282125e-03       1.177893768326e-02      -1.640047956569e+01      -1.640242337382e+01       1.104342325128e-02       2.486565332674e-01      -1.639588819887e+01       3.932988529356e-01       3.933024967700e-01 
       1.072292226224e-03       2.306606496858e-02      -1.674306709124e+01      -1.674505383627e+01       2.302681560784e-02       1.919955953382e-01      -1.673838341078e+01       3.931575839731e-01       3.931611986318e-01 
       1.115963619604e-03       5.464850809899e-02      -1.810913402337e+01      -1.811129065297e+01       5.745400570297e-02      -2.607442397616e-02      -1.810408447422e+01       3.926029943004e-01       3.926063453743e-01 
       1.173104242760e-03       6.608531130387e-02      -1.997366322254e+01      -1.997604958968e+01       7.274821876835e-02      -2.724594485370e-01      -1.996811778063e+01       3.918668490146e-01       3.918695916363e-01 
       1.232462422144e-03       5.243500214546e-02      -2.200249521864e+01      -2.200513122127e+01       6.305330518232e-02      -4.326147311203e-01      -2.199640895215e+01       3.910902584194e-01       3.910922781124e-01 
       1.293989918186e-03       3.350208157096e-02      -2.420357654514e+01      -2.420648620140e+01       4.782576884509e-02      -4.560248505317e-01      -2.419689505044e+01       3.902732737019e-01       3.902747014581e-01 
       1.357626450844e-03       3.362268851593e-02      -2.658428482066e+01      -2.658749738838e+01       5.067710415047e-02      -3.144012302672e-01      -2.657694587478e+01       3.894162341120e-01       3.894173708981e-01 
       1.423301445879e-03       6.765608332313e-02      -2.915136058804e+01      -2.915491144945e+01       8.539866422310e-02      -1.483727973718e-02      -2.914330085396e+01       3.885198468928e-01       3.885210025846e-01 
       1.490935947676e-03       1.301439642424e-01      -3.191085926540e+01      -3.191479081829e+01       1.456405872473e-01       3.937017916142e-01      -3.190202470547e+01       3.875852118650e-01       3.875865458933e-01 
       1.560444589730e-03       1.964081390008e-01      -3.486812529378e+01      -3.487248710145e+01       2.068170504392e-01       8.250577288725e-01      -3.485848016687e+01       3.866137707363e-01       3.866152281930e-01 
       1.631737524957e-03       2.376586042367e-01      -3.802778360706e+01      -3.803263226064e+01       2.417232139868e-01       1.173637589859e+00      -3.801731323760e+01       3.856071610821e-01       3.856085427822e-01 
       1.704722235902e-03       2.414572336030e-01      -4.139375099981e+01      -4.139914926532e+01       2.405661051827e-01       1.342869287187e+00      -4.138245560877e+01       3.845670851532e-01       3.845682030339e-01 
       1.779305166283e-03       2.221289357193e-01      -4.496925679217e+01      -4.497527269666e+01       2.199798095371e-01       1.277090334015e+00      -4.495713976463e+01       3.834951927729e-01       3.834960022457e-01 
       1.855393137210e-03       2.107688949962e-01      -4.875687953166e+01      -4.876358481007e+01       2.115522453207e-01       9.861779078601e-01      -4.874393629192e+01       3.823931045247e-01       3.823937218667e-01 
       1.932894531257e-03       2.302171208272e-01      -5.275858484537e+01      -5.276605365238e+01       2.365071708866e-01       5.520957990799e-01      -5.274479888647e+01       3.812624456022e-01       3.812630450162e-01 
       2.011720244074e-03       2.750282200498e-01      -5.697577421206e+01      -5.698408201135e+01       2.870358238908e-01       1.110345343591e-01      -5.696112048970e+01       3.801049251035e-01       3.801056028245e-01 
       2.091784415607e-03       3.152041494268e-01      -6.140933084503e+01      -6.141855376617e+01       3.319788753186e-01      -1.869827646030e-01      -6.139378146740e+01       3.789223141979e-01       3.789230295511e-01 
       2.173004961316e-03       3.229863389760e-01      -6.605966919348e+01      -6.606988420218e+01       3.442517948821e-01      -2.296627558247e-01      -6.604319590409e+01       3.777163953422e-01       3.777170303105e-01 
       2.255303928519e-03       2.996854722337e-01      -7.092678288283e+01      -7.093806847252e+01       3.261340837466e-01       1.291962803365e-02      -7.090935578444e+01       3.764889004892e-01       3.764893771892e-01 
