# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ddec[0]        15:(.)p_ddec[0]          16:(.)rho_lambda         17:(.)rho_crit           18:gr.fac. D             19:gr.fac. f          
       8.517696811915e+13       9.775384734615e-26       5.105903255753e-09       1.668253405589e+22       1.372278864509e+04       1.611091466169e-10       1.168865530929e+18       2.947810285157e-09       1.448330848536e+44       1.537315932340e+33       8.135165682000e+33       1.001469676900e+44       3.338232256333e+43       3.332688997280e+43       1.110896332427e+43       5.697627337930e-08       2.783069425260e+44       2.216648977946e-06       6.232893980710e+00 
       8.458487400115e+13       9.912719114752e-26       5.142283043824e-09       1.645140822179e+22       1.372278864509e+04       1.622369106432e-10       1.160740348489e+18       2.968444957153e-09       1.408477451704e+44       1.505479050481e+33       7.966691327913e+33       9.739124592320e+43       3.246374864107e+43       3.240984137677e+43       1.080328045892e+43       5.697627337930e-08       2.706488324799e+44       2.313025020465e-06       5.973190064847e+00 
       8.399689573103e+13       1.005198290559e-25       5.176843842492e-09       1.622348448821e+22       1.372278864509e+04       1.633725690177e-10       1.152671646961e+18       2.989224071853e-09       1.369720691902e+44       1.474301491162e+33       7.801705975661e+33       9.471135273747e+43       3.157045091249e+43       3.151802700236e+43       1.050600900079e+43       5.697627337930e-08       2.632014489393e+44       2.409401062984e-06       5.734262462253e+00 
       8.341300469814e+13       1.019320321343e-25       5.213223630562e-09       1.599871849212e+22       1.372278864509e+04       1.645161770008e-10       1.144659033725e+18       3.010148640356e-09       1.332030393213e+44       1.443769600213e+33       7.640137370128e+33       9.210520157464e+43       3.070173385821e+43       3.065075248512e+43       1.021691749504e+43       5.697627337930e-08       2.559589933901e+44       2.505777105503e-06       5.513713906013e+00 
       8.283317249071e+13       1.033640752538e-25       5.249603418633e-09       1.577706648507e+22       1.372278864509e+04       1.656677902399e-10       1.136702118892e+18       3.031219680838e-09       1.295377210063e+44       1.413870006234e+33       7.481914752559e+33       8.957076329191e+43       2.985692109730e+43       2.980734256728e+43       9.935780855759e+42       5.697627337930e-08       2.489158268744e+44       2.602153148023e-06       5.309502279864e+00 
       8.225737089444e+13       1.048162371470e-25       5.287802196108e-09       1.555848532475e+22       1.372278864509e+04       1.668274647715e-10       1.128800515285e+18       3.052438218604e-09       1.259732604377e+44       1.384589614737e+33       7.326968829569e+33       8.710606458197e+43       2.903535486066e+43       2.898714057198e+43       9.662380190659e+42       5.697627337930e-08       2.420664656004e+44       2.698529190542e-06       5.119877198440e+00 
       8.168557189121e+13       1.062888004627e-25       5.324181984179e-09       1.534293246653e+22       1.372278864509e+04       1.679952570249e-10       1.120953838417e+18       3.073805286134e-09       1.225068823354e+44       1.355915602413e+33       7.175231742800e+33       8.470918643654e+43       2.823639547885e+43       2.818950789199e+43       9.396502630665e+42       5.697627337930e-08       2.354055766724e+44       2.794905233061e-06       4.943329708839e+00 
       8.111774765760e+13       1.077820518204e-25       5.360561772250e-09       1.513036595522e+22       1.372278864509e+04       1.691712238241e-10       1.113161706471e+18       3.095321923137e-09       1.191358877859e+44       1.327835411518e+33       7.026637039196e+33       8.237826265229e+43       2.745942088410e+43       2.741382349251e+43       9.137941164170e+42       5.697627337930e-08       2.289279739390e+44       2.891281275580e-06       4.778552051877e+00 
       8.055387056366e+13       1.092962818664e-25       5.398760549724e-09       1.492074441691e+22       1.372278864509e+04       1.703554223909e-10       1.105423740289e+18       3.116989176599e-09       1.158576521413e+44       1.300336744370e+33       6.881119641904e+33       8.011147837777e+43       2.670382612592e+43       2.665948342759e+43       8.886494475863e+42       5.697627337930e-08       2.226286139548e+44       2.987657318100e-06       4.624405211494e+00 
       7.999391317146e+13       1.108317853304e-25       5.436959327199e-09       1.471402705088e+22       1.372278864509e+04       1.715479103476e-10       1.097739563346e+18       3.138808100835e-09       1.126696229756e+44       1.273407557963e+33       6.738615821776e+33       7.790706870041e+43       2.596902290014e+43       2.592590036994e+43       8.641966789980e+42       5.697627337930e-08       2.165025920539e+44       3.084033360619e-06       4.479892548635e+00 
       7.943784823382e+13       1.123888610825e-25       5.475158104673e-09       1.451017362167e+22       1.372278864509e+04       1.727487457200e-10       1.090108801734e+18       3.160779757540e-09       1.095693180972e+44       1.247036058696e+33       6.599063169453e+33       7.576331727233e+43       2.525443909078e+43       2.521250315362e+43       8.404167717874e+42       5.697627337930e-08       2.105451385310e+44       3.180409403138e-06       4.344138228979e+00 
       7.888564869297e+13       1.139678121918e-25       5.513356882147e-09       1.430914445127e+22       1.372278864509e+04       1.739579869401e-10       1.082531084145e+18       3.182905215843e-09       1.065543236164e+44       1.221210697207e+33       6.462400568037e+33       7.367855497401e+43       2.455951832467e+43       2.451873632934e+43       8.172912109781e+42       5.697627337930e-08       2.047516149274e+44       3.276785445657e-06       4.216369457539e+00 
       7.833728767921e+13       1.155689459853e-25       5.551555659622e-09       1.411090041140e+22       1.372278864509e+04       1.751756928487e-10       1.075006041852e+18       3.205185552354e-09       1.036222920661e+44       1.195920163313e+33       6.328568166325e+33       7.165115861474e+43       2.388371953825e+43       2.384405973199e+43       7.948019910662e+42       5.697627337930e-08       1.991175104203e+44       3.373161488177e-06       4.095901758752e+00 
       7.779273850965e+13       1.171925741074e-25       5.589754437096e-09       1.391540291583e+22       1.372278864509e+04       1.764019226986e-10       1.067533308691e+18       3.227621851220e-09       1.007709405738e+44       1.171153381058e+33       6.197507352595e+33       6.967954966877e+43       2.322651655626e+43       2.318794806004e+43       7.729316020012e+42       5.697627337930e-08       1.936384383100e+44       3.469537530696e-06       3.982126709898e+00 
       7.725197468684e+13       1.188390125811e-25       5.629772203974e-09       1.372261391297e+22       1.372278864509e+04       1.776367361575e-10       1.060112521043e+18       3.250215204178e-09       9.799804908440e+43       1.146899503863e+33       6.069160728938e+33       6.776219304629e+43       2.258739768210e+43       2.254989046658e+43       7.516630155528e+42       5.697627337930e-08       1.883101326045e+44       3.565913573215e-06       3.874501663684e+00 
       7.671496989756e+13       1.205085818688e-25       5.669789970852e-09       1.353249587838e+22       1.372278864509e+04       1.788801933106e-10       1.052743317819e+18       3.272966710607e-09       9.530145863146e+43       1.123147909775e+33       5.943472086121e+33       6.589759589823e+43       2.196586529941e+43       2.192939016158e+43       7.309796720525e+42       5.697627337930e-08       1.831284446983e+44       3.662289615734e-06       3.772541093587e+00 
       7.618169801148e+13       1.222016069355e-25       5.707988748327e-09       1.334501180750e+22       1.372278864509e+04       1.801323546638e-10       1.045425340436e+18       3.295877477581e-09       9.267906965640e+43       1.099888196816e+33       5.820386378973e+33       6.408430645389e+43       2.136143548463e+43       2.132596402503e+43       7.108654675008e+42       5.697627337930e-08       1.780893401422e+44       3.758665658253e-06       3.675809270675e+00 
       7.565213307992e+13       1.239184173113e-25       5.748006515205e-09       1.316012520845e+22       1.372278864509e+04       1.813932811464e-10       1.038158232806e+18       3.318948619924e-09       9.012884037370e+43       1.077110178424e+33       5.699849702270e+33       6.232091289063e+43       2.077363763021e+43       2.073914223085e+43       6.913047410283e+42       5.697627337930e-08       1.731888955020e+44       3.855041700773e-06       3.583914038908e+00 
       7.512624933457e+13       1.256593471561e-25       5.788024282083e-09       1.297780009491e+22       1.372278864509e+04       1.826630341144e-10       1.030941641317e+18       3.342181260264e-09       8.764878518120e+43       1.054803878997e+33       5.581809267138e+33       6.060604223464e+43       2.020201407821e+43       2.016846788106e+43       6.722822627020e+42       5.697627337930e-08       1.684232953035e+44       3.951417743292e-06       3.496501501374e+00 
       7.460402118627e+13       1.274247353243e-25       5.829861038364e-09       1.279800097916e+22       1.372278864509e+04       1.839416753532e-10       1.023775214813e+18       3.365576529085e-09       8.523697311413e+43       1.032959529521e+33       5.466213377923e+33       5.893835929190e+43       1.964611976397e+43       1.961349665003e+43       6.537832216678e+42       5.697627337930e-08       1.637888290626e+44       4.047793785811e-06       3.413251465627e+00 
       7.408542322370e+13       1.292149254309e-25       5.869878805242e-09       1.262069286510e+22       1.372278864509e+04       1.852292670807e-10       1.016658604581e+18       3.389135564789e-09       8.289152634162e+43       1.011567563292e+33       5.353011409563e+33       5.731656560862e+43       1.910552186954e+43       1.907379643856e+43       6.357932146185e+42       5.697627337930e-08       1.592818883952e+44       4.144169828330e-06       3.333873524565e+00 
       7.357043021222e+13       1.310302659182e-25       5.911715561524e-09       1.244584124150e+22       1.372278864509e+04       1.865258719503e-10       1.009591464331e+18       3.412859513742e-09       8.061061870468e+43       9.906186117280e+32       5.242153785404e+33       5.573939846030e+43       1.857979948677e+43       1.854894703739e+43       6.182982345796e+42       5.697627337930e-08       1.548989642086e+44       4.240545870850e-06       3.258103671735e+00 
       7.305901709257e+13       1.328711101241e-25       5.951733328402e-09       1.227341207526e+22       1.372278864509e+04       1.878315530539e-10       1.002573450179e+18       3.436749530338e-09       7.839247429430e+43       9.701035002625e+32       5.133591955499e+33       5.420562986853e+43       1.806854328951e+43       1.803853980010e+43       6.012846600032e+42       5.697627337930e-08       1.506366439690e+44       4.336921913369e-06       3.185701367918e+00 
       7.255115897971e+13       1.347378163502e-25       5.993570084684e-09       1.210337180477e+22       1.372278864509e+04       1.891463739253e-10       9.956042206350e+17       3.460806777050e-09       7.623536606878e+43       9.500132443301e+32       5.027278375339e+33       5.271406564491e+43       1.757135521497e+43       1.754217732488e+43       5.847392441627e+42       5.697627337930e-08       1.464916090445e+44       4.433297955888e-06       3.116446990355e+00 
       7.204683116158e+13       1.366307479321e-25       6.035406840965e-09       1.193568733343e+22       1.372278864509e+04       1.904703985428e-10       9.886834365790e+17       3.485032424489e-09       7.413761450905e+43       9.303390454301e+32       4.923166485034e+33       5.126354446125e+43       1.708784815375e+43       1.705947314516e+43       5.686491048385e+42       5.697627337930e-08       1.424606321213e+44       4.529673998407e-06       3.050139607581e+00 
       7.154600909790e+13       1.385502733098e-25       6.079062586650e-09       1.177032602313e+22       1.372278864509e+04       1.918036913326e-10       9.818107612502e+17       3.509427651461e-09       7.209758631098e+43       9.110722872733e+32       4.821210688920e+33       4.985293694539e+43       1.661764564846e+43       1.659005142865e+43       5.530017142883e+42       5.697627337930e-08       1.385405746908e+44       4.626050040926e-06       2.986595032423e+00 
       7.104866841896e+13       1.404967660995e-25       6.120899342932e-09       1.160725568797e+22       1.372278864509e+04       1.931463171719e-10       9.749858602286e+17       3.533993645021e-09       7.011369311369e+43       8.922045320087e+32       4.721366335593e+33       4.848114480184e+43       1.616038160061e+43       1.613354668479e+43       5.377848894929e+42       5.697627337930e-08       1.347283846059e+44       4.722426083446e-06       2.925644113395e+00 
       7.055478492449e+13       1.424706051665e-25       6.164555088617e-09       1.144644458796e+22       1.372278864509e+04       1.944983413921e-10       9.682084014187e+17       3.558731600536e-09       6.818439026289e+43       8.737275165282e+32       4.623589698350e+33       4.714709995664e+43       1.571569998555e+43       1.568960348011e+43       5.229867826705e+42       5.697627337930e-08       1.310210937051e+44       4.818802125965e-06       2.867131231127e+00 
       7.006433458242e+13       1.444721746984e-25       6.206391844898e-09       1.128786142283e+22       1.372278864509e+04       1.958598297819e-10       9.614780550334e+17       3.583642721739e-09       6.630817560821e+43       8.556331488473e+32       4.527837956045e+33       4.584976372582e+43       1.528325457527e+43       1.525787616156e+43       5.085958720520e+42       5.697627337930e-08       1.274158155010e+44       4.915178168484e-06       2.810912971693e+00 
       6.957729352772e+13       1.465018642808e-25       6.250047590584e-09       1.113147532598e+22       1.372278864509e+04       1.972308485903e-10       9.547944935784e+17       3.608728220791e-09       6.448358833359e+43       8.379135045620e+32       4.434069174330e+33       4.458812600663e+43       1.486270866888e+43       1.483802858731e+43       4.946009529103e+42       5.697627337930e-08       1.239097429328e+44       5.011554211003e-06       2.756856953007e+00 
       6.909363806129e+13       1.485600689720e-25       6.293703336269e-09       1.097725585842e+22       1.372278864509e+04       1.986114645305e-10       9.481573918355e+17       3.633989318336e-09       6.270920781994e+43       8.205608233777e+32       4.342242287292e+33       4.336120449107e+43       1.445373483036e+43       1.442973386509e+43       4.809911288363e+42       5.697627337930e-08       1.205001461813e+44       5.107930253522e-06       2.704840784082e+00 
       6.861334464875e+13       1.506471893810e-25       6.339178071357e-09       1.082517300291e+22       1.372278864509e+04       2.000017447822e-10       9.415664268476e+17       3.659427243564e-09       6.098365253901e+43       8.035675057108e+32       4.252317079467e+33       4.216804390113e+43       1.405601463371e+43       1.403267409765e+43       4.677558032550e+42       5.697627337930e-08       1.171843705428e+44       5.204306296042e-06       2.654751139932e+00 
       6.813638991932e+13       1.527636317446e-25       6.382833817042e-09       1.067519715803e+22       1.372278864509e+04       2.014017569956e-10       9.350212779023e+17       3.685043234269e-09       5.930557897776e+43       7.869261093605e+32       4.164254168233e+33       4.100771524495e+43       1.366923841498e+43       1.364654013524e+43       4.548846711748e+42       5.697627337930e-08       1.139598343629e+44       5.300682338561e-06       2.606482937388e+00 
       6.766275066466e+13       1.549098080070e-25       6.426489562728e-09       1.052729913252e+22       1.372278864509e+04       2.028115692946e-10       9.285216265167e+17       3.710838536909e-09       5.767368059232e+43       7.706293462495e+32       4.078014986553e+33       3.987931509352e+43       1.329310503117e+43       1.327103133493e+43       4.423677111645e+42       5.697627337930e-08       1.108240270256e+44       5.397058381080e-06       2.559938599221e+00 
       6.719240383780e+13       1.570861358997e-25       6.471964297816e-09       1.038145013951e+22       1.372278864509e+04       2.042312502797e-10       9.220671564217e+17       3.736814406667e-09       5.608668679067e+43       7.546700792321e+32       3.993561766094e+33       3.878196487731e+43       1.292732162577e+43       1.290585532651e+43       4.301951775502e+42       5.697627337930e-08       1.077745069992e+44       5.493434423599e-06       2.515027395726e+00 
       6.672532655193e+13       1.592930390229e-25       6.517439032905e-09       1.023762179097e+22       1.372278864509e+04       2.056608690316e-10       9.156575535469e+17       3.762972107513e-09       5.454336194339e+43       7.390413189687e+32       3.910857520680e+33       3.771481020218e+43       1.257160340073e+43       1.255072778483e+43       4.183575928276e+42       5.697627337930e-08       1.048088999350e+44       5.589810466118e-06       2.471664854420e+00 
