#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]           19:delta_ddec[0]         20:theta_ddec[0]         21:shear_ddec[0]         22:cs2_ddec[0]        
       7.429169515807e-02       1.546745898516e-07      -1.214327250449e+00       2.255045424946e-06       4.229071902246e-14       1.057267975562e-13       1.115318936573e-23       2.114535951123e-14      -9.107454378368e-01       2.255045424946e-06       6.076693218325e-01       6.964182153271e-01      -9.107454378368e-01       2.255045538823e-06      -1.214327250639e+00       2.255045369404e-06       2.237453814898e-08       3.333333333333e-01      -1.214327250449e+00       2.255045369578e-06       2.235148606247e-08       3.333333333333e-01 
       7.515214398467e-02       1.564662890090e-07      -1.214340389875e+00       2.281184418657e-06       4.377778356169e-14       1.094444589042e-13       1.181439250472e-23       2.188889178085e-14      -9.107552924062e-01       2.281184418657e-06       6.076675775337e-01       6.964149311212e-01      -9.107552924062e-01       2.281184536536e-06      -1.214340390069e+00       2.281184361162e-06       2.289550072152e-08       3.333333333333e-01      -1.214340389875e+00       2.281184361343e-06       2.287191189656e-08       3.333333333333e-01 
       7.601259281128e-02       1.582579939607e-07      -1.214353052501e+00       2.307322987597e-06       4.529930038922e-14       1.132482509730e-13       1.250658872220e-23       2.264965019461e-14      -9.107647893755e-01       2.307322987597e-06       6.076658920280e-01       6.964117661228e-01      -9.107647893755e-01       2.307323109571e-06      -1.214353052699e+00       2.307322928105e-06       2.342246716381e-08       3.333333333333e-01      -1.214353052501e+00       2.307322928292e-06       2.339833541473e-08       3.333333333333e-01 
       7.882822800230e-02       1.641210066204e-07      -1.214391316753e+00       2.392852838725e-06       5.052380599956e-14       1.263095149989e-13       1.500169956335e-23       2.526190299978e-14      -9.107934875647e-01       2.392852838725e-06       6.076607881016e-01       6.964022022654e-01      -9.107934875647e-01       2.392852974761e-06      -1.214391316967e+00       2.392852772375e-06       2.518881805047e-08       3.333333333333e-01      -1.214391316753e+00       2.392852772583e-06       2.516286646159e-08       3.333333333333e-01 
       8.164386319332e-02       1.699840813233e-07      -1.214425472446e+00       2.478378782406e-06       5.613527411469e-14       1.403381852867e-13       1.788003700890e-23       2.806763705734e-14      -9.108191043347e-01       2.478378782406e-06       6.076562058418e-01       6.963936656279e-01      -9.108191043347e-01       2.478378933544e-06      -1.214425472675e+00       2.478378708689e-06       2.701945239623e-08       3.333333333333e-01      -1.214425472446e+00       2.478378708921e-06       2.699161473745e-08       3.333333333333e-01 
       8.445949838434e-02       1.758472180694e-07      -1.214456206098e+00       2.563901400905e-06       6.214753676437e-14       1.553688419109e-13       2.118414717109e-23       3.107376838219e-14      -9.108421545735e-01       2.563901400905e-06       6.076520581454e-01       6.963859845812e-01      -9.108421545735e-01       2.563901568223e-06      -1.214456206343e+00       2.563901319297e-06       2.891436742343e-08       3.333333333333e-01      -1.214456206098e+00       2.563901319553e-06       2.888457746753e-08       3.333333333333e-01 
       8.727513357536e-02       1.817104168587e-07      -1.214483958049e+00       2.649420930376e-06       6.857442016071e-14       1.714360504018e-13       2.495961339774e-23       3.428721008036e-14      -9.108629685371e-01       2.649420930376e-06       6.076483022723e-01       6.963790490398e-01      -9.108629685371e-01       2.649421114988e-06      -1.214483958311e+00       2.649420840330e-06       3.087356087576e-08       3.333333333333e-01      -1.214483958049e+00       2.649420840613e-06       3.084175239783e-08       3.333333333333e-01 
       9.009076876638e-02       1.875736776912e-07      -1.214509101303e+00       2.734937582854e-06       7.542975095550e-14       1.885743773887e-13       2.925516296718e-23       3.771487547775e-14      -9.108818259775e-01       2.734937582854e-06       6.076449003741e-01       6.963727657531e-01      -9.108818259775e-01       2.734937785915e-06      -1.214509101582e+00       2.734937483811e-06       3.289703089301e-08       3.333333333333e-01      -1.214509101303e+00       2.734937484122e-06       3.286313767005e-08       3.333333333333e-01 
       9.290640395740e-02       1.934370005668e-07      -1.214531978732e+00       2.820451603705e-06       8.272735784116e-14       2.068183946029e-13       3.412277272771e-23       4.136367892058e-14      -9.108989840492e-01       2.820451603705e-06       6.076418132156e-01       6.963670490028e-01      -9.108989840492e-01       2.820451826403e-06      -1.214531979029e+00       2.820451495083e-06       3.498477531429e-08       3.333333333333e-01      -1.214531978732e+00       2.820451495425e-06       3.494873112555e-08       3.333333333333e-01 
       1.001746215790e-01       2.085727377112e-07      -1.214582524179e+00       3.041184953461e-06       1.037072584439e-13       2.592681461097e-13       4.973250074209e-23       5.185362922194e-14      -9.109368931339e-01       3.041184953461e-06       6.076350594779e-01       6.963544197419e-01      -9.109368931339e-01       3.041185232611e-06      -1.214582524523e+00       3.041184817302e-06       4.067112373727e-08       3.333333333333e-01      -1.214582524179e+00       3.041184817730e-06       4.062922100533e-08       3.333333333333e-01 
       1.074428392006e-01       2.237088882810e-07      -1.214623787910e+00       3.261905680971e-06       1.279643365536e-13       3.199108413840e-13       7.059460122634e-23       6.398216827680e-14      -9.109678409325e-01       3.261905680971e-06       6.076296719610e-01       6.963441114444e-01      -9.109678409325e-01       3.261906025387e-06      -1.214623788307e+00       3.261905512976e-06       4.678572237404e-08       3.333333333333e-01      -1.214623787910e+00       3.261905513503e-06       4.673751988040e-08       3.333333333333e-01 
       1.147110568222e-01       2.388454522762e-07      -1.214658368756e+00       3.482616178391e-06       1.557365218937e-13       3.893413047342e-13       9.793557671543e-23       7.786826094683e-14      -9.109937765668e-01       3.482616178391e-06       6.076253055691e-01       6.963354744031e-01      -9.109937765668e-01       3.482616597526e-06      -1.214658369208e+00       3.482615973946e-06       5.332854912771e-08       3.333333333333e-01      -1.214658368756e+00       3.482615974588e-06       5.327360567661e-08       3.333333333333e-01 
       1.219792744438e-01       2.539824296970e-07      -1.214687973576e+00       3.703317999955e-06       1.872617561804e-13       4.681543904509e-13       1.331596054803e-22       9.363087809019e-14      -9.110159801823e-01       3.703317999955e-06       6.076217284214e-01       6.963280819027e-01      -9.110159801823e-01       3.703318503901e-06      -1.214687974088e+00       3.703317754136e-06       6.029958765819e-08       3.333333333333e-01      -1.214687973576e+00       3.703317754908e-06       6.023746207072e-08       3.333333333333e-01 
       1.292474920655e-01       2.691198205432e-07      -1.214713843255e+00       3.924012445938e-06       2.227780088653e-13       5.569450221633e-13       1.778605978637e-22       1.113890044327e-13      -9.110353824410e-01       3.924012445938e-06       6.076187625910e-01       6.963216237227e-01      -9.110353824411e-01       3.924013045427e-06      -1.214713843829e+00       3.924012153508e-06       6.769882436482e-08       3.333333333333e-01      -1.214713843255e+00       3.924012154427e-06       6.762907547606e-08       3.333333333333e-01 
       1.365157096871e-01       2.842576248148e-07      -1.214736856403e+00       4.144700473117e-06       2.625232687097e-13       6.563081717744e-13       2.338342426908e-22       1.312616343549e-13      -9.110526423021e-01       4.144700473117e-06       6.076162814733e-01       6.963158802098e-01      -9.110526423021e-01       4.144701179518e-06      -1.214736857043e+00       4.144700128526e-06       7.552624453309e-08       3.333333333333e-01      -1.214736856403e+00       4.144700129609e-06       7.544843119330e-08       3.333333333333e-01 
       1.538061775485e-01       3.202708275915e-07      -1.214783569257e+00       4.669676722995e-06       3.754668432502e-13       9.386671081254e-13       4.245437152315e-22       1.877334216251e-13      -9.110876769428e-01       4.669676722995e-06       6.076117977008e-01       6.963042273971e-01      -9.110876769428e-01       4.669677733179e-06      -1.214783570070e+00       4.669676230183e-06       9.586784681027e-08       3.333333333333e-01      -1.214783569257e+00       4.669676231732e-06       9.576907588142e-08       3.333333333333e-01 
       1.710966454098e-01       3.562863700396e-07      -1.214823043523e+00       5.194627999005e-06       5.168951831748e-13       1.292237957937e-12       7.232974979828e-22       2.584475915874e-13      -9.111172826422e-01       5.194627999005e-06       6.076086730004e-01       6.962943872570e-01      -9.111172826423e-01       5.194629389537e-06      -1.214823044529e+00       5.194627320594e-06       1.186324249224e-07       3.333333333333e-01      -1.214823043523e+00       5.194627322726e-06       1.185102000559e-07       3.333333333333e-01 
       1.883871132712e-01       3.923042521592e-07      -1.214858258060e+00       5.719558919391e-06       6.900138211371e-13       1.725034552843e-12       1.170630624886e-21       3.450069105686e-13      -9.111436935451e-01       5.719558919391e-06       6.076063935267e-01       6.962856150746e-01      -9.111436935452e-01       5.719560775435e-06      -1.214858259280e+00       5.719558013796e-06       1.438198706498e-07       3.333333333333e-01      -1.214858258060e+00       5.719558016641e-06       1.436716956084e-07       3.333333333333e-01 
       2.056775811326e-01       4.283244739502e-07      -1.214890796421e+00       6.244472064247e-06       8.980289404151e-13       2.245072351038e-12       1.816151918674e-21       4.490144702075e-13      -9.111680973159e-01       6.244472064247e-06       6.076046605779e-01       6.962775149616e-01      -9.111680973160e-01       6.244474479566e-06      -1.214890797875e+00       6.244470885676e-06       1.714301185481e-07       3.333333333333e-01      -1.214890796421e+00       6.244470889379e-06       1.712534971622e-07       3.333333333333e-01 
       2.229680489940e-01       4.643470354127e-07      -1.214921573415e+00       6.769369040819e-06       1.144147392071e-12       2.860368480177e-12       2.719464476545e-21       5.720736960355e-13      -9.111911800613e-01       6.769369040819e-06       6.076032992509e-01       6.962698582157e-01      -9.111911800615e-01       6.769372117773e-06      -1.214921575123e+00       6.769367539274e-06       2.014631094521e-07       3.333333333333e-01      -1.214921573415e+00       6.769367543992e-06       2.012555456129e-07       3.333333333333e-01 
       2.402585168554e-01       5.003719365466e-07      -1.214951134948e+00       7.294250811485e-06       1.431576679319e-12       3.578941698299e-12       3.951086741767e-21       7.157883396597e-13      -9.112133512107e-01       7.294250811485e-06       6.076022125871e-01       6.962625083604e-01      -9.112133512109e-01       7.294254661030e-06      -1.214951136931e+00       7.294248932759e-06       2.339187616263e-07       3.333333333333e-01      -1.214951134948e+00       7.294248938661e-06       2.336777593093e-07       3.333333333333e-01 
       2.575489847168e-01       5.363991773519e-07      -1.214979862424e+00       7.819118222256e-06       1.763525015043e-12       4.408812537607e-12       5.593374413182e-21       8.817625075214e-13      -9.112348968183e-01       7.819118222256e-06       6.076013300596e-01       6.962553700441e-01      -9.112348968186e-01       7.819122963940e-06      -1.214979864703e+00       7.819115907933e-06       2.687969869804e-07       3.333333333333e-01      -1.214979862424e+00       7.819115915203e-06       2.685200502518e-07       3.333333333333e-01 
