# Matter power spectrum P(k) at redshift z=0
# for k=9.0192e-06 to 20.5861 h/Mpc,
# number of wavenumbers equal to 855
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.019201454174e-06       7.371580015432e+01 
       2.013437232318e-05       1.598877737177e+02 
       3.127867019624e-05       2.444853386969e+02 
       4.247440903451e-05       3.283599057417e+02 
       5.374417827534e-05       4.119719932042e+02 
       6.511099296095e-05       4.956512344117e+02 
       7.659844748270e-05       5.796685745845e+02 
       8.823087449441e-05       6.642652778641e+02 
       1.000335105604e-04       7.496672923804e+02 
       1.120326701213e-04       8.360935081293e+02 
       1.242559293744e-04       9.237611036647e+02 
       1.367323216761e-04       1.012889379597e+03 
       1.494925460608e-04       1.103702761391e+03 
       1.625691904350e-04       1.196433327922e+03 
       1.759969709228e-04       1.291323074610e+03 
       1.898129886899e-04       1.388626029526e+03 
       2.040570053356e-04       1.488610299894e+03 
       2.187717375774e-04       1.591560088392e+03 
       2.340031714211e-04       1.697777708441e+03 
       2.498008952548e-04       1.807585608742e+03 
       2.662184502690e-04       1.921328388999e+03 
       2.833136952002e-04       2.039374803077e+03 
       3.011491805457e-04       2.162119699378e+03 
       3.197925249974e-04       2.289985845782e+03 
       3.393167837950e-04       2.423425561190e+03 
       3.598007949172e-04       2.562922047300e+03 
       3.813294844476e-04       2.708990283303e+03 
       4.039941070762e-04       2.862177310838e+03 
       4.278923916126e-04       3.023061696468e+03 
       4.531285548632e-04       3.192251922789e+03 
       4.798131407256e-04       3.370383418913e+03 
       5.080626356595e-04       3.558113900819e+03 
       5.379988079316e-04       3.756116711358e+03 
       5.697477177126e-04       3.965071800205e+03 
       6.034383500518e-04       4.185654146376e+03 
       6.392008349528e-04       4.418519406801e+03 
       6.771642399587e-04       4.664286892029e+03 
       7.174539518240e-04       4.923520171583e+03 
       7.601887045194e-04       5.196705900758e+03 
       8.054773583407e-04       5.484231998776e+03 
       8.534155840436e-04       5.786366399367e+03 
       9.040826490048e-04       6.103238225310e+03 
       9.575385302735e-04       6.434822598252e+03 
       1.013821583378e-03       6.780930958712e+03 
       1.072946970199e-03       7.141207342209e+03 
       1.134905993731e-03       7.515130958932e+03 
       1.199666408215e-03       7.902025107400e+03 
       1.237685953032e-03       8.127297954042e+03 
       1.267173681764e-03       8.301071568976e+03 
       1.337353100265e-03       8.711330109686e+03 
       1.410112530429e-03       9.131762935835e+03 
       1.485345616560e-03       9.561262294683e+03 
       1.562935173802e-03       9.998680009644e+03 
       1.642756557639e-03       1.044285552228e+04 
       1.724680827698e-03       1.089263935409e+04 
       1.808577573914e-03       1.134691079768e+04 
       1.894317325288e-03       1.180459065067e+04 
       1.981773508839e-03       1.226465027925e+04 
       2.070823964317e-03       1.272612000696e+04 
       2.161352047312e-03       1.318809586403e+04 
       2.253247369975e-03       1.364974576439e+04 
       2.346406236227e-03       1.411031123937e+04 
       2.440731829417e-03       1.456910287765e+04 
       2.536134206954e-03       1.502549986918e+04 
       2.632530150392e-03       1.547894389879e+04 
       2.729842912233e-03       1.592893838476e+04 
       2.828001893341e-03       1.637504221630e+04 
       2.926942277899e-03       1.681686932095e+04 
       3.026604646696e-03       1.725407455563e+04 
       3.126934584318e-03       1.768635731806e+04 
       3.227882291507e-03       1.811344851487e+04 
       3.329402210537e-03       1.853511911831e+04 
       3.431452668786e-03       1.895117394134e+04 
       3.533995543625e-03       1.936144716272e+04 
       3.636995950267e-03       1.976580491376e+04 
       3.740421953082e-03       2.016413031736e+04 
       3.844244300126e-03       2.055633173228e+04 
       3.948436180119e-03       2.094233062306e+04 
       4.052973000729e-03       2.132207068050e+04 
       4.157832186856e-03       2.169549977203e+04 
       4.262992997494e-03       2.206258677325e+04 
       4.368436359704e-03       2.242331057810e+04 
       4.474144718296e-03       2.277765822053e+04 
       4.580101899811e-03       2.312562809057e+04 
       4.686292989519e-03       2.346723171375e+04 
       4.792704220213e-03       2.380249173961e+04 
       4.899322871658e-03       2.413142202463e+04 
       5.006137179679e-03       2.445405283479e+04 
       5.113136253919e-03       2.477041226540e+04 
       5.220310003429e-03       2.508054046347e+04 
       5.327649069297e-03       2.538446962310e+04 
       5.435144763619e-03       2.568224816784e+04 
       5.542789014175e-03       2.597393061444e+04 
       5.650574314243e-03       2.625955472102e+04 
       5.758493677037e-03       2.653919067363e+04 
       5.866540594312e-03       2.681287675743e+04 
       5.974708998718e-03       2.708067762159e+04 
       6.082993229540e-03       2.734264528264e+04 
       6.191388001486e-03       2.759883907201e+04 
       6.299888376236e-03       2.784930447579e+04 
       6.408489736469e-03       2.809411456871e+04 
       6.517187762150e-03       2.833333923003e+04 
       6.625978408838e-03       2.856702528740e+04 
       6.734857887851e-03       2.879523481414e+04 
       6.843822648090e-03       2.901803466325e+04 
       6.952869359376e-03       2.923548861576e+04 
       7.061994897172e-03       2.944765485110e+04 
       7.171196328541e-03       2.965459540180e+04 
       7.280470899244e-03       2.985637478259e+04 
       7.389816021878e-03       3.005307863517e+04 
       7.499229264944e-03       3.024474817706e+04 
