# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ddec[0]        13:(.)p_ddec[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       9.326212236469e+13       8.153296840451e-26       4.662069841288e-09       2.000150269709e+22       1.372220133697e+04       1.471358466764e-10       1.279761620201e+18       2.692043306342e-09       2.081614238068e+44       2.017959657592e+33       1.067863528163e+34       4.789908931931e+43       1.596636310644e+43       5.700558260441e-08       1.439995970030e+44       4.000601101418e+44       9.640010991844e-07       1.433565615564e+01 
       9.261382558559e+13       8.267842507762e-26       4.694811650552e-09       1.972439467629e+22       1.372220133697e+04       1.481657976031e-10       1.270865561272e+18       2.710887609487e-09       2.024334923495e+44       1.976168935292e+33       1.045748721263e+34       4.658106076497e+43       1.552702025499e+43       5.700558260441e-08       1.400371922191e+44       3.890517453459e+44       1.060401209103e-06       1.303241468694e+01 
       9.197003533823e+13       8.383997427154e-26       4.727553459816e-09       1.945112580979e+22       1.372220133697e+04       1.492029581864e-10       1.262031341879e+18       2.729863822753e-09       1.968631751041e+44       1.935243673539e+33       1.024091898619e+34       4.529930010830e+43       1.509976670277e+43       5.700558260441e-08       1.361838200436e+44       3.783462952682e+44       1.156801319021e-06       1.194638012970e+01 
       9.133072029615e+13       8.501784207008e-26       4.762114258483e-09       1.918164290857e+22       1.372220133697e+04       1.502473788937e-10       1.253258532154e+18       2.748972869512e-09       1.914461350357e+44       1.895165949170e+33       1.002883575656e+34       4.405280937366e+43       1.468426979122e+43       5.700558260441e-08       1.324364802505e+44       3.679354246718e+44       1.253201428940e-06       1.102742781203e+01 
       9.069584935070e+13       8.621225773332e-26       4.794856067747e-09       1.891589352050e+22       1.372220133697e+04       1.512991105459e-10       1.244546705218e+18       2.768215679599e-09       1.861781544502e+44       1.855918210199e+33       9.821144642157e+33       4.284061804646e+43       1.428020601549e+43       5.700558260441e-08       1.287922551705e+44       3.578110276789e+44       1.349601538858e-06       1.023975439688e+01 
       9.006539160943e+13       8.742345374221e-26       4.827597877011e-09       1.865382592015e+22       1.372220133697e+04       1.523582043197e-10       1.235895437157e+18       2.787593189356e-09       1.810551317112e+44       1.817483268131e+33       9.617754684945e+33       4.166178231757e+43       1.388726077252e+43       5.700558260441e-08       1.252483074190e+44       3.479652214593e+44       1.446001648776e-06       9.557104103758e+00 
       8.943931639467e+13       8.865166584383e-26       4.862158675678e-09       1.839538909870e+22       1.372220133697e+04       1.534247117500e-10       1.227304307008e+18       2.807106341681e-09       1.760730780460e+44       1.779844290434e+33       9.418576810560e+33       4.051538434843e+43       1.350512811614e+43       5.700558260441e-08       1.218018776871e+44       3.383903400927e+44       1.542401758695e-06       8.959785097273e+00 
       8.881759324197e+13       8.989713309727e-26       4.896719474345e-09       1.814053275404e+22       1.372220133697e+04       1.544986847322e-10       1.218772896731e+18       2.826756086073e-09       1.712281144399e+44       1.742984793170e+33       9.223523789319e+33       3.940053155645e+43       1.313351051882e+43       5.700558260441e-08       1.184502825932e+44       3.290789286006e+44       1.638801868613e-06       8.432738915080e+00 
       8.820019189868e+13       9.116009792015e-26       4.929461283609e-09       1.788920728096e+22       1.372220133697e+04       1.555801755254e-10       1.210300791193e+18       2.846543378675e-09       1.665164686165e+44       1.706888633768e+33       9.032510198010e+33       3.831635592001e+43       1.277211864000e+43       5.700558260441e-08       1.151909125938e+44       3.200237371410e+44       1.735201978531e-06       7.964253419798e+00 
       8.758708232243e+13       9.244080613583e-26       4.964022082277e-09       1.764136376147e+22       1.372220133697e+04       1.566692367540e-10       1.201887578146e+18       2.866469182326e-09       1.619344721000e+44       1.671540003966e+33       8.845452382488e+33       3.726201330267e+43       1.242067110089e+43       5.700558260441e-08       1.120212299515e+44       3.112177153646e+44       1.831602088450e-06       7.545082187176e+00 
       8.697823467967e+13       9.373950702123e-26       5.000401870348e-09       1.739695395536e+22       1.372220133697e+04       1.577659214113e-10       1.193532848208e+18       2.886534466602e-09       1.574785573594e+44       1.636923422878e+33       8.662268421030e+33       3.623668279591e+43       1.207889426530e+43       5.700558260441e-08       1.089387667592e+44       3.026540069248e+44       1.928002198368e-06       7.167828077817e+00 
       8.637361934426e+13       9.505645335537e-26       5.034962669015e-09       1.715593029071e+22       1.372220133697e+04       1.588702828612e-10       1.185236194844e+18       2.906740207868e-09       1.531452550306e+44       1.603023730218e+33       8.482878088466e+33       3.523956607995e+43       1.174652202665e+43       5.700558260441e-08       1.059411230189e+44       2.943259441395e+44       2.024402308286e-06       6.826502931254e+00 
       8.577320689599e+13       9.639190146856e-26       5.069523467682e-09       1.691824585469e+22       1.372220133697e+04       1.599823748412e-10       1.176997214344e+18       2.927087389323e-09       1.489311912151e+44       1.569826079661e+33       8.307202821039e+33       3.426988680220e+43       1.142329560073e+43       5.700558260441e-08       1.030259647727e+44       2.862270427999e+44       2.120802418205e-06       6.516207343470e+00 
       8.517696811915e+13       9.774611129229e-26       5.105903255753e-09       1.668385438445e+22       1.372220133697e+04       1.611022514651e-10       1.168815505803e+18       2.947577001048e-09       1.448330848536e+44       1.537315932340e+33       8.135165682000e+33       3.332688997280e+43       1.110896332427e+43       5.700558260441e-08       1.001910222855e+44       2.783509971215e+44       2.217202528123e-06       6.232893980710e+00 
       8.458487400115e+13       9.911934640983e-26       5.140464054421e-09       1.645271025804e+22       1.372220133697e+04       1.622299672254e-10       1.160690671106e+18       2.968210040055e-09       1.408477451704e+44       1.505479050481e+33       7.966691327913e+33       3.240984137677e+43       1.080328045892e+43       5.700558260441e-08       9.743408827823e+43       2.706916748349e+44       2.313602638041e-06       5.973190064847e+00 
       8.399689573103e+13       1.005118741075e-25       5.176843842492e-09       1.622476848558e+22       1.372220133697e+04       1.633655769959e-10       1.152622314901e+18       2.988987510336e-09       1.369720691902e+44       1.474301491162e+33       7.801705975661e+33       3.151802700236e+43       1.050600900079e+43       5.700558260441e-08       9.475301620897e+43       2.632431124108e+44       2.410002747959e-06       5.734262462253e+00 
       8.341300469814e+13       1.019239654269e-25       5.213223630562e-09       1.599998470053e+22       1.372220133697e+04       1.645091360349e-10       1.144610044589e+18       3.009910422908e-09       1.332030393213e+44       1.443769600213e+33       7.640137370128e+33       3.065075248512e+43       1.021691749504e+43       5.700558260441e-08       9.214571860169e+43       2.559995104171e+44       2.506402857878e-06       5.513713906013e+00 
       8.283317249071e+13       1.033558952171e-25       5.249603418633e-09       1.577831515097e+22       1.372220133697e+04       1.656606999871e-10       1.136653470297e+18       3.030979795868e-09       1.295377210063e+44       1.413870006234e+33       7.481914752559e+33       2.980734256728e+43       9.935780855759e+42       5.700558260441e-08       8.961016542097e+43       2.489552290035e+44       2.602802967796e-06       5.309502279864e+00 
       8.225737089444e+13       1.048079421891e-25       5.285983206704e-09       1.555971669118e+22       1.372220133697e+04       1.668203248871e-10       1.128752204863e+18       3.052196654439e-09       1.259732604377e+44       1.384589614737e+33       7.326968829569e+33       2.898714057198e+43       9.662380190659e+42       5.700558260441e-08       8.714438249143e+43       2.421047835098e+44       2.699203077714e-06       5.119877198440e+00 
       8.168557189121e+13       1.062803889689e-25       5.324181984179e-09       1.534414677317e+22       1.372220133697e+04       1.679880671613e-10       1.120905863816e+18       3.073562031020e-09       1.225068823354e+44       1.355915602413e+33       7.175231742800e+33       2.818950789199e+43       9.396502630665e+42       5.700558260441e-08       8.474644996064e+43       2.354428401965e+44       2.795603187633e-06       4.943329708839e+00 
