# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ddec[0]        15:(.)p_ddec[0]          16:(.)rho_lambda         17:(.)rho_crit           18:gr.fac. D             19:gr.fac. f          
       9.326212236469e+13       7.705615677409e-26       4.407411324792e-09       2.116355078836e+22       1.330113533749e+04       1.426209805249e-10       1.240492111434e+18       2.544228612247e-09       2.081614238068e+44       2.017959657592e+33       1.067863528163e+34       1.439362795135e+44       4.797875983783e+43       9.579817863862e+43       3.193272621287e+43       8.107569152318e-08       4.478958819716e+44       1.153181752919e-06       1.433565615564e+01 
       9.261382558559e+13       7.813871872061e-26       4.438334144652e-09       2.087034333485e+22       1.330113533749e+04       1.436193273886e-10       1.231869028237e+18       2.562038212532e-09       2.024334923495e+44       1.976168935292e+33       1.045748721263e+34       1.399756170228e+44       4.665853900760e+43       9.316212152994e+43       3.105404050998e+43       8.107569152318e-08       4.355712309147e+44       1.268499928211e-06       1.303241468695e+01 
       9.197003533823e+13       7.923648957991e-26       4.469256964512e-09       2.058119808299e+22       1.330113533749e+04       1.446246626803e-10       1.223305887027e+18       2.579972480020e-09       1.968631751041e+44       1.935243673539e+33       1.024091898619e+34       1.361239391983e+44       4.537464639942e+43       9.059860021660e+43       3.019953340553e+43       8.107569152318e-08       4.235857145312e+44       1.383818103503e-06       1.194638012970e+01 
       9.133072029615e+13       8.034968302202e-26       4.500179784372e-09       2.029605875356e+22       1.330113533749e+04       1.456370353191e-10       1.214802271130e+18       2.598032287380e-09       1.914461350357e+44       1.895165949170e+33       1.002883575656e+34       1.323782471331e+44       4.412608237769e+43       8.810561874731e+43       2.936853958244e+43       8.107569152318e-08       4.119300009280e+44       1.499136278795e-06       1.102742781203e+01 
       9.069584935070e+13       8.147851571880e-26       4.531102604233e-09       2.001486984708e+22       1.330113533749e+04       1.466564945663e-10       1.206357766762e+18       2.616218513392e-09       1.861781544502e+44       1.855918210199e+33       9.821144642157e+33       1.287356244408e+44       4.291187481359e+43       8.568123609292e+43       2.856041203097e+43       8.107569152318e-08       4.005950149956e+44       1.614454454087e-06       1.023975439688e+01 
       9.006539160943e+13       8.262320738613e-26       4.563844413497e-09       1.973757663297e+22       1.330113533749e+04       1.476830900283e-10       1.197971963021e+18       2.634532042985e-09       1.810551317112e+44       1.817483268131e+33       9.617754684945e+33       1.251932349844e+44       4.173107832814e+43       8.332356463515e+43       2.777452154505e+43       8.107569152318e-08       3.895719313422e+44       1.729772629379e-06       9.557104103759e+00 
       8.943931639467e+13       8.378398082669e-26       4.594767233357e-09       1.946412513889e+22       1.330113533749e+04       1.487168716585e-10       1.189644451858e+18       2.652973767286e-09       1.760730780460e+44       1.779844290435e+33       9.418576810560e+33       1.217483206684e+44       4.058277355614e+43       8.103076869687e+43       2.701025623229e+43       8.107569152318e-08       3.788521674225e+44       1.845090804670e-06       8.959785097274e+00 
       8.881759324197e+13       8.496106197333e-26       4.627509042621e-09       1.919446214029e+22       1.330113533749e+04       1.497578897601e-10       1.181374828062e+18       2.671544583657e-09       1.712281144399e+44       1.742984793170e+33       9.223523789319e+33       1.183981992911e+44       3.946606643036e+43       7.880106311289e+43       2.626702103763e+43       8.107569152318e-08       3.684273768549e+44       1.960408979962e-06       8.432738915081e+00 
       8.820019189868e+13       8.615467993299e-26       4.660250851884e-09       1.892853514997e+22       1.330113533749e+04       1.508061949884e-10       1.173162689237e+18       2.690245395742e-09       1.665164686165e+44       1.706888633768e+33       9.032510198010e+33       1.151402624562e+44       3.838008748542e+43       7.663271184001e+43       2.554423728000e+43       8.107569152318e-08       3.582894429235e+44       2.075727155254e-06       7.964253419798e+00 
       8.758708232243e+13       8.736506703137e-26       4.692992661148e-09       1.866629240793e+22       1.330113533749e+04       1.518618383533e-10       1.165007635786e+18       2.709077113513e-09       1.619344721000e+44       1.671540003966e+33       8.845452382488e+33       1.119719735424e+44       3.732399118081e+43       7.452402660535e+43       2.484134220178e+43       8.107569152318e-08       3.484304722583e+44       2.191045330546e-06       7.545082187177e+00 
