#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ddec[0]         19:theta_ddec[0]         20:shear_ddec[0]         21:cs2_ddec[0]        
       7.433035951134e-03       1.709321528398e-08      -1.182132847507e+00       2.196680750309e-05       5.088236024858e-15       1.272059006214e-14       1.657411307469e-25       2.544118012429e-15      -8.865996356302e-01       2.196680750309e-05       5.910647746184e-01       7.044668153367e-01      -1.182132847507e+00       2.196680696367e-05       2.177074488801e-08      -8.865996356302e-01       2.196680864384e-05      -1.182132847507e+00       2.196680696367e-05       2.176932378453e-08       3.333333333333e-01 
       7.519918169207e-03       1.729301459487e-08      -1.182133127625e+00       2.222357187004e-05       5.268755614098e-15       1.317188903525e-14       1.756568113196e-25       2.634377807049e-15      -8.865998457185e-01       2.222357187004e-05       5.910650927705e-01       7.044667459472e-01      -1.182133127625e+00       2.222357131148e-05       2.228265928598e-08      -8.865998457185e-01       2.222357305126e-05      -1.182133127625e+00       2.222357131148e-05       2.228093193529e-08       3.333333333333e-01 
       7.606800387280e-03       1.749281396483e-08      -1.182133430941e+00       2.248033674465e-05       5.453495281775e-15       1.363373820444e-14       1.860414949663e-25       2.726747640887e-15      -8.866000732056e-01       2.248033674465e-05       5.910653978999e-01       7.044666707655e-01      -1.182133430941e+00       2.248033616650e-05       2.280052256370e-08      -8.866000732056e-01       2.248033796728e-05      -1.182133430941e+00       2.248033616651e-05       2.279848198503e-08       3.333333333333e-01 
       7.889606207962e-03       1.814317098370e-08      -1.182134320798e+00       2.331611721936e-05       6.084646937052e-15       1.521161734263e-14       2.232941237144e-25       3.042323468526e-15      -8.866007405984e-01       2.331611721936e-05       5.910663639234e-01       7.044664504598e-01      -1.182134320798e+00       2.331611657431e-05       2.452738971747e-08      -8.866007405984e-01       2.331611858349e-05      -1.182134320798e+00       2.331611657432e-05       2.452427870586e-08       3.333333333333e-01 
       8.172412028643e-03       1.879352862848e-08      -1.182135291490e+00       2.415189976719e-05       6.762709244155e-15       1.690677311039e-14       2.662887993615e-25       3.381354622077e-15      -8.866014686179e-01       2.415189976719e-05       5.910672421400e-01       7.044662100240e-01      -1.182135291490e+00       2.415189905025e-05       2.631728704842e-08      -8.866014686179e-01       2.415190128334e-05      -1.182135291490e+00       2.415189905028e-05       2.631302615999e-08       3.333333333333e-01 
       8.455217849325e-03       1.944388689918e-08      -1.182136403985e+00       2.498768584180e-05       7.489364365628e-15       1.872341091407e-14       3.156651636708e-25       3.744682182814e-15      -8.866023029891e-01       2.498768584180e-05       5.910680257120e-01       7.044659342164e-01      -1.182136403985e+00       2.498768504783e-05       2.817021467558e-08      -8.866023029891e-01       2.498768752085e-05      -1.182136403985e+00       2.498768504787e-05       2.816472158824e-08       3.333333333333e-01 
       8.738023670007e-03       2.009424579580e-08      -1.182137593868e+00       2.582347434076e-05       8.266293779017e-15       2.066573444754e-14       3.721086626207e-25       4.133146889508e-15      -8.866031954012e-01       2.582347434076e-05       5.910687365232e-01       7.044656391407e-01      -1.182137593868e+00       2.582347346442e-05       3.008617313085e-08      -8.866031954012e-01       2.582347619399e-05      -1.182137593868e+00       2.582347346448e-05       3.007936272062e-08       3.333333333333e-01 
       9.020829490688e-03       2.074460531834e-08      -1.182138769628e+00       2.665926332566e-05       9.095178604352e-15       2.273794651088e-14       4.363521385765e-25       4.547589302176e-15      -8.866040772208e-01       2.665926332566e-05       5.910694021928e-01       7.044653476745e-01      -1.182138769628e+00       2.665926236145e-05       3.206516276908e-08      -8.866040772208e-01       2.665926536471e-05      -1.182138769628e+00       2.665926236152e-05       3.205694675692e-08       3.333333333333e-01 
       9.303635311370e-03       2.139496546680e-08      -1.182139954376e+00       2.749505335708e-05       9.977700716167e-15       2.494425179042e-14       5.091774675412e-25       4.988850358083e-15      -8.866049657824e-01       2.749505335708e-05       5.910700243495e-01       7.044650540399e-01      -1.182139954376e+00       2.749505229931e-05       3.410718355079e-08      -8.866049657824e-01       2.749505559397e-05      -1.182139954376e+00       2.749505229941e-05       3.409747126350e-08       3.333333333333e-01 
       1.003154671719e-02       2.306892459172e-08      -1.182142911681e+00       2.964628736887e-05       1.250770756928e-14       3.126926892321e-14       7.420752408643e-25       6.253853784641e-15      -8.866071837611e-01       2.964628736887e-05       5.910714877225e-01       7.044643216459e-01      -1.182142911681e+00       2.964628604289e-05       3.965302895641e-08      -8.866071837611e-01       2.964629017295e-05      -1.182142911681e+00       2.964628604308e-05       3.963902701976e-08       3.333333333333e-01 
