# Matter power spectrum P(k) at redshift z=0
# for k=9.0192e-06 to 20.5861 h/Mpc,
# number of wavenumbers equal to 855
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.019201454174e-06       7.364120392282e+01 
       2.013437232318e-05       1.597262110722e+02 
       3.127867019624e-05       2.442389432906e+02 
       4.247440903451e-05       3.280302528943e+02 
       5.374417827534e-05       4.115604847863e+02 
       6.511099296095e-05       4.951592436425e+02 
       7.659844748270e-05       5.790975213115e+02 
       8.823087449441e-05       6.636166718432e+02 
       1.000335105604e-04       7.489427734912e+02 
       1.120326701213e-04       8.352948728885e+02 
       1.242559293744e-04       9.228903356454e+02 
       1.367323216761e-04       1.011948680068e+03 
       1.494925460608e-04       1.102694573182e+03 
       1.625691904350e-04       1.195360362237e+03 
       1.759969709228e-04       1.290188339764e+03 
       1.898129886899e-04       1.387432856323e+03 
       2.040570053356e-04       1.487362361669e+03 
       2.187717375774e-04       1.590261411736e+03 
       2.340031714211e-04       1.696432686019e+03 
       2.498008952548e-04       1.806198985896e+03 
       2.662184502690e-04       1.919905241735e+03 
       2.833136952002e-04       2.037920481786e+03 
       3.011491805457e-04       2.160639745914e+03 
       3.197925249974e-04       2.288485857723e+03 
       3.393167837950e-04       2.421911001642e+03 
       3.598007949172e-04       2.561397981907e+03 
       3.813294844476e-04       2.707461027568e+03 
       4.039941070762e-04       2.860645973540e+03 
       4.278923916126e-04       3.021529609567e+03 
       4.531285548632e-04       3.190717946022e+03 
       4.798131407256e-04       3.368843126865e+03 
       5.080626356595e-04       3.556558674303e+03 
       5.379988079316e-04       3.754532777921e+03 
       5.697477177126e-04       3.963439304805e+03 
       6.034383500518e-04       4.183946346434e+03 
       6.392008349528e-04       4.416702134359e+03 
       6.771642399587e-04       4.662318419686e+03 
       7.174539518240e-04       4.921351569121e+03 
       7.601887045194e-04       5.194281937958e+03 
       8.054773583407e-04       5.481492449343e+03 
       8.534155840436e-04       5.783247470307e+03 
       9.040826490048e-04       6.099673735098e+03 
       9.575385302735e-04       6.430744449748e+03 
       1.013821583378e-03       6.776268481019e+03 
       1.072946970199e-03       7.135886555909e+03 
       1.134905993731e-03       7.509072899763e+03 
       1.199666408215e-03       7.895145296210e+03 
       1.237685953032e-03       8.119912111984e+03 
       1.267173681764e-03       8.293281804752e+03 
       1.337353100265e-03       8.702541680191e+03 
       1.410112530429e-03       9.121890518260e+03 
       1.485345616560e-03       9.550226876902e+03 
       1.562935173802e-03       9.986408911417e+03 
       1.642756557639e-03       1.042927987814e+04 
       1.724680827698e-03       1.087769052591e+04 
       1.808577573914e-03       1.133051896202e+04 
       1.894317325288e-03       1.178668655732e+04 
       1.981773508839e-03       1.224516963862e+04 
       2.070823964317e-03       1.270500820139e+04 
       2.161352047312e-03       1.316530992434e+04 
       2.253247369975e-03       1.362525388869e+04 
       2.346406236227e-03       1.408409044342e+04 
       2.440731829417e-03       1.454113773048e+04 
       2.536134206954e-03       1.499578293103e+04 
       2.632530150392e-03       1.544747587652e+04 
       2.729842912233e-03       1.589572565718e+04 
       2.828001893341e-03       1.634009656606e+04 
       2.926942277899e-03       1.678020480320e+04 
       3.026604646696e-03       1.721571176330e+04 
       3.126934584318e-03       1.764632356870e+04 
       3.227882291507e-03       1.807178187105e+04 
       3.329402210537e-03       1.849186768627e+04 
       3.431452668786e-03       1.890639026120e+04 
       3.533995543625e-03       1.931518956999e+04 
       3.636995950267e-03       1.971813108013e+04 
       3.740421953082e-03       2.011510248592e+04 
       3.844244300126e-03       2.050601380565e+04 
       3.948436180119e-03       2.089078870477e+04 
       4.052973000729e-03       2.126937593384e+04 
       4.157832186856e-03       2.164172717729e+04 
       4.262992997494e-03       2.200781451851e+04 
       4.368436359704e-03       2.236762474586e+04 
       4.474144718296e-03       2.272114426593e+04 
