#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ddec[0]         19:theta_ddec[0]         20:shear_ddec[0]         21:cs2_ddec[0]        
       7.002781541305e-03       1.704056969337e-08      -1.166785531648e+00       2.042662662435e-05       4.732550502659e-15       1.183137625665e-14       1.541901466488e-25       2.366275251330e-15      -8.750891487361e-01       2.042662662435e-05       5.833888984090e-01       7.083036409286e-01      -1.166785531648e+00       2.042662617914e-05       1.907245810721e-08      -8.750891487361e-01       2.042662757825e-05      -1.166785531648e+00       2.042662617914e-05       1.907245050701e-08       3.333333333333e-01 
       7.005484288179e-03       1.704714663213e-08      -1.166785107782e+00       2.043450283337e-05       4.738030546378e-15       1.184507636594e-14       1.544878732601e-25       2.369015273189e-15      -8.750888308368e-01       2.043450283337e-05       5.833890153242e-01       7.083037469134e-01      -1.166785107782e+00       2.043450238764e-05       1.908718489246e-08      -8.750888308368e-01       2.043450378837e-05      -1.166785107782e+00       2.043450238764e-05       1.908716903663e-08       3.333333333333e-01 
       7.008187035054e-03       1.705372357094e-08      -1.166784690882e+00       2.044237915994e-05       4.743514846172e-15       1.185878711543e-14       1.547860604915e-25       2.371757423086e-15      -8.750885181617e-01       2.044237915994e-05       5.833891307093e-01       7.083038511568e-01      -1.166784690882e+00       2.044237871369e-05       1.910191733279e-08      -8.750885181617e-01       2.044238011604e-05      -1.166784690882e+00       2.044237871369e-05       1.910189322356e-08       3.333333333333e-01 
       7.019837200149e-03       1.708207340476e-08      -1.166783988686e+00       2.047634914672e-05       4.767207768727e-15       1.191801942182e-14       1.560768144170e-25       2.383603884363e-15      -8.750879915148e-01       2.047634914672e-05       5.833893847600e-01       7.083040267852e-01      -1.166783988686e+00       2.047634869825e-05       1.916548177359e-08      -8.750879915148e-01       2.047635010761e-05      -1.166783988686e+00       2.047634869825e-05       1.916542206180e-08       3.333333333333e-01 
       7.031487365244e-03       1.711042323964e-08      -1.166783836202e+00       2.051032874878e-05       4.790981701140e-15       1.197745425285e-14       1.573762386647e-25       2.395490850570e-15      -8.750878771512e-01       2.051032874878e-05       5.833895164616e-01       7.083040649860e-01      -1.166783836202e+00       2.051032829807e-05       1.922914941743e-08      -8.750878771512e-01       2.051032971446e-05      -1.166783836202e+00       2.051032829807e-05       1.922905395138e-08       3.333333333333e-01 
       7.043137530339e-03       1.713877307558e-08      -1.166783838395e+00       2.054431105222e-05       4.814835176102e-15       1.203708794025e-14       1.586843241718e-25       2.407417588051e-15      -8.750878787966e-01       2.054431105222e-05       5.833896134608e-01       7.083040645173e-01      -1.166783838395e+00       2.054431059926e-05       1.929292193236e-08      -8.750878787966e-01       2.054431202270e-05      -1.166783838395e+00       2.054431059926e-05       1.929279051569e-08       3.333333333333e-01 
       7.054787695434e-03       1.716712291258e-08      -1.166783867914e+00       2.057829383672e-05       4.838767808561e-15       1.209691952140e-14       1.600010971089e-25       2.419383904280e-15      -8.750879009355e-01       2.057829383672e-05       5.833897040659e-01       7.083040572175e-01      -1.166783867914e+00       2.057829338152e-05       1.935679990740e-08      -8.750879009355e-01       2.057829481203e-05      -1.166783867914e+00       2.057829338152e-05       1.935663242270e-08       3.333333333333e-01 
       7.084443075584e-03       1.723928714739e-08      -1.166783902981e+00       2.066479600324e-05       4.900045513340e-15       1.225011378335e-14       1.633924051808e-25       2.450022756670e-15      -8.750879272361e-01       2.066479600324e-05       5.833899436660e-01       7.083040486545e-01      -1.166783902981e+00       2.066479554227e-05       1.951987714331e-08      -8.750879272361e-01       2.066479699090e-05      -1.166783902981e+00       2.066479554227e-05       1.951961752354e-08       3.333333333333e-01 
       7.114098455734e-03       1.731145138907e-08      -1.166783919727e+00       2.075129781991e-05       4.961838310105e-15       1.240459577526e-14       1.668409729319e-25       2.480919155052e-15      -8.750879397949e-01       2.075129781991e-05       5.833901853870e-01       7.083040446729e-01      -1.166783919727e+00       2.075129735312e-05       1.968363844580e-08      -8.750879397949e-01       2.075129882002e-05      -1.166783919727e+00       2.075129735312e-05       1.968328577947e-08       3.333333333333e-01 
       7.143753835885e-03       1.738361563764e-08      -1.166783944890e+00       2.083779978649e-05       5.024148473866e-15       1.256037118467e-14       1.703475264319e-25       2.512074236933e-15      -8.750879586673e-01       2.083779978649e-05       5.833904231669e-01       7.083040385877e-01      -1.166783944890e+00       2.083779931385e-05       1.984808382869e-08      -8.750879586673e-01       2.083780079917e-05      -1.166783944890e+00       2.083779931385e-05       1.984763737725e-08       3.333333333333e-01 
