# Matter power spectrum P(k) at redshift z=0
# for k=8.06309e-06 to 23.1709 h/Mpc,
# number of wavenumbers equal to 861
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.063094627304e-06       1.012382047558e+02 
       1.799879852529e-05       2.195686083046e+02 
       2.795531670261e-05       3.356748484011e+02 
       3.794857284474e-05       4.506809623258e+02 
       4.799464795472e-05       5.651738584756e+02 
       5.810986579511e-05       6.795597156856e+02 
       6.831087998549e-05       7.941624582528e+02 
       7.861476346671e-05       9.092630470366e+02 
       8.903910104816e-05       1.025118549702e+03 
       9.960208576256e-05       1.141972876737e+03 
       1.103226197607e-04       1.260063480936e+03 
       1.212204204863e-04       1.379625922870e+03 
       1.323161328746e-04       1.500897266712e+03 
       1.436314483177e-04       1.624118775016e+03 
       1.551892311236e-04       1.749538182834e+03 
       1.670136531707e-04       1.877411722641e+03 
       1.791303374080e-04       2.008005977211e+03 
       1.915665107696e-04       2.141599664036e+03 
       2.043511669539e-04       2.278485366877e+03 
       2.175152393408e-04       2.418971234451e+03 
       2.310917840800e-04       2.563382696260e+03 
       2.451161730514e-04       2.712064147081e+03 
       2.596262959596e-04       2.865380646014e+03 
       2.746627702457e-04       3.023719568627e+03 
       2.902691567586e-04       3.187492228943e+03 
       3.064921781847e-04       3.357135410103e+03 
       3.233819360610e-04       3.533112738487e+03 
       3.409921207563e-04       3.715915871500e+03 
       3.593802070753e-04       3.906065369726e+03 
       3.786076260986e-04       4.104111190193e+03 
       3.987399015405e-04       4.310632590468e+03 
       4.198467363095e-04       4.526237391102e+03 
       4.420020322063e-04       4.751560252822e+03 
       4.652838229331e-04       4.987259958238e+03 
       4.897740980930e-04       5.234015195473e+03 
       5.155584939622e-04       5.492518908431e+03 
       5.427258260208e-04       5.763470596153e+03 
       5.713674391044e-04       6.047566820230e+03 
       6.015763542509e-04       6.345489331926e+03 
       6.334461975377e-04       6.657891119572e+03 
       6.670699059687e-04       6.985380537470e+03 
       7.025382190504e-04       7.328503720877e+03 
       7.399379818654e-04       7.687726107007e+03 
       7.793503053074e-04       8.063413935001e+03 
       8.208486500002e-04       8.455816413168e+03 
       8.644969197837e-04       8.865050192065e+03 
       9.103476654871e-04       9.291086410165e+03 
       9.584405068746e-04       9.733741016119e+03 
       1.008800877574e-03       1.019266882339e+04 
       1.061439183157e-03       1.066736162627e+04 
       1.072483128768e-03       1.076631151476e+04 
       1.116350436862e-03       1.115714984751e+04 
       1.173514403223e-03       1.166120979695e+04 
       1.232896241352e-03       1.217857612523e+04 
       1.294447601936e-03       1.270816091872e+04 
       1.358108100175e-03       1.324877837210e+04 
       1.423807064833e-03       1.379917345959e+04 
       1.491465453149e-03       1.435805019060e+04 
       1.560997822702e-03       1.492409649198e+04 
       1.632314262396e-03       1.549600292565e+04 
       1.705322202710e-03       1.607247894201e+04 
       1.779928046787e-03       1.665226640734e+04 
       1.856038585803e-03       1.723415318154e+04 
       1.933562181946e-03       1.781699154478e+04 
       2.012409718799e-03       1.839970601684e+04 
       2.092495331292e-03       1.898129964697e+04 
       2.173736935682e-03       1.956085238086e+04 
       2.256056584747e-03       2.013751746934e+04 
       2.339380675166e-03       2.071051864586e+04 
       2.423640033730e-03       2.127915231899e+04 
       2.508769907240e-03       2.184278810984e+04 
       2.594709878323e-03       2.240086568745e+04 
       2.681403726373e-03       2.295288871658e+04 
       2.768799249735e-03       2.349841511609e+04 
       2.856848062322e-03       2.403705497684e+04 
       2.945505375205e-03       2.456846696895e+04 
       3.034729771363e-03       2.509235965932e+04 
       3.124482979861e-03       2.560848572457e+04 
       3.214729654051e-03       2.611663442788e+04 
       3.305437157091e-03       2.661662892249e+04 
       3.396575357037e-03       2.710832075644e+04 
       3.488116432894e-03       2.759159025268e+04 
       3.580034692457e-03       2.806634549719e+04 
       3.672306402225e-03       2.853251636758e+04 
       3.764909629376e-03       2.899005406492e+04 
       3.857824095512e-03       2.943892355052e+04 
       3.951031041736e-03       2.987910960822e+04 
       4.044513104485e-03       3.031060418474e+04 
       4.138254201498e-03       3.073342453644e+04 
       4.232239427261e-03       3.114759382721e+04 
       4.326454957242e-03       3.155314458890e+04 
       4.420887960284e-03       3.195011795210e+04 
       4.515526518479e-03       3.233856064236e+04 
       4.610359553953e-03       3.271853142539e+04 
       4.705376761949e-03       3.309009642898e+04 
       4.800568549696e-03       3.345332441666e+04 
       4.895925980552e-03       3.380828187015e+04 
       4.991440722952e-03       3.415505243375e+04 
       5.087105003751e-03       3.449371239756e+04 
       5.182911565553e-03       3.482434575499e+04 
       5.278853627679e-03       3.514704129205e+04 
       5.374924850450e-03       3.546188378256e+04 
       5.471119302468e-03       3.576896408734e+04 
       5.567431430657e-03       3.606836964784e+04 
       5.663856032782e-03       3.636019494329e+04 
       5.760388232250e-03       3.664453475681e+04 
       5.857023454974e-03       3.692147890321e+04 
       5.953757408127e-03       3.719112146717e+04 
       6.050586060610e-03       3.745356371040e+04 
       6.147505625087e-03       3.770889182947e+04 
       6.244512541451e-03       3.795720333146e+04 
       6.341603461591e-03       3.819859212369e+04 
       6.438775235358e-03       3.843315389104e+04 
       6.536024897612e-03       3.866096990826e+04 
       6.633349656274e-03       3.888232444483e+04 
       6.730746881282e-03       3.909700193383e+04 
       6.828214094389e-03       3.930509442773e+04 
       6.925748959723e-03       3.950677158101e+04 
       7.023349275051e-03       3.970225240052e+04 
       7.121012963686e-03       3.989164982429e+04 
       7.218738066990e-03       4.007495806278e+04 
       7.316522737415e-03       4.025220330372e+04 
       7.414365232052e-03       4.042346477792e+04 
       7.512263906638e-03       4.058889830889e+04 
       7.610217209981e-03       4.074862450659e+04 
       7.708223678793e-03       4.090270590807e+04 
       7.806281932865e-03       4.105117288929e+04 
       7.904390670592e-03       4.119410853527e+04 
       8.002548664795e-03       4.133161279756e+04 
       8.100754758836e-03       4.146378426744e+04 
       8.199007862992e-03       4.159073170682e+04 
       8.297306951075e-03       4.171248535616e+04 
       8.395651057279e-03       4.182908059708e+04 
       8.494039273238e-03       4.194064928351e+04 
       8.592470745275e-03       4.204727025200e+04 
