# Matter power spectrum P(k) at redshift z=0
# for k=9.0192e-06 to 20.5861 h/Mpc,
# number of wavenumbers equal to 855
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.019201454174e-06       7.372393987981e+01 
       2.013437232318e-05       1.599052721317e+02 
       3.127867019624e-05       2.445116942763e+02 
       4.247440903451e-05       3.283945465573e+02 
       5.374417827534e-05       4.120142143422e+02 
       6.511099296095e-05       4.957001797081e+02 
       7.659844748270e-05       5.797232228115e+02 
       8.823087449441e-05       6.643244226727e+02 
       1.000335105604e-04       7.497295285295e+02 
       1.120326701213e-04       8.361572064392e+02 
       1.242559293744e-04       9.238243889686e+02 
       1.367323216761e-04       1.012950106241e+03 
       1.494925460608e-04       1.103758478413e+03 
       1.625691904350e-04       1.196481243311e+03 
       1.759969709228e-04       1.291360017793e+03 
       1.898129886899e-04       1.388648407468e+03 
       2.040570053356e-04       1.488614046111e+03 
       2.187717375774e-04       1.591540602904e+03 
       2.340031714211e-04       1.697729803055e+03 
       2.498008952548e-04       1.807503433485e+03 
       2.662184502690e-04       1.921205362921e+03 
       2.833136952002e-04       2.039203531147e+03 
       3.011491805457e-04       2.161891892497e+03 
       3.197925249974e-04       2.289692229375e+03 
       3.393167837950e-04       2.423055784602e+03 
       3.598007949172e-04       2.562464591400e+03 
       3.813294844476e-04       2.708432366118e+03 
       4.039941070762e-04       2.861504792882e+03 
       4.278923916126e-04       3.022258988218e+03 
       4.531285548632e-04       3.191301886156e+03 
       4.798131407256e-04       3.369267259441e+03 
       5.080626356595e-04       3.556811038818e+03 
       5.379988079316e-04       3.754604612255e+03 
       5.697477177126e-04       3.963325743052e+03 
       6.034383500518e-04       4.183646884307e+03 
       6.392008349528e-04       4.416220694214e+03 
       6.771642399587e-04       4.661662848792e+03 
       7.174539518240e-04       4.920532458242e+03 
       7.601887045194e-04       5.193310772695e+03 
       8.054773583407e-04       5.480379306986e+03 
       8.534155840436e-04       5.781998717086e+03 
       9.040826490048e-04       6.098290378987e+03 
       9.575385302735e-04       6.429221832095e+03 
       1.013821583378e-03       6.774597721284e+03 
       1.072946970199e-03       7.134057558497e+03 
       1.134905993731e-03       7.507077967707e+03 
       1.199666408215e-03       7.892981824924e+03 
       1.237685953032e-03       8.117653880226e+03 
       1.267173681764e-03       8.290952644817e+03 
       1.337353100265e-03       8.700052752779e+03 
       1.410112530429e-03       9.119246814498e+03 
       1.485345616560e-03       9.547429154188e+03 
       1.562935173802e-03       9.983453230088e+03 
       1.642756557639e-03       1.042616037614e+04 
       1.724680827698e-03       1.087440352200e+04 
       1.808577573914e-03       1.132706536404e+04 
       1.894317325288e-03       1.178307075823e+04 
       1.981773508839e-03       1.224139587830e+04 
       2.070823964317e-03       1.270107749151e+04 
       2.161352047312e-03       1.316122013067e+04 
       2.253247369975e-03       1.362100271981e+04 
       2.346406236227e-03       1.407967846767e+04 
       2.440731829417e-03       1.453656861795e+04 
       2.536134206954e-03       1.499106086767e+04 
       2.632530150392e-03       1.544260283998e+04 
       2.729842912233e-03       1.589070122996e+04 
       2.828001893341e-03       1.633492026595e+04 
       2.926942277899e-03       1.677487834824e+04 
       3.026604646696e-03       1.721023892651e+04 
       3.126934584318e-03       1.764070795690e+04 
       3.227882291507e-03       1.806602514464e+04 
       3.329402210537e-03       1.848597008552e+04 
       3.431452668786e-03       1.890035268558e+04 
       3.533995543625e-03       1.930901480977e+04 
       3.636995950267e-03       1.971182291412e+04 
       3.740421953082e-03       2.010866381648e+04 
       3.844244300126e-03       2.049944598400e+04 
       3.948436180119e-03       2.088409268566e+04 
       4.052973000729e-03       2.126255375867e+04 
       4.157832186856e-03       2.163478203720e+04 
       4.262992997494e-03       2.200074941637e+04 
       4.368436359704e-03       2.236044143680e+04 
       4.474144718296e-03       2.271384372988e+04 
       4.580101899811e-03       2.306095543801e+04 
       4.686292989519e-03       2.340179145025e+04 
       4.792704220213e-03       2.373636532526e+04 
       4.899322871658e-03       2.406469742761e+04 
       5.006137179679e-03       2.438682039324e+04 
       5.113136253919e-03       2.470275927631e+04 
       5.220310003429e-03       2.501255996712e+04 
       5.327649069297e-03       2.531625696478e+04 
       5.435144763619e-03       2.561389436784e+04 
       5.542789014175e-03       2.590552752907e+04 
       5.650574314243e-03       2.619119111038e+04 
       5.758493677037e-03       2.647095401489e+04 
       5.866540594312e-03       2.674485224185e+04 
       5.974708998718e-03       2.701295064768e+04 
       6.082993229540e-03       2.727530211884e+04 
       6.191388001486e-03       2.753196471765e+04 
       6.299888376236e-03       2.778298438612e+04 
       6.408489736469e-03       2.802843734425e+04 
       6.517187762150e-03       2.826838195289e+04 
       6.625978408838e-03       2.850286596262e+04 
       6.734857887851e-03       2.873195179918e+04 
       6.843822648090e-03       2.895570034528e+04 
       6.952869359376e-03       2.917417714113e+04 
       7.061994897172e-03       2.938743113303e+04 
       7.171196328541e-03       2.959554080565e+04 
       7.280470899244e-03       2.979855122869e+04 
       7.389816021878e-03       2.999656367941e+04 
       7.499229264944e-03       3.018958892327e+04 
       7.608708342784e-03       3.037764617033e+04 
       7.718251106291e-03       3.056081607072e+04 
       7.827855534349e-03       3.073920278730e+04 
       7.937519725913e-03       3.091288817581e+04 
       8.047241892697e-03       3.108190782553e+04 
       8.157020352409e-03       3.124628213002e+04 
       8.266853522487e-03       3.140606018204e+04 
       8.376739914299e-03       3.156132278581e+04 
       8.486678127766e-03       3.171213126120e+04 
       8.596666846377e-03       3.185855557976e+04 
       8.706704832558e-03       3.200062505047e+04 
       8.816790923377e-03       3.213838350992e+04 
       8.926924026550e-03       3.227189655592e+04 
       9.037103116728e-03       3.240123632545e+04 
       9.147327232045e-03       3.252643773256e+04 
       9.257595470906e-03       3.264755734121e+04 
       9.367906988995e-03       3.276463682292e+04 
       9.478260996488e-03       3.287773028316e+04 
       9.588656755457e-03       3.298689024857e+04 
       9.699093577455e-03       3.309218216329e+04 
       9.809570821253e-03       3.319363904297e+04 
       9.920087890742e-03       3.329130689851e+04 
       1.003064423297e-02       3.338523367287e+04 
       1.014123933630e-02       3.347547736522e+04 
       1.025187272874e-02       3.356208540688e+04 
       1.036254397627e-02       3.364510614999e+04 
       1.047325268145e-02       3.372455888668e+04 
       1.058399848198e-02       3.380051791401e+04 
       1.069478104937e-02       3.387302934213e+04 
       1.080560008783e-02       3.394212255534e+04 
       1.091645533304e-02       3.400785334750e+04 
       1.102734655117e-02       3.407026921049e+04 
       1.113827353786e-02       3.412941198953e+04 
       1.124923611732e-02       3.418532847727e+04 
       1.136023414150e-02       3.423804934489e+04 
       1.147126748927e-02       3.428760690864e+04 
       1.158233606570e-02       3.433406649344e+04 
       1.169343980138e-02       3.437743403839e+04 
       1.180457865178e-02       3.441778008144e+04 
       1.191575259669e-02       3.445515426479e+04 
       1.202696163964e-02       3.448958520527e+04 
       1.213820580743e-02       3.452112090545e+04 
       1.224948514968e-02       3.454978405004e+04 
       1.236079973837e-02       3.457562168075e+04 
       1.237685953032e-02       3.457910020807e+04 
       1.247214966748e-02       3.459864623220e+04 
       1.258353505266e-02       3.461894409024e+04 
       1.269495603087e-02       3.463652485137e+04 
       1.280641276012e-02       3.465144485548e+04 
       1.291790541920e-02       3.466372375954e+04 
       1.302943420746e-02       3.467340187654e+04 
       1.314099934461e-02       3.468050976146e+04 
       1.325260107051e-02       3.468509304591e+04 
       1.336423964509e-02       3.468718767712e+04 
       1.347591534813e-02       3.468683366620e+04 
       1.358762847924e-02       3.468407067084e+04 
       1.369937935772e-02       3.467890553120e+04 
       1.381116832253e-02       3.467139592570e+04 
       1.392299573225e-02       3.466156488055e+04 
       1.403486196504e-02       3.464946161549e+04 
       1.414676741865e-02       3.463510771744e+04 
       1.425871251047e-02       3.461856874822e+04 
       1.437069767751e-02       3.459982161679e+04 
       1.448272337650e-02       3.457891267792e+04 
       1.459479008397e-02       3.455590144276e+04 
       1.470689829629e-02       3.453080591786e+04 
