#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ddec[0]         19:theta_ddec[0]         20:shear_ddec[0]         21:cs2_ddec[0]        
       7.003495515562e-02       1.704403446099e-07      -1.166872255349e+00       2.042815733250e-06       4.734808155735e-14       1.183702038934e-13       1.543264403275e-23       2.367404077868e-14      -8.751541915120e-01       2.042815733250e-06       5.833947401299e-01       7.082819600077e-01      -1.166872255349e+00       2.042815688706e-06       1.907600345044e-08      -8.751541915120e-01       2.042815828653e-06      -1.166872255349e+00       2.042815688706e-06       1.907592147172e-08       3.333333333333e-01 
       7.006203081047e-02       1.705062446136e-07      -1.166871865671e+00       2.043604718415e-06       4.740300351896e-14       1.185075087974e-13       1.546249538839e-23       2.370150175948e-14      -8.751538992535e-01       2.043604718415e-06       5.833950534625e-01       7.082820574456e-01      -1.166871865671e+00       2.043604673819e-06       1.909075760470e-08      -8.751538992535e-01       2.043604813929e-06      -1.166871865671e+00       2.043604673819e-06       1.909059294787e-08       3.333333333333e-01 
       7.008910646533e-02       1.705721446231e-07      -1.166871482636e+00       2.044393714671e-06       4.745796819630e-14       1.186449204908e-13       1.549239300543e-23       2.372898409815e-14      -8.751536119768e-01       2.044393714671e-06       5.833953651741e-01       7.082821532230e-01      -1.166871482636e+00       2.044393670023e-06       1.910551743395e-08      -8.751536119768e-01       2.044393810295e-06      -1.166871482636e+00       2.044393670023e-06       1.910527003895e-08       3.333333333333e-01 
       7.020583098757e-02       1.708562429742e-07      -1.166870926929e+00       2.047797033396e-06       4.769545479842e-14       1.192386369960e-13       1.562182770205e-23       2.384772739921e-14      -8.751531951969e-01       2.047797033396e-06       5.833964635379e-01       7.082822922292e-01      -1.166870926929e+00       2.047796988525e-06       1.916920842875e-08      -8.751531951969e-01       2.047797129499e-06      -1.166870926929e+00       2.047796988525e-06       1.916860366015e-08       3.333333333333e-01 
       7.032255550982e-02       1.711403414319e-07      -1.166870923712e+00       2.051201317682e-06       4.793375498261e-14       1.198343874565e-13       1.575213352367e-23       2.396687749130e-14      -8.751531927841e-01       2.051201317682e-06       5.833974359178e-01       7.082822931132e-01      -1.166870923712e+00       2.051201272587e-06       1.923300301674e-08      -8.751531927841e-01       2.051201414266e-06      -1.166870923712e+00       2.051201272587e-06       1.923203964431e-08       3.333333333333e-01 
       7.043928003207e-02       1.714244399963e-07      -1.166871084141e+00       2.054605888007e-06       4.817285435701e-14       1.204321358925e-13       1.588330968106e-23       2.408642717851e-14      -8.751533131057e-01       2.054605888007e-06       5.833983686792e-01       7.082822530859e-01      -1.166871084141e+00       2.054605842686e-06       1.929690287237e-08      -8.751533131057e-01       2.054605985072e-06      -1.166871084141e+00       2.054605842686e-06       1.929557966467e-08       3.333333333333e-01 
       7.055600455432e-02       1.717085386673e-07      -1.166871286128e+00       2.058010532427e-06       4.841274931853e-14       1.210318732963e-13       1.601535889987e-23       2.420637465927e-14      -8.751534645958e-01       2.058010532427e-06       5.833992890177e-01       7.082822026692e-01      -1.166871286128e+00       2.058010486881e-06       1.936090858744e-08      -8.751534645958e-01       2.058010629975e-06      -1.166871286128e+00       2.058010486881e-06       1.935922443291e-08       3.333333333333e-01 
       7.085351384517e-02       1.724326542926e-07      -1.166871760944e+00       2.066688272375e-06       4.902779501509e-14       1.225694875377e-13       1.635590326068e-23       2.451389750755e-14      -8.751538207079e-01       2.066688272375e-06       5.834016306491e-01       7.082820841697e-01      -1.166871760944e+00       2.066688226251e-06       1.952452671789e-08      -8.751538207079e-01       2.066688371163e-06      -1.166871760944e+00       2.066688226251e-06       1.952191720589e-08       3.333333333333e-01 
       7.115102313603e-02       1.731567706107e-07      -1.166872264791e+00       2.075366062414e-06       4.964802947547e-14       1.241200736887e-13       1.670221677125e-23       2.482401473774e-14      -8.751541985932e-01       2.075366062414e-06       5.834039454908e-01       7.082819584133e-01      -1.166872264791e+00       2.075366015706e-06       1.968883330635e-08      -8.751541985932e-01       2.075366162451e-06      -1.166872264791e+00       2.075366015706e-06       1.968529065684e-08       3.333333333333e-01 
       7.144853242689e-02       1.738808876215e-07      -1.166872793619e+00       2.084043894757e-06       5.027347433385e-14       1.256836858346e-13       1.705437237745e-23       2.513673716692e-14      -8.751545952142e-01       2.084043894757e-06       5.834062344768e-01       7.082818264126e-01      -1.166872793619e+00       2.084043847461e-06       1.985382837028e-08      -8.751545952142e-01       2.084043996054e-06      -1.166872793619e+00       2.084043847461e-06       1.984934469419e-08       3.333333333333e-01 
