# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ddec[0]        13:(.)p_ddec[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       9.326212236469e+13       7.705071077050e-26       4.405592335388e-09       2.116504664443e+22       1.330060624630e+04       1.426153073622e-10       1.240442767267e+18       2.544048796918e-09       2.081614238068e+44       2.017959657592e+33       1.067863528163e+34       9.579817863862e+43       3.193272621287e+43       8.111013765352e-08       1.439995970030e+44       4.479591994611e+44       1.153441803535e-06       1.433565615564e+01 
       9.261382558559e+13       7.813319620612e-26       4.436515155248e-09       2.087181846680e+22       1.330060624630e+04       1.436136145138e-10       1.231820027077e+18       2.561857138496e-09       2.024334923495e+44       1.976168935292e+33       1.045748721263e+34       9.316212152994e+43       3.105404050998e+43       8.111013765352e-08       1.400371922191e+44       4.356328061109e+44       1.268785983888e-06       1.303241468695e+01 
       9.197003533823e+13       7.923088947962e-26       4.467437975109e-09       2.058265277792e+22       1.330060624630e+04       1.446189098154e-10       1.223257226492e+18       2.579790138466e-09       1.968631751041e+44       1.935243673539e+33       1.024091898619e+34       9.059860021660e+43       3.019953340553e+43       8.111013765352e-08       1.361838200436e+44       4.236455953765e+44       1.384130164242e-06       1.194638012970e+01 
       9.133072029615e+13       8.034400424591e-26       4.500179784372e-09       2.029749329463e+22       1.330060624630e+04       1.456312421841e-10       1.214753948850e+18       2.597848669435e-09       1.914461350357e+44       1.895165949170e+33       1.002883575656e+34       8.810561874731e+43       2.936853958244e+43       8.111013765352e-08       1.324364802505e+44       4.119882340454e+44       1.499474344595e-06       1.102742781203e+01 
       9.069584935070e+13       8.147275716156e-26       4.531102604233e-09       2.001628451350e+22       1.330060624630e+04       1.466506608794e-10       1.206309780387e+18       2.616033610121e-09       1.861781544502e+44       1.855918210199e+33       9.821144642157e+33       8.568123609292e+43       2.856041203097e+43       8.111013765352e-08       1.287922551705e+44       4.006516457253e+44       1.614818524949e-06       1.023975439688e+01 
       9.006539160943e+13       8.261736792693e-26       4.562025424093e-09       1.973897170009e+22       1.330060624629e+04       1.476772155055e-10       1.197924310215e+18       2.634345845392e-09       1.810551317112e+44       1.817483268131e+33       9.617754684945e+33       8.332356463515e+43       2.777452154505e+43       8.111013765352e-08       1.252483074190e+44       3.896270037768e+44       1.730162705302e-06       9.557104103759e+00 
       8.943931639467e+13       8.377805932893e-26       4.594767233357e-09       1.946550087825e+22       1.330060624629e+04       1.487109560141e-10       1.189597130303e+18       2.652786266309e-09       1.760730780460e+44       1.779844290435e+33       9.418576810560e+33       8.103076869687e+43       2.701025623229e+43       8.111013765352e-08       1.218018776871e+44       3.789057244412e+44       1.845506885655e-06       8.959785097274e+00 
       8.881759324197e+13       8.495505728444e-26       4.627509042621e-09       1.919581881965e+22       1.330060624629e+04       1.497519327062e-10       1.181327835455e+18       2.671355770173e-09       1.712281144399e+44       1.742984793170e+33       9.223523789319e+33       7.880106311289e+43       2.626702103763e+43       8.111013765352e-08       1.184502825932e+44       3.684794601570e+44       1.960851066009e-06       8.432738915081e+00 
       8.820019189868e+13       8.614859088423e-26       4.658431862481e-09       1.892987303341e+22       1.330060624629e+04       1.508001962351e-10       1.173116023292e+18       2.690055260565e-09       1.665164686165e+44       1.706888633768e+33       9.032510198010e+33       7.663271184001e+43       2.554423728000e+43       8.111013765352e-08       1.151909125938e+44       3.583400930610e+44       2.076195246362e-06       7.964253419798e+00 
       8.758708232243e+13       8.735889243756e-26       4.691173671745e-09       1.866761175585e+22       1.330060624629e+04       1.518557976087e-10       1.164961294232e+18       2.708885647388e-09       1.619344721000e+44       1.671540003966e+33       8.845452382488e+33       7.452402660535e+43       2.484134220178e+43       8.111013765352e-08       1.120212299515e+44       3.484797286673e+44       2.191539426716e-06       7.545082187177e+00 
       8.697823467967e+13       8.858619751741e-26       4.723915481009e-09       1.840898394048e+22       1.330060624629e+04       1.529187881920e-10       1.156863251472e+18       2.727847846920e-09       1.574785573594e+44       1.636923422878e+33       8.662268421030e+33       7.247336559182e+43       2.415778853061e+43       8.111013765352e-08       1.089387667592e+44       3.388906897207e+44       2.306883607069e-06       7.167828077818e+00 
       8.637361934426e+13       8.983074500633e-26       4.758476279676e-09       1.815393924798e+22       1.330060624629e+04       1.539892197093e-10       1.148821500965e+18       2.746942781848e-09       1.531452550306e+44       1.603023730218e+33       8.482878088466e+33       7.047913215990e+43       2.349304405330e+43       8.111013765352e-08       1.059411230189e+44       3.295655102195e+44       2.422227787422e-06       6.826502931255e+00 
       8.577320689599e+13       9.109277714292e-26       4.791218088940e-09       1.790242803650e+22       1.330060624629e+04       1.550671442473e-10       1.140835651406e+18       2.766171381321e-09       1.489311912151e+44       1.569826079661e+33       8.307202821039e+33       6.853977360441e+43       2.284659120147e+43       8.111013765352e-08       1.030259647727e+44       3.204969296021e+44       2.537571967776e-06       6.516207343471e+00 
