# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.01777e-06 to 20.5825 h/Mpc,
# number of wavenumbers equal to 855
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       4.530074384697e-04      -7.939370754201e-01      -2.454500512266e+00      -2.454620608499e+00      -7.612761245673e-01      -1.383530820088e+00      -2.454060514790e+00       4.302417152128e-01       4.302391173654e-01 
       4.796807563165e-04      -7.457287122864e-01      -2.750922197933e+00      -2.751068949276e+00      -7.100608005350e-01      -1.374352581141e+00      -2.750389427963e+00       4.300416963355e-01       4.300440180404e-01 
       5.079179270207e-04      -6.866298418428e-01      -3.082929519645e+00      -3.083108277354e+00      -6.484579478562e-01      -1.337443496456e+00      -3.082292159586e+00       4.298243026545e-01       4.298306549835e-01 
       5.378406386927e-04      -6.197117291142e-01      -3.455144771146e+00      -3.455361809051e+00      -5.798191511565e-01      -1.268419345224e+00      -3.454390987829e+00       4.295881244671e-01       4.295974969749e-01 
       5.695748744280e-04      -5.493766872536e-01      -3.872763107475e+00      -3.873025728362e+00      -5.088505788127e-01      -1.163532578608e+00      -3.871881372453e+00       4.293316328017e-01       4.293429349815e-01 
       6.032495483134e-04      -4.811562572488e-01      -4.341594501682e+00      -4.341911115330e+00      -4.413793602181e-01      -1.020343502342e+00      -4.340573836803e+00       4.290531641761e-01       4.290652869937e-01 
       6.389947290495e-04      -4.211628822596e-01      -4.868097892920e+00      -4.868478090181e+00      -3.837527244509e-01      -8.385885650611e-01      -4.866927966737e+00       4.287509010242e-01       4.287627974705e-01 
       6.769394364803e-04      -3.751157095353e-01      -5.459403706473e+00      -5.459858268378e+00      -3.417985957939e-01      -6.212105525921e-01      -5.458074612521e+00       4.284228607237e-01       4.284336395708e-01 
       7.172090273991e-04      -3.469744825067e-01      -6.123320150056e+00      -6.123861052404e+00      -3.193842754299e-01      -3.754460681295e-01      -6.121821807886e+00       4.280668891603e-01       4.280759098822e-01 
       7.599222275715e-04      -3.373870970131e-01      -6.868319118728e+00      -6.868959417880e+00      -3.168031205670e-01      -1.137676340403e-01      -6.866640148969e+00       4.276806790015e-01       4.276876291481e-01 
       8.051879143593e-04      -3.424159918168e-01      -7.703497459381e+00      -7.704251172066e+00      -3.294775284147e-01       1.456393015605e-01      -7.701623704638e+00       4.272618162951e-01       4.272667482079e-01 
       8.531018034307e-04      -3.532312458941e-01      -8.638510838748e+00      -8.639392715415e+00      -3.477003782691e-01       3.792914182925e-01      -8.636423715190e+00       4.268078622398e-01       4.268111668775e-01 
       9.037432361260e-04      -3.575064028537e-01      -9.683478887399e+00      -9.684504156217e+00      -3.581698638961e-01       5.601859377265e-01      -9.681154103664e+00       4.263164713710e-01       4.263187772177e-01 
