#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]           19:delta_ddec[0]         20:theta_ddec[0]         21:shear_ddec[0]         22:cs2_ddec[0]        
       7.944287514679e-01       1.935474222133e-06      -1.169580212215e+00       2.319909723838e-07       6.933418737429e-13       1.733354684357e-12       2.914149872866e-21       3.466709368715e-13      -8.771851591613e-01       2.319909723838e-07       5.940077812876e-01       7.076049776222e-01      -8.771851591613e-01       2.319909862821e-07      -1.169580212432e+00       2.319909658456e-07       2.456607172688e-08       3.333333333333e-01      -1.169580212215e+00       2.319909661162e-07       1.909674056571e-08       3.333333333333e-01 
       8.115898597224e-01       1.977338490816e-06      -1.170447992241e+00       2.371717232514e-07       7.398197629361e-13       1.849549407340e-12       3.245470306644e-21       3.699098814680e-13      -8.778359941810e-01       2.371717232514e-07       5.954123431323e-01       7.073880339575e-01      -8.778359941810e-01       2.371717380693e-07      -1.170447992468e+00       2.371717162799e-07       2.564068336587e-08       3.333333333333e-01      -1.170447992241e+00       2.371717166545e-07       1.909674057405e-08       3.333333333333e-01 
       8.287509679769e-01       2.019205064292e-06      -1.171374132965e+00       2.423717011571e-07       7.883937330683e-13       1.970984332671e-12       3.606564368818e-21       3.941968665342e-13      -8.785305997238e-01       2.423717011571e-07       5.967005621911e-01       7.071565001481e-01      -8.785305997238e-01       2.423717169342e-07      -1.171374133201e+00       2.423716937335e-07       2.673907346331e-08       3.333333333333e-01      -1.171374132965e+00       2.423716942307e-07       1.909674057430e-08       3.333333333333e-01 
       8.721710086136e-01       2.125143732870e-06      -1.173891918484e+00       2.556005468621e-07       9.209527300160e-13       2.302381825040e-12       4.666632782844e-21       4.604763650080e-13      -8.804189388627e-01       2.556005468621e-07       5.995141736755e-01       7.065270573721e-01      -8.804189388627e-01       2.556005652489e-07      -1.173891918745e+00       2.556005382078e-07       2.962489367548e-08       3.333333333333e-01      -1.173891918484e+00       2.556005391017e-07       1.909674052112e-08       3.333333333333e-01 
       9.155910492504e-01       2.231097155857e-06      -1.176538548628e+00       2.689115843548e-07       1.067932933076e-12       2.669832332690e-12       5.964452927928e-21       5.339664665381e-13      -8.824039114711e-01       2.689115843548e-07       6.018037618624e-01       7.058654036316e-01      -8.824039114711e-01       2.689116056241e-07      -1.176538548916e+00       2.689115743402e-07       3.266454905078e-08       3.333333333333e-01      -1.176538548628e+00       2.689115757596e-07       1.909674052877e-08       3.333333333333e-01 
       9.590110898871e-01       2.337065333253e-06      -1.179209152172e+00       2.822838816556e-07       1.230053103049e-12       3.075132757622e-12       7.537984470392e-21       6.150265515243e-13      -8.844068641290e-01       2.822838816556e-07       6.036822025599e-01       7.051977567344e-01      -8.844068641290e-01       2.822839060936e-07      -1.179209152488e+00       2.822838701441e-07       3.585885538156e-08       3.333333333333e-01      -1.179209152172e+00       2.822838722247e-07       1.909674057001e-08       3.333333333333e-01 
       1.002431130524e+00       2.443048265060e-06      -1.181837423685e+00       2.957016155530e-07       1.408031737598e-12       3.520079343996e-12       9.429012442633e-21       7.040158687991e-13      -8.863780677638e-01       2.957016155530e-07       6.052348117675e-01       7.045406930388e-01      -8.863780677638e-01       2.957016434594e-07      -1.181837424030e+00       2.957016024013e-07       3.920842624966e-08       3.333333333333e-01      -1.181837423685e+00       2.957016052854e-07       1.909674052576e-08       3.333333333333e-01 
       1.045851171161e+00       2.549045951276e-06      -1.184382703000e+00       3.091527875934e-07       1.602587440841e-12       4.006468602103e-12       1.168333244773e-20       8.012937204207e-13      -8.882870272497e-01       3.091527875934e-07       6.065267915261e-01       7.039043775872e-01      -8.882870272497e-01       3.091528192816e-07      -1.184382703375e+00       3.091527726513e-07       4.271371996264e-08       3.333333333333e-01      -1.184382703000e+00       3.091527764882e-07       1.909674049946e-08       3.333333333333e-01 
       1.089271211797e+00       2.655058391901e-06      -1.186821332104e+00       3.226282621016e-07       1.814439088545e-12       4.536097721363e-12       1.435093567198e-20       9.072195442726e-13      -8.901159990780e-01       3.226282621016e-07       6.076085084628e-01       7.032947248831e-01      -8.901159990780e-01       3.226282978983e-07      -1.186821332511e+00       3.226282452121e-07       4.637507047479e-08       3.333333333333e-01      -1.186821332104e+00       3.226282501576e-07       1.909674054600e-08       3.333333333333e-01 
       1.185082271784e+00       2.889038615034e-06      -1.191773903620e+00       3.524169809131e-07       2.346671276405e-12       5.866678191012e-12       2.197599874590e-20       1.173335638202e-12      -8.938304277153e-01       3.524169809131e-07       6.094341007263e-01       7.020565927834e-01      -8.938304277153e-01       3.524170269987e-07      -1.191773904102e+00       3.524169591366e-07       5.500750010412e-08       3.333333333333e-01      -1.191773903620e+00       3.524169671138e-07       1.909674051437e-08       3.333333333333e-01 
       1.280893331772e+00       3.123090679218e-06      -1.196125185603e+00       3.822411998920e-07       2.974351846692e-12       7.435879616731e-12       3.255001556462e-20       1.487175923346e-12      -8.970938892023e-01       3.822411998920e-07       6.107120532246e-01       7.009687840193e-01      -8.970938892023e-01       3.822412580682e-07      -1.196125186166e+00       3.822411723561e-07       6.440237921101e-08       3.333333333333e-01      -1.196125185603e+00       3.822411842304e-07       1.909674047778e-08       3.333333333333e-01 
       1.376704391759e+00       3.357214584453e-06      -1.199916120785e+00       4.120718547665e-07       3.705217774905e-12       9.263044437261e-12       4.685561167708e-20       1.852608887452e-12      -8.999370905888e-01       4.120718547665e-07       6.116246723785e-01       7.000210629079e-01      -8.999370905888e-01       4.120719269796e-07      -1.199916121435e+00       4.120718205243e-07       7.456013019812e-08       3.333333333333e-01      -1.199916120785e+00       4.120718372343e-07       1.909674055641e-08       3.333333333333e-01 
       1.472515451746e+00       3.591410330739e-06      -1.203211357281e+00       4.418925174614e-07       4.547013225664e-12       1.136753306416e-11       6.580303779638e-20       2.273506612832e-12      -9.024085179607e-01       4.418925174614e-07       6.122872774277e-01       6.991972674205e-01      -9.024085179607e-01       4.418926058022e-07      -1.203211358025e+00       4.418924754914e-07       8.548067263659e-08       3.333333333333e-01      -1.203211357281e+00       4.418924980492e-07       1.909674047719e-08       3.333333333333e-01 
       1.568326511733e+00       3.825677918075e-06      -1.206078600197e+00       4.716941455702e-07       5.507490298026e-12       1.376872574507e-11       9.043993048862e-20       2.753745149013e-12      -9.045589501478e-01       4.716941455702e-07       6.127749752785e-01       6.984804712802e-01      -9.045589501479e-01       4.716942522741e-07      -1.206078601041e+00       4.716940947764e-07       9.716365514759e-08       3.333333333333e-01      -1.206078600197e+00       4.716941242671e-07       1.909674048315e-08       3.333333333333e-01 
