# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=8.06309e-06 to 23.1709 h/Mpc,
# number of wavenumbers equal to 861
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       3.786076260986e-04      -8.035587301809e-01      -2.125146841433e+00      -2.125245262619e+00      -7.750315769465e-01      -1.333473425929e+00      -2.124769227694e+00       4.006749523331e-01       4.006676639676e-01 
       3.987399015405e-04      -7.709870082812e-01      -2.356303858116e+00      -2.356422142777e+00      -7.393481085218e-01      -1.346684898025e+00      -2.355846541746e+00       4.005054167665e-01       4.005031514416e-01 
       4.198467363095e-04      -7.277594018084e-01      -2.611324610577e+00      -2.611466324658e+00      -6.931586403393e-01      -1.341633602644e+00      -2.610776939308e+00       4.003230495299e-01       4.003252483008e-01 
       4.420020322063e-04      -6.749770259390e-01      -2.892941597791e+00      -2.893110861259e+00      -6.377248735893e-01      -1.315142687214e+00      -2.892292441798e+00       4.001269317930e-01       4.001329368363e-01 
       4.652838229331e-04      -6.145255935636e-01      -3.204216978781e+00      -3.204418538241e+00      -5.751211526861e-01      -1.264068639107e+00      -3.203454906420e+00       3.999160713452e-01       3.999251370920e-01 
       4.897740980930e-04      -5.491269815003e-01      -3.548575597257e+00      -3.548814878014e+00      -5.082818639507e-01      -1.185526425153e+00      -3.547689054058e+00       3.996893928628e-01       3.997007057990e-01 
       5.155584939622e-04      -4.823016576415e-01      -3.929838467977e+00      -3.930121646320e+00      -4.409478388668e-01      -1.077202117167e+00      -3.928815972148e+00       3.994457256643e-01       3.994584340367e-01 
       5.427258260208e-04      -4.181835913620e-01      -4.352255785844e+00      -4.352589826564e+00      -3.774626807676e-01      -9.377636751833e-01      -4.351086058003e+00       3.991837913279e-01       3.991970452529e-01 
       5.713674391044e-04      -3.611521086339e-01      -4.820537983766e+00      -4.820930676745e+00      -3.223727820947e-01      -7.673706542070e-01      -4.819209992059e+00       3.989021897064e-01       3.989151907009e-01 
       6.015763542509e-04      -3.152471851321e-01      -5.339883190249e+00      -5.340343168281e+00      -2.798049721910e-01      -5.682655755232e-01      -5.338386038738e+00       3.985993878356e-01       3.986114447638e-01 
       6.334461975377e-04      -2.833861723312e-01      -5.915999005408e+00      -5.916535726213e+00      -2.526421273476e-01      -3.454010036562e-01      -5.914321597000e+00       3.982737128424e-01       3.982842986015e-01 
       6.670699059687e-04      -2.664743860505e-01      -6.555116261249e+00      -6.555739958006e+00      -2.415956772406e-01      -1.070159231456e-01      -6.553246706534e+00       3.979233557179e-01       3.979321561566e-01 
       7.025382190504e-04      -2.626012450454e-01      -7.263992188053e+00      -7.264713801912e+00      -2.443805936361e-01       1.349757510574e-01      -7.261916987682e+00       3.975463876381e-01       3.975533319210e-01 
       7.399379818654e-04      -2.666256641239e-01      -8.049900534207e+00      -8.050731576022e+00      -2.553095329396e-01       3.649755884909e-01      -8.047603584088e+00       3.971407958508e-01       3.971460568403e-01 
       7.793503053074e-04      -2.705158411447e-01      -8.920606187420e+00      -8.921558621598e+00      -2.656858811178e-01       5.643029806203e-01      -8.918067870872e+00       3.967045406162e-01       3.967084964171e-01 
       8.208486500002e-04      -2.647557585984e-01      -9.884322522717e+00      -9.885408641706e+00      -2.653113041731e-01       7.126476015072e-01      -9.881519123816e+00       3.962356281419e-01       3.962387825535e-01 
       8.644969197837e-04      -2.408748847842e-01      -1.094965069684e+01      -1.095088293023e+01      -2.451487823766e-01       7.905448513325e-01      -1.094655434976e+01       3.957322003415e-01       3.957350709546e-01 
       9.103476654871e-04      -1.946558854245e-01      -1.212550049285e+01      -1.212689138774e+01      -2.006680144900e-01       7.828763299969e-01      -1.212207999231e+01       3.951926149109e-01       3.951956109547e-01 
       9.584405068746e-04      -1.289630345759e-01      -1.342099460247e+01      -1.342255688277e+01      -1.347547602283e-01       6.831006384284e-01      -1.341721682527e+01       3.946155066800e-01       3.946188296652e-01 
       1.008800877574e-03      -5.465000584434e-02      -1.484535933809e+01      -1.484710597738e+01      -5.859552391982e-02       4.975131717770e-01      -1.484119063987e+01       3.939998185318e-01       3.940034212454e-01 
       1.061439183157e-03       1.186281734371e-02      -1.640780501951e+01      -1.640974968386e+01       1.087894138950e-02       2.483980164032e-01      -1.640321199646e+01       3.933447799928e-01       3.933484073626e-01 
       1.072483128768e-03       2.295878763926e-02      -1.674512649132e+01      -1.674711343407e+01       2.267103140213e-02       1.928769315661e-01      -1.674044256493e+01       3.932059391120e-01       3.932095292562e-01 
       1.116350436862e-03       5.460756505374e-02      -1.811740242139e+01      -1.811956002024e+01       5.721031337666e-02      -2.537288019744e-02      -1.811235094774e+01       3.926498667611e-01       3.926531745301e-01 
       1.173514403223e-03       6.590937950824e-02      -1.998296005380e+01      -1.998534749265e+01       7.239043067360e-02      -2.717012496335e-01      -1.997741245976e+01       3.919147498656e-01       3.919174617110e-01 
       1.232896241352e-03       5.217809471850e-02      -2.201290817964e+01      -2.201554539681e+01       6.261092798292e-02      -4.333962071110e-01      -2.200681965333e+01       3.911392753593e-01       3.911413125178e-01 
       1.294447601936e-03       3.327227561871e-02      -2.421519522954e+01      -2.421810625604e+01       4.739336975346e-02      -4.606479093090e-01      -2.420851150369e+01       3.903234992459e-01       3.903250179894e-01 
       1.358108100175e-03       3.352724275603e-02      -2.659720046612e+01      -2.660041460897e+01       5.036450800729e-02      -3.256662900535e-01      -2.658985952332e+01       3.894677670194e-01       3.894690774279e-01 
       1.423807064833e-03       6.772732088126e-02      -2.916566564489e+01      -2.916921834158e+01       8.525495515012e-02      -3.556182388978e-02      -2.915760438071e+01       3.885727877145e-01       3.885741897275e-01 
       1.491465453149e-03       1.303098968467e-01      -3.192664794539e+01      -3.193058157172e+01       1.456133523381e-01       3.614535732343e-01      -3.191781245892e+01       3.876396694259e-01       3.876412949761e-01 
       1.560997822702e-03       1.965236847020e-01      -3.488549298461e+01      -3.488985717260e+01       2.067738243695e-01       7.809033127580e-01      -3.487584763342e+01       3.866698532114e-01       3.866716082800e-01 
       1.632314262396e-03       2.376007526698e-01      -3.804682749040e+01      -3.805167887698e+01       2.415404271344e-01       1.119708570148e+00      -3.803635746885e+01       3.856649780306e-01       3.856666220515e-01 
       1.705322202710e-03       2.412213515433e-01      -4.141456980179e+01      -4.141997120704e+01       2.402291214096e-01       1.284186882164e+00      -4.140327493931e+01       3.846267402252e-01       3.846280518629e-01 
       1.779928046787e-03       2.218458572516e-01      -4.499195255653e+01      -4.499797200735e+01       2.196081850686e-01       1.221112475835e+00      -4.497983556310e+01       3.835567951486e-01       3.835577131619e-01 
       1.856038585803e-03       2.106030190810e-01      -4.878155555837e+01      -4.878826486461e+01       2.113076342464e-01       9.412828288070e-01      -4.876861116111e+01       3.824567473092e-01       3.824573921101e-01 
       1.933562181946e-03       2.302296498824e-01      -5.278534935154e+01      -5.279282263162e+01       2.364574888655e-01       5.251382409998e-01      -5.277156040426e+01       3.813282322111e-01       3.813288015509e-01 
       2.012409718799e-03       2.751144951964e-01      -5.700473774593e+01      -5.701305053686e+01       2.870863401572e-01       1.045092992498e-01      -5.699007905774e+01       3.801729471197e-01       3.801735734874e-01 
       2.092495331292e-03       3.151798280579e-01      -6.144060939642e+01      -6.144983784128e+01       3.319487240362e-01      -1.772057504361e-01      -6.142505343612e+01       3.789926701734e-01       3.789933515063e-01 
       2.173736935682e-03       3.227601042014e-01      -6.609338257604e+01      -6.610360362509e+01       3.440401439115e-01      -2.149326333820e-01      -6.607690197909e+01       3.777891767103e-01       3.777898247409e-01 
       2.256056584747e-03       2.993553123923e-01      -7.096305682211e+01      -7.097434903113e+01       3.258176483610e-01       1.595025599736e-02      -7.094562302054e+01       3.765642017159e-01       3.765647506200e-01 
       2.339380675166e-03       2.762972317039e-01      -7.604925380183e+01      -7.606169925160e+01       3.076014557449e-01       4.431008136782e-01      -7.603083799377e+01       3.753193962700e-01       3.753198677682e-01 
       2.423640033730e-03       2.862758452350e-01      -8.135126507387e+01      -8.136495113786e+01       3.187788134617e-01       9.165073178448e-01      -8.133184599063e+01       3.740563766291e-01       3.740568468303e-01 
       2.508769907240e-03       3.317258073709e-01      -8.686808758554e+01      -8.688310954700e+01       3.588976850934e-01       1.260389019727e+00      -8.684766483072e+01       3.727767253353e-01       3.727772355044e-01 
       2.594709878323e-03       3.816711874067e-01      -9.259846662947e+01      -9.261493003654e+01       3.980145577309e-01       1.340327456273e+00      -9.257706886480e+01       3.714819940876e-01       3.714824992443e-01 
       2.681403726373e-03       4.018193472955e-01      -9.854092532317e+01      -9.855894745172e+01       4.072997823671e-01       1.119550534181e+00      -9.851860413293e+01       3.701736198155e-01       3.701740272691e-01 
       2.768799249735e-03       3.884242020120e-01      -1.046937943834e+02      -1.047135054162e+02       3.891024234561e-01       6.797726724074e-01      -1.046706065988e+02       3.688528782798e-01       3.688531366814e-01 
       2.856848062322e-03       3.708398539314e-01      -1.110552481808e+02      -1.110767912093e+02       3.745822267116e-01       1.944944978710e-01      -1.110312391995e+02       3.675209260977e-01       3.675210763957e-01 
       2.945505375205e-03       3.794725440455e-01      -1.176233201098e+02      -1.176468498890e+02       3.904595824449e-01      -1.380122152441e-01      -1.175985212533e+02       3.661788283398e-01       3.661789686592e-01 
       3.034729771363e-03       4.130859779742e-01      -1.243959432376e+02      -1.244216250726e+02       4.301072206513e-01      -1.765506836558e-01      -1.243703850830e+02       3.648276816174e-01       3.648278842437e-01 
       3.124482979861e-03       4.412080568007e-01      -1.313709208296e+02      -1.313989285609e+02       4.606540533889e-01       1.005870548404e-01      -1.313446495552e+02       3.634684789369e-01       3.634687406496e-01 
       3.214729654051e-03       4.393920649018e-01      -1.385460192321e+02      -1.385765322009e+02       4.588102791407e-01       5.811753566676e-01      -1.385191026880e+02       3.621023014826e-01       3.621025679898e-01 
       3.305437157091e-03       4.179017960775e-01      -1.459188977668e+02      -1.459521008186e+02       4.359113319439e-01       1.062071538394e+00      -1.458914225632e+02       3.607300452572e-01       3.607302737150e-01 
       3.396575357037e-03       4.105206496832e-01      -1.534871879767e+02      -1.535232699836e+02       4.241463210316e-01       1.334210292629e+00      -1.534592520635e+02       3.593525933818e-01       3.593527853075e-01 
