# Matter power spectrum P(k) at redshift z=0
# for k=1.02735e-05 to 23.4548 h/Mpc,
# number of wavenumbers equal to 850
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.027347021217e-05       5.102115863944e+01 
       2.293667112533e-05       1.106744636806e+02 
       3.564291528140e-05       1.692833097033e+02 
       4.842524124687e-05       2.274703823407e+02 
       6.131721588657e-05       2.855882124718e+02 
       7.435322367328e-05       3.438997694117e+02 
       8.756876495136e-05       4.026290369278e+02 
       1.010007669986e-04       4.619816514721e+02 
       1.146879117604e-04       5.221554309717e+02 
       1.286709841634e-04       5.833467053799e+02 
       1.429932449243e-04       6.457546678503e+02 
       1.577008317338e-04       7.095847250455e+02 
       1.728431925524e-04       7.750513310799e+02 
       1.884735544710e-04       8.423805474884e+02 
       2.046494310612e-04       9.118124879559e+02 
       2.214331702803e-04       9.836037071571e+02 
       2.388925436593e-04       1.058029612379e+03 
       2.571013755133e-04       1.135386867150e+03 
       2.761402080523e-04       1.215995842108e+03 
       2.960969942675e-04       1.300203000953e+03 
       3.170678050143e-04       1.388383241955e+03 
       3.391575294584e-04       1.480942039859e+03 
       3.624805386718e-04       1.578317275509e+03 
       3.871612703982e-04       1.680980580529e+03 
       4.133346787621e-04       1.789437913167e+03 
       4.411464762738e-04       1.904229123873e+03 
       4.707530777243e-04       2.025926072709e+03 
       5.023211382382e-04       2.155128912039e+03 
       5.360265637989e-04       2.292460044485e+03 
       5.720528663629e-04       2.438555274010e+03 
       6.105887430447e-04       2.594051739760e+03 
       6.518247864876e-04       2.759572317695e+03 
       6.959492877995e-04       2.935706517202e+03 
       7.431431780706e-04       3.122988193385e+03 
       7.935742677405e-04       3.321871005020e+03 
       8.473910745535e-04       3.532703081641e+03 
       9.047166600686e-04       3.755702991319e+03 
       9.656429926378e-04       3.990939447826e+03 
       1.030226389989e-03       4.238317261657e+03 
       1.098484543128e-03       4.497571483239e+03 
       1.170395479537e-03       4.768270691590e+03 
       1.245898606508e-03       5.049828935621e+03 
       1.324897726323e-03       5.341524937719e+03 
       1.407265685947e-03       5.642526120998e+03 
       1.458125550442e-03       5.826797680727e+03 
       1.492850161401e-03       5.951915694416e+03 
       1.581480007379e-03       6.268721053063e+03 
       1.672971626480e-03       6.591942543528e+03 
       1.767134908327e-03       6.920580733701e+03 
       1.863778424053e-03       7.253660469236e+03 
       1.962713703573e-03       7.590248749282e+03 
       2.063758547357e-03       7.929466155242e+03 
       2.166739417868e-03       8.270493063716e+03 
       2.271493015384e-03       8.612573142073e+03 
       2.377867172534e-03       8.955014451868e+03 
       2.485721208567e-03       9.297192027415e+03 
       2.594925876004e-03       9.638546010746e+03 
       2.705363015595e-03       9.978578056624e+03 
       2.816925015398e-03       1.031684538262e+04 
       2.929514149712e-03       1.065295568967e+04 
       3.043041855314e-03       1.098656195619e+04 
       3.157427986992e-03       1.131736084412e+04 
       3.272600081755e-03       1.164508864625e+04 
       3.388492651335e-03       1.196951715956e+04 
       3.505046515179e-03       1.229044833316e+04 
       3.622208180690e-03       1.260770943965e+04 
       3.739929273651e-03       1.292115450046e+04 
       3.858166019066e-03       1.323065724248e+04 
       3.976878770958e-03       1.353611578150e+04 
       4.096031588510e-03       1.383744102423e+04 
       4.215591855380e-03       1.413455984469e+04 
