#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ddec[0]         19:theta_ddec[0]         20:shear_ddec[0]         21:cs2_ddec[0]        
       7.186815464698e-01       1.750841177884e-06      -1.167770603611e+00       2.095718353098e-07       5.125475340211e-13       1.281368835053e-12       1.762872071385e-21       2.562737670106e-13      -8.758279527084e-01       2.095718353098e-07       5.835894029258e-01       7.080573742022e-01      -1.167770603611e+00       2.095718304860e-07       2.008400437968e-08      -8.758279527084e-01       2.095718456016e-07      -1.167770603611e+00       2.095718304865e-07       2.002800290521e-08       3.333333333333e-01 
       7.279950338163e-01       1.773557086636e-06      -1.167791659059e+00       2.122883621604e-07       5.327506134579e-13       1.331876533645e-12       1.880214714113e-21       2.663753067289e-13      -8.758437442946e-01       2.122883621604e-07       5.836575778474e-01       7.080521109950e-01      -1.167791659059e+00       2.122883571465e-07       2.060786954305e-08      -8.758437442946e-01       2.122883728573e-07      -1.167791659059e+00       2.122883571476e-07       2.052165607673e-08       3.333333333333e-01 
       7.373085211628e-01       1.796273674225e-06      -1.167815802437e+00       2.150054744789e-07       5.534796494847e-13       1.383699123712e-12       2.003732820940e-21       2.767398247424e-13      -8.758618518279e-01       2.150054744789e-07       5.837231630170e-01       7.080460758138e-01      -1.167815802437e+00       2.150054692699e-07       2.113848216814e-08      -8.758618518279e-01       2.150054855913e-07      -1.167815802437e+00       2.150054692720e-07       2.102131671407e-08       3.333333333333e-01 
       7.466220085093e-01       1.818990940652e-06      -1.167842696828e+00       2.177231308869e-07       5.747413889525e-13       1.436853472381e-12       2.133667244295e-21       2.873706944762e-13      -8.758820226212e-01       2.177231308869e-07       5.837863248940e-01       7.080393528877e-01      -1.167842696828e+00       2.177231254778e-07       2.167584367054e-08      -8.758820226212e-01       2.177231424255e-07      -1.167842696828e+00       2.177231254812e-07       2.152697718028e-08       3.333333333333e-01 
       7.559354958558e-01       1.841708885917e-06      -1.167872060258e+00       2.204412972676e-07       5.965425910649e-13       1.491356477662e-12       2.270265073621e-21       2.982712955325e-13      -8.759040451934e-01       2.204412972676e-07       5.838472119140e-01       7.080320127105e-01      -1.167872060258e+00       2.204412916534e-07       2.221995537925e-08      -8.759040451934e-01       2.204413092432e-07      -1.167872060258e+00       2.204412916583e-07       2.203862979902e-08       3.333333333333e-01 
       7.652489832023e-01       1.864427510020e-06      -1.167903667736e+00       2.231599479009e-07       6.188900326250e-13       1.547225081562e-12       2.413779740540e-21       3.094450163125e-13      -8.759277508017e-01       2.231599479009e-07       5.839059545333e-01       7.080241115296e-01      -1.167903667736e+00       2.231599420764e-07       2.277081853153e-08      -8.759277508017e-01       2.231599603242e-07      -1.167903667736e+00       2.231599420832e-07       2.255626692526e-08       3.333333333333e-01 
       7.952244844584e-01       1.937552113095e-06      -1.168018265674e+00       2.319129405411e-07       6.946036119017e-13       1.736509029754e-12       2.925748334695e-21       3.473018059508e-13      -8.760136992557e-01       2.319129405411e-07       5.840818575541e-01       7.079954643185e-01      -1.168018265674e+00       2.319129340044e-07       2.458962079646e-08      -8.760136992557e-01       2.319129544812e-07      -1.168018265674e+00       2.319129340193e-07       2.426281988613e-08       3.333333333333e-01 
       8.251999857145e-01       2.010683748096e-06      -1.168148411304e+00       2.406700114606e-07       7.762718226924e-13       1.940679556731e-12       3.521230883579e-21       3.881359113462e-13      -8.761113084783e-01       2.406700114606e-07       5.842402674467e-01       7.079629302719e-01      -1.168148411304e+00       2.406700041558e-07       2.647840637690e-08      -8.761113084783e-01       2.406700270360e-07      -1.168148411304e+00       2.406700041822e-07       2.603102323330e-08       3.333333333333e-01 
       8.551754869707e-01       2.083822415023e-06      -1.168289873112e+00       2.494306061735e-07       8.641208805492e-13       2.160302201373e-12       4.210067459601e-21       4.320604402746e-13      -8.762174048342e-01       2.494306061735e-07       5.843840137334e-01       7.079275672684e-01      -1.168289873112e+00       2.494305980426e-07       2.843720535194e-08      -8.762174048342e-01       2.494306235073e-07      -1.168289873112e+00       2.494305980843e-07       2.786061239438e-08       3.333333333333e-01 
       8.851509882268e-01       2.156968113876e-06      -1.168439307190e+00       2.581942393818e-07       9.583770026179e-13       2.395942506545e-12       5.002844203983e-21       4.791885013089e-13      -8.763294803926e-01       2.581942393818e-07       5.845154313393e-01       7.078902112850e-01      -1.168439307190e+00       2.581942303647e-07       3.046604424102e-08      -8.763294803926e-01       2.581942586015e-07      -1.168439307190e+00       2.581942304257e-07       2.975132005674e-08       3.333333333333e-01 
