# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=8.06309e-06 to 23.1709 h/Mpc,
# number of wavenumbers equal to 861
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       3.786076260986e-04      -8.038745527324e-01      -2.124480835044e+00      -2.124579145729e+00      -7.753955800492e-01      -7.746170824757e-01      -2.124058283923e+00       4.005486488338e-01       4.005394391476e-01 
       3.987399015405e-04      -7.713010539090e-01      -2.355494620231e+00      -2.355612774613e+00      -7.397100338051e-01      -7.389510558038e-01      -2.354988450606e+00       4.003650295049e-01       4.003620667307e-01 
       4.198467363095e-04      -7.280572642007e-01      -2.610343272765e+00      -2.610484830735e+00      -6.935027756540e-01      -6.927717547919e-01      -2.609743460474e+00       4.001679285661e-01       4.001705001093e-01 
       4.420020322063e-04      -6.752415891777e-01      -2.891753634152e+00      -2.891922712193e+00      -6.380319531036e-01      -6.373364241424e-01      -2.891050039464e+00       3.999564221392e-01       3.999636916803e-01 
       4.652838229331e-04      -6.147367825836e-01      -3.202781141281e+00      -3.202982481770e+00      -5.753688048297e-01      -5.747148078049e-01      -3.201963745272e+00       3.997295113552e-01       3.997405335574e-01 
       4.897740980930e-04      -5.492628194003e-01      -3.546842628826e+00      -3.547081654134e+00      -5.084456866810e-01      -5.078371441422e-01      -3.545901763579e+00       3.994861058337e-01       3.994998521080e-01 
       5.155584939622e-04      -4.823390816033e-01      -3.927749637944e+00      -3.928032514097e+00      -4.410033721917e-01      -4.404415215587e-01      -3.926676194883e+00       3.992250115769e-01       3.992404084732e-01 
       5.427258260208e-04      -4.181025078479e-01      -4.349741104439e+00      -4.350074793330e+00      -3.773882939572e-01      -3.768712820883e-01      -4.348526647694e+00       3.989449082970e-01       3.989608890825e-01 
       5.713674391044e-04      -3.609376875309e-01      -4.817514204146e+00      -4.817906487458e+00      -3.221537244727e-01      -3.216764923187e-01      -4.816150902764e+00       3.986443355501e-01       3.986599036754e-01 
       6.015763542509e-04      -3.148946928813e-01      -5.336251439768e+00      -5.336710938759e+00      -2.794381582434e-01      -2.789927612674e-01      -5.334731758108e+00       3.983216730708e-01       3.983359735753e-01 
       6.334461975377e-04      -2.829057875961e-01      -5.911642051613e+00      -5.912178219888e+00      -2.521411236687e-01      -2.517175918304e-01      -5.909958104505e+00       3.979751308141e-01       3.979875223381e-01 
       6.670699059687e-04      -2.658949530749e-01      -6.549895413049e+00      -6.550518474233e+00      -2.409948358494e-01      -2.405826013337e-01      -6.548037925215e+00       3.976027530609e-01       3.976128694670e-01 
       7.025382190504e-04      -2.619725848950e-01      -7.257743738641e+00      -7.258464609737e+00      -2.437363759823e-01      -2.433261474823e-01      -7.255700682019e+00       3.972024371673e-01       3.972102249138e-01 
       7.399379818654e-04      -2.660156422839e-01      -8.042431672064e+00      -8.043261871642e+00      -2.546971252490e-01      -2.542828940129e-01      -8.040186737436e+00       3.967719785208e-01       3.967776951715e-01 
       7.793503053074e-04      -2.700030685717e-01      -8.911690507005e+00      -8.912641986356e+00      -2.651891730536e-01      -2.647698349536e-01      -8.909221657737e+00       3.963091443740e-01       3.963133068461e-01 
       8.208486500002e-04      -2.644154296501e-01      -9.873694931885e+00      -9.874779933204e+00      -2.650058899862e-01      -2.645858765429e-01      -9.870973546366e+00       3.958117658898e-01       3.958150457708e-01 
       8.644969197837e-04      -2.407565034430e-01      -1.093700173959e+01      -1.093823269628e+01      -2.450795487848e-01      -2.446679633029e-01      -1.093399279319e+01       3.952778537432e-01       3.952809311277e-01 
       9.103476654871e-04      -1.947646792314e-01      -1.211047040767e+01      -1.211185984713e+01      -2.008285484487e-01      -2.004367289501e-01      -1.210713392854e+01       3.947057028584e-01       3.947091072006e-01 
       9.584405068746e-04      -1.292445583211e-01      -1.340316694177e+01      -1.340472751523e+01      -1.350734636901e-01      -1.347115565031e-01      -1.339946069761e+01       3.940939667076e-01       3.940979476658e-01 
       1.008800877574e-03      -5.499214205032e-02      -1.482425407381e+01      -1.482599871948e+01      -5.894433597589e-02      -5.861812626470e-02      -1.482013675847e+01       3.934416837175e-01       3.934461578755e-01 
       1.061439183157e-03       1.159768534294e-02      -1.638287205608e+01      -1.638481440192e+01       1.064425504809e-02       1.093478661883e-02      -1.637830579132e+01       3.927482500647e-01       3.927528541839e-01 
       1.072483128768e-03       2.272528237991e-02      -1.671933623871e+01      -1.672132078496e+01       2.247517655422e-02       2.275888588728e-02      -1.671467387257e+01       3.926013534495e-01       3.926059244833e-01 
       1.116350436862e-03       5.453442962338e-02      -1.808801482822e+01      -1.809016968744e+01       5.719600842653e-02       5.745554324164e-02      -1.808296548000e+01       3.920133359177e-01       3.920175821530e-01 
       1.173514403223e-03       6.606184937756e-02      -1.994840792901e+01      -1.995079212712e+01       7.260369503883e-02       7.283843870137e-02      -1.994284275950e+01       3.912368079469e-01       3.912402905757e-01 
       1.232896241352e-03       5.247361472442e-02      -2.197239321379e+01      -2.197502655830e+01       6.293347522539e-02       6.314807446922e-02      -2.196627650414e+01       3.904186770728e-01       3.904212461598e-01 
       1.294447601936e-03       3.352663526426e-02      -2.416782594961e+01      -2.417073233283e+01       4.761316110068e-02       4.780998157490e-02      -2.416111504066e+01       3.895591189186e-01       3.895609370903e-01 
       1.358108100175e-03       3.353209836657e-02      -2.654198807047e+01      -2.654519660538e+01       5.027325830888e-02       5.045452084371e-02      -2.653463288344e+01       3.886585532054e-01       3.886599998351e-01 
       1.423807064833e-03       6.736689599712e-02      -2.910152118867e+01      -2.910506717164e+01       8.477262970768e-02       8.494295642908e-02      -2.909346891218e+01       3.877177464725e-01       3.877192130565e-01 
       1.491465453149e-03       1.296380842561e-01      -3.185238002741e+01      -3.185630563488e+01       1.448515287747e-01       1.450169811488e-01      -3.184358359741e+01       3.867378589271e-01       3.867395468935e-01 
       1.560997822702e-03       1.957520308695e-01      -3.479980689129e+01      -3.480416148089e+01       2.059892213259e-01       2.061515210625e-01      -3.479023258441e+01       3.857203990331e-01       3.857222389726e-01 
       1.632314262396e-03       2.369750031316e-01      -3.794832443525e+01      -3.795316439656e+01       2.409761648973e-01       2.411265954519e-01      -3.793795328779e+01       3.846670817111e-01       3.846688225470e-01 
       1.705322202710e-03       2.408423195283e-01      -4.130174725159e+01      -4.130713524019e+01       2.399286558855e-01       2.400497533127e-01      -4.129056831720e+01       3.835796911979e-01       3.835810969785e-01 
       1.779928046787e-03       2.215775242693e-01      -4.486320529874e+01      -4.486920905815e+01       2.193593258894e-01       2.194379280416e-01      -4.485120488293e+01       3.824599876966e-01       3.824610044579e-01 
       1.856038585803e-03       2.101541380247e-01      -4.863517616044e+01      -4.864186733267e+01       2.107810519613e-01       2.108243856720e-01      -4.862233108625e+01       3.813097056824e-01       3.813104821866e-01 
       1.933562181946e-03       2.293692928861e-01      -5.261953187910e+01      -5.262698437289e+01       2.354629918812e-01       2.355009446868e-01      -5.260581185428e+01       3.801306665959e-01       3.801314231849e-01 
       2.012409718799e-03       2.738636283343e-01      -5.681758013580e+01      -5.682586923834e+01       2.857412197446e-01       2.858054193754e-01      -5.680295802548e+01       3.789247849488e-01       3.789256417948e-01 
       2.092495331292e-03       3.138055591481e-01      -6.123011523818e+01      -6.123931695522e+01       3.306006188284e-01       3.306934684751e-01      -6.121457573378e+01       3.776940495791e-01       3.776949533573e-01 
