# Matter power spectrum P(k) at redshift z=0
# for k=9.0192e-06 to 20.5861 h/Mpc,
# number of wavenumbers equal to 855
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.019201454174e-06       7.364120533859e+01 
       2.013437232318e-05       1.597263106373e+02 
       3.127867019624e-05       2.442393350239e+02 
       4.247440903451e-05       3.280312236267e+02 
       5.374417827534e-05       4.115624326554e+02 
       6.511099296095e-05       4.951626800192e+02 
       7.659844748270e-05       5.791030753737e+02 
       8.823087449441e-05       6.636251037942e+02 
       1.000335105604e-04       7.489549823505e+02 
       1.120326701213e-04       8.353119157846e+02 
       1.242559293744e-04       9.229134441108e+02 
       1.367323216761e-04       1.011979278706e+03 
       1.494925460608e-04       1.102734308631e+03 
       1.625691904350e-04       1.195411133196e+03 
       1.759969709228e-04       1.290252329175e+03 
       1.898129886899e-04       1.387512570707e+03 
       2.040570053356e-04       1.487460678818e+03 
       2.187717375774e-04       1.590381639426e+03 
       2.340031714211e-04       1.696578618279e+03 
       2.498008952548e-04       1.806374982136e+03 
       2.662184502690e-04       1.920116306990e+03 
       2.833136952002e-04       2.038172368137e+03 
       3.011491805457e-04       2.160939060176e+03 
       3.197925249974e-04       2.288840192379e+03 
       3.393167837950e-04       2.422329079454e+03 
       3.598007949172e-04       2.561889819447e+03 
       3.813294844476e-04       2.708038120105e+03 
       4.039941070762e-04       2.861321500898e+03 
       4.278923916126e-04       3.022318659792e+03 
       4.531285548632e-04       3.191637761083e+03 
       4.798131407256e-04       3.369913364794e+03 
       5.080626356595e-04       3.557801683846e+03 
       5.379988079316e-04       3.755973881144e+03 
       5.697477177126e-04       3.965107074906e+03 
       6.034383500518e-04       4.185872884890e+03 
       6.392008349528e-04       4.418923327069e+03 
       6.771642399587e-04       4.664874163124e+03 
       7.174539518240e-04       4.924285977400e+03 
       7.601887045194e-04       5.197643493155e+03 
       8.054773583407e-04       5.485334124788e+03 
       8.534155840436e-04       5.787626822424e+03 
       9.040826490048e-04       6.104652922321e+03 
       9.575385302735e-04       6.436390192158e+03 
       1.013821583378e-03       6.782652127029e+03 
       1.072946970199e-03       7.143083344501e+03 
       1.134905993731e-03       7.517161930380e+03 
       1.199666408215e-03       7.904209097994e+03 
       1.237685953032e-03       8.129567368214e+03 
       1.267173681764e-03       8.303405150349e+03 
       1.337353100265e-03       8.713810595634e+03 
       1.410112530429e-03       9.134391156564e+03 
       1.485345616560e-03       9.564044126246e+03 
       1.562935173802e-03       1.000162520059e+04 
       1.642756557639e-03       1.044597388306e+04 
       1.724680827698e-03       1.089593623370e+04 
       1.808577573914e-03       1.135038457803e+04 
       1.894317325288e-03       1.180823389179e+04 
       1.981773508839e-03       1.226845373982e+04 
       2.070823964317e-03       1.273007685014e+04 
       2.161352047312e-03       1.319220350919e+04 
       2.253247369975e-03       1.365400492654e+04 
       2.346406236227e-03       1.411472384106e+04 
       2.440731829417e-03       1.457367082602e+04 
       2.536134206954e-03       1.503022508376e+04 
       2.632530150392e-03       1.548382829396e+04 
       2.729842912233e-03       1.593398262392e+04 
       2.828001893341e-03       1.638024382164e+04 
       2.926942277899e-03       1.682222211667e+04 
       3.026604646696e-03       1.725957068405e+04 
       3.126934584318e-03       1.769199075718e+04 
       3.227882291507e-03       1.811921745371e+04 
       3.329402210537e-03       1.854102542436e+04 
       3.431452668786e-03       1.895722040730e+04 
       3.533995543625e-03       1.936763485368e+04 
       3.636995950267e-03       1.977213229539e+04 
       3.740421953082e-03       2.017059392139e+04 
       3.844244300126e-03       2.056292707157e+04 
       3.948436180119e-03       2.094905270376e+04 
       4.052973000729e-03       2.132891461018e+04 
       4.157832186856e-03       2.170246196018e+04 
       4.262992997494e-03       2.206966612512e+04 
       4.368436359704e-03       2.243050837364e+04 
       4.474144718296e-03       2.278497624066e+04 
       4.580101899811e-03       2.313306620473e+04 
       4.686292989519e-03       2.347478677881e+04 
       4.792704220213e-03       2.381015853891e+04 
       4.899322871658e-03       2.413919526223e+04 
       5.006137179679e-03       2.446192863664e+04 
       5.113136253919e-03       2.477838849753e+04 
       5.220310003429e-03       2.508861633412e+04 
       5.327649069297e-03       2.539264518014e+04 
       5.435144763619e-03       2.569052371472e+04 
       5.542789014175e-03       2.598230576383e+04 
       5.650574314243e-03       2.626802735557e+04 
       5.758493677037e-03       2.654775670601e+04 
       5.866540594312e-03       2.682153118568e+04 
       5.974708998718e-03       2.708941633231e+04 
       6.082993229540e-03       2.735146625990e+04 
       6.191388001486e-03       2.760774220874e+04 
       6.299888376236e-03       2.785829033455e+04 
