# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.01777e-06 to 20.5825 h/Mpc,
# number of wavenumbers equal to 855
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       4.530074384697e-04      -7.939376675500e-01      -2.454491659310e+00      -2.454611755833e+00      -7.612767713295e-01      -1.133026636278e+00      -2.454041535401e+00       4.302409500924e-01       4.302373312116e-01 
       4.796807563165e-04      -7.457291695203e-01      -2.750911777649e+00      -2.751058527898e+00      -7.100615486745e-01      -1.102881548678e+00      -2.750368032747e+00       4.300402797545e-01       4.300422701366e-01 
       5.079179270207e-04      -6.866304290859e-01      -3.082917367601e+00      -3.083096124254e+00      -6.484588079280e-01      -1.051360478247e+00      -3.082268442387e+00       4.298223118320e-01       4.298289703885e-01 
       5.378406386927e-04      -6.197126722505e-01      -3.455130745798e+00      -3.455347784970e+00      -5.798201250998e-01      -9.777973066419e-01      -3.454365216439e+00       4.295856594653e-01       4.295959048817e-01 
       5.695748744280e-04      -5.493776512252e-01      -3.872747126301e+00      -3.873009747833e+00      -5.088516691533e-01      -8.829624553164e-01      -3.871854051870e+00       4.293288179188e-01       4.293414695969e-01 
       6.032495483134e-04      -4.811573347514e-01      -4.341576560104e+00      -4.341893174956e+00      -4.413805619977e-01      -7.695419627062e-01      -4.340545760759e+00       4.290501458956e-01       4.290639864114e-01 
       6.389947290495e-04      -4.211639388031e-01      -4.868078118197e+00      -4.868458314198e+00      -3.837540334976e-01      -6.425471979121e-01      -4.866900270488e+00       4.287478445757e-01       4.287617031352e-01 
       6.769394364803e-04      -3.751169647054e-01      -5.459382394237e+00      -5.459836959297e+00      -3.418000142948e-01      -5.095149546575e-01      -5.458048793799e+00       4.284199426841e-01       4.284327942350e-01 
       7.172090273991e-04      -3.469758229769e-01      -6.123297847896e+00      -6.123838748837e+00      -3.193858183677e-01      -3.803117076413e-01      -6.121799709255e+00       4.280642868885e-01       4.280753550811e-01 
       7.599222275715e-04      -3.373886238942e-01      -6.868296655272e+00      -6.868936955144e+00      -3.168048447948e-01      -2.663397554504e-01      -6.866623863870e+00       4.276785560668e-01       4.276874012341e-01 
       8.051879143593e-04      -3.424178659712e-01      -7.703476027515e+00      -7.704229737537e+00      -3.294795854212e-01      -1.789943535614e-01      -7.701615405836e+00       4.272603059678e-01       4.272668741294e-01 
       8.531018034307e-04      -3.532337623278e-01      -8.638491997384e+00      -8.639373868450e+00      -3.477030012951e-01      -1.273803092565e-01      -8.636425364953e+00       4.268070491726e-01       4.268116582573e-01 
       9.037432361260e-04      -3.575093534197e-01      -9.683464577750e+00      -9.684489854766e+00      -3.581733256471e-01      -1.155865052091e-01      -9.681167133461e+00       4.263163782871e-01       4.263196270864e-01 
       9.571722920002e-04      -3.428910197368e-01      -1.084885527825e+01      -1.085003944880e+01      -3.476845315070e-01      -1.402015573038e-01      -1.084629497737e+01       4.257861123169e-01       4.257887178453e-01 
       1.013427455223e-03      -3.020132780801e-01      -1.214532083691e+01      -1.214667942813e+01      -3.083833268237e-01      -1.891046083816e-01      -1.214245932949e+01       4.252144442311e-01       4.252170411787e-01 
       1.072524038191e-03      -2.372452716902e-01      -1.358354962205e+01      -1.358509811645e+01      -2.426776593800e-01      -2.426519668099e-01      -1.358034482542e+01       4.246000526204e-01       4.246030144987e-01 
       1.134453510456e-03      -1.623520773707e-01      -1.517408898015e+01      -1.517584293292e+01      -1.648785158449e-01      -2.779350684155e-01      -1.517049854289e+01       4.239421335457e-01       4.239454836254e-01 
       1.199183801970e-03      -9.855637731372e-02      -1.692717416962e+01      -1.692914955968e+01      -9.703237654510e-02      -2.756839972665e-01      -1.692315827020e+01       4.232403647373e-01       4.232438224299e-01 
       1.237436309153e-03      -7.484319290696e-02      -1.800645114641e+01      -1.800856072684e+01      -7.079650249032e-02      -2.537818455178e-01      -1.800217531108e+01       4.228193808230e-01       4.228227141167e-01 
       1.266660558409e-03      -6.489384555016e-02      -1.885256766819e+01      -1.885478157698e+01      -5.894736482605e-02      -2.278448433859e-01      -1.884808954248e+01       4.224947905699e-01       4.224979444910e-01 
       1.336809238052e-03      -6.677475886061e-02      -2.095941857953e+01      -2.096189016248e+01      -5.654742529579e-02      -1.425740544779e-01      -2.095444211788e+01       4.217057110439e-01       4.217082442468e-01 
       1.409537868692e-03      -8.991522599671e-02      -2.325614863430e+01      -2.325890036640e+01      -7.590094858251e-02      -4.335425094463e-02      -2.325063441946e+01       4.208736274602e-01       4.208754812788e-01 
       1.484740239600e-03      -1.059089105164e-01      -2.575036828644e+01      -2.575342733652e+01      -8.913329577670e-02       3.914129166675e-02      -2.574427113692e+01       4.199992625985e-01       4.200006476835e-01 
       1.562299291522e-03      -8.906646398323e-02      -2.844882486272e+01      -2.845222446793e+01      -7.147889712222e-02       8.018969314902e-02      -2.844209589475e+01       4.190836439254e-01       4.190848919406e-01 
       1.642090484503e-03      -3.484563884047e-02      -3.135738086137e+01      -3.136116146180e+01      -1.936739745691e-02       7.332694800295e-02      -3.134997429636e+01       4.181281623547e-01       4.181295135397e-01 
       1.723984961446e-03       3.436605855784e-02      -3.448101971606e+01      -3.448522967744e+01       4.470133331193e-02       3.481890919121e-02      -3.447290076784e+01       4.171345486580e-01       4.171360175544e-01 
       1.807852375162e-03       8.370644374470e-02      -3.782387350629e+01      -3.782856929642e+01       8.741034478015e-02      -3.677756786055e-03      -3.781502170186e+01       4.161047451337e-01       4.161061546122e-01 
       1.893563298875e-03       9.233892796221e-02      -4.138926849046e+01      -4.139451415338e+01       9.085894127174e-02      -1.176363943883e-02      -4.137967321196e+01       4.150407518622e-01       4.150419020299e-01 
       1.980991187410e-03       7.111203582549e-02      -4.517978219250e+01      -4.518564825253e+01       6.861133914391e-02       2.255109816710e-02      -4.516943335973e+01       4.139445277619e-01       4.139453636387e-01 
       2.070013894393e-03       5.433268118639e-02      -4.919730614250e+01      -4.920386815517e+01       5.555073504754e-02       8.576598451154e-02      -4.918618754280e+01       4.128179845408e-01       4.128186303917e-01 
       2.160514777863e-03       6.994062810253e-02      -5.344311262820e+01      -5.345044952185e+01       7.755807184535e-02       1.472155996814e-01      -5.343120363867e+01       4.116630575834e-01       4.116636996335e-01 
       2.252383443363e-03       1.137547418858e-01      -5.791792074701e+01      -5.792611326714e+01       1.274399296318e-01       1.784386070450e-01      -5.790520478992e+01       4.104817475181e-01       4.104824755402e-01 
       2.345516181282e-03       1.529886095358e-01      -6.262196029739e+01      -6.263108994666e+01       1.709423175853e-01       1.713462861653e-01      -6.260843160706e+01       4.092760811894e-01       4.092768295850e-01 
       2.439816156371e-03       1.581022419010e-01      -6.755503119959e+01      -6.756517981013e+01       1.794169798531e-01       1.428755437328e-01      -6.754069234400e+01       4.080480087869e-01       4.080486416002e-01 
       2.535193403933e-03       1.331218304029e-01      -7.271655781344e+01      -7.272780804917e+01       1.582299032177e-01       1.226274988393e-01      -7.270140969746e+01       4.067993238074e-01       4.067997746311e-01 
       2.631564681181e-03       1.132212206473e-01      -7.810563992447e+01      -7.811807658509e+01       1.416764202867e-01       1.319781632501e-01      -7.808967433777e+01       4.055316751107e-01       4.055320077383e-01 
       2.728853215055e-03       1.299162837598e-01      -8.372109659372e+01      -8.373480855360e+01       1.577492406858e-01       1.695333667612e-01      -8.370430026558e+01       4.042466282857e-01       4.042470120219e-01 
