#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       1.029586179134e-02       2.221420967291e-08      -1.202248245071e+00       3.094486447658e-05       1.201905231619e-14       3.004763079047e-14       6.564696537170e-25       6.009526158094e-15      -9.016861838034e-01       3.094486447658e-05       6.011225584276e-01       6.994379918331e-01      -1.202248245071e+00       3.094486301860e-05       4.248072350034e-08      -9.016861838034e-01       3.094486750822e-05 
       1.086047932731e-02       2.343244469093e-08      -1.202250410604e+00       3.264188218027e-05       1.410685775768e-14       3.526714439420e-14       8.573303227578e-25       7.053428878839e-15      -9.016878079531e-01       3.264188218027e-05       6.011222759318e-01       6.994374564336e-01      -1.202250410604e+00       3.264188046903e-05       4.726767573856e-08      -9.016878079531e-01       3.264188573851e-05 
       1.142509686328e-02       2.465068220382e-08      -1.202252277246e+00       3.433889371588e-05       1.642343758890e-14       4.105859397224e-14       1.104599000867e-24       8.211718794448e-15      -9.016892079345e-01       3.433889371588e-05       6.011220426044e-01       6.994369960762e-01      -1.202252277246e+00       3.433889172363e-05       5.231014426129e-08      -9.016892079345e-01       3.433889785842e-05 
       1.198971439925e-02       2.586892221160e-08      -1.202253933888e+00       3.603590053258e-05       1.898068643796e-14       4.745171609490e-14       1.405889801214e-24       9.490343218980e-15      -9.016904504162e-01       3.603590053258e-05       6.011218501440e-01       6.994365885381e-01      -1.202253933888e+00       3.603589823013e-05       5.760812531276e-08      -9.016904504162e-01       3.603590532013e-05 
       1.352404202919e-02       2.917945775101e-08      -1.202257591144e+00       4.064743103363e-05       2.724001639017e-14       6.810004097542e-14       2.567110095292e-24       1.362000819508e-14      -9.016931933580e-01       4.064743103363e-05       6.011214933061e-01       6.994356938338e-01      -1.202257591144e+00       4.064742772929e-05       7.329580240036e-08      -9.016931933580e-01       4.064743790437e-05 
       1.505836965914e-02       3.249001171415e-08      -1.202260861799e+00       4.525894729387e-05       3.760312807702e-14       9.400782019256e-14       4.393457258575e-24       1.880156403851e-14      -9.016956463490e-01       4.525894729387e-05       6.011212891418e-01       6.994348981382e-01      -1.202260861799e+00       4.525894273245e-05       9.087025944189e-08      -9.016956463490e-01       4.525895677840e-05 
       1.659269728908e-02       3.580058410102e-08      -1.202263985214e+00       4.987045447934e-05       5.030872407308e-14       1.257718101827e-13       7.136844325389e-24       2.515436203654e-14      -9.016979889107e-01       4.987045447934e-05       6.011211580146e-01       6.994341416108e-01      -1.202263985214e+00       4.987044837669e-05       1.103314860024e-07      -9.016979889108e-01       4.987046716845e-05 
       1.812702491903e-02       3.911117491162e-08      -1.202266940238e+00       5.448194969905e-05       6.559550504190e-14       1.639887626047e-13       1.110602127661e-23       3.279775252095e-14      -9.017002051782e-01       5.448194969905e-05       6.011210462993e-01       6.994334295400e-01      -1.202266940238e+00       5.448194174206e-05       1.316795359274e-07      -9.017002051783e-01       5.448196624371e-05 
       1.966135254897e-02       4.242178414596e-08      -1.202269759279e+00       5.909343245730e-05       8.370217687377e-14       2.092554421844e-13       1.667236880434e-23       4.185108843689e-14      -9.017023194589e-01       5.909343245730e-05       6.011209381213e-01       6.994327538234e-01      -1.202269759279e+00       5.909342230391e-05       1.549144358812e-07      -9.017023194590e-01       5.909345356867e-05 
       2.119568017892e-02       4.573241180402e-08      -1.202272465301e+00       6.370490209377e-05       1.048674487241e-13       2.621686218102e-13       2.427569147738e-23       5.243372436204e-14      -9.017043489758e-01       6.370490209377e-05       6.011208525146e-01       6.994321087200e-01      -1.202272465301e+00       6.370488937296e-05       1.800361610600e-07      -9.017043489760e-01       6.370492854322e-05 
       2.423793241465e-02       5.229675164257e-08      -1.202277654659e+00       7.284845097419e-05       1.568156177767e-13       3.920390444418e-13       4.747024106859e-23       7.840780888836e-14      -9.017082409944e-01       7.284845097419e-05       6.011207370104e-01       6.994308806188e-01      -1.202277654659e+00       7.284843195189e-05       2.354268504358e-07      -9.017082409947e-01       7.284849052521e-05 
       2.728018465038e-02       5.886116391334e-08      -1.202282795932e+00       8.199195969412e-05       2.235879770770e-13       5.589699426926e-13       8.574105711943e-23       1.117939885385e-13      -9.017120969489e-01       8.199195969412e-05       6.011206978550e-01       6.994296738113e-01      -1.202282795932e+00       8.199193257211e-05       2.982352991608e-07      -9.017120969493e-01       8.199201608508e-05 
       3.032243688611e-02       6.542564861634e-08      -1.202287941207e+00       9.113542917240e-05       3.070454957598e-13       7.676137393995e-13       1.454727003328e-22       1.535227478799e-13      -9.017159559054e-01       9.113542917240e-05       6.011206967873e-01       6.994284752752e-01      -1.202287941207e+00       9.113539192672e-05       3.684614733707e-07      -9.017159559060e-01       9.113550661081e-05 
       3.336468912185e-02       7.199020575156e-08      -1.202293125500e+00       1.002788606565e-04       4.090492114051e-13       1.022623028513e-12       2.346416399366e-22       2.045246057026e-13      -9.017198441249e-01       1.002788606565e-04       6.011206948410e-01       6.994272762571e-01      -1.202293125499e+00       1.002788110375e-04       4.461054211305e-07      -9.017198441258e-01       1.002789638190e-04 
       3.640694135758e-02       7.855483531901e-08      -1.202298314995e+00       1.094222498894e-04       5.314602036086e-13       1.328650509021e-12       3.629938696280e-22       2.657301018043e-13      -9.017237362462e-01       1.094222498894e-04       6.011206933972e-01       6.994260852106e-01      -1.202298314994e+00       1.094221854216e-04       5.311671474384e-07      -9.017237362474e-01       1.094223839219e-04 
       3.944919359331e-02       8.511953731868e-08      -1.202303575257e+00       1.185656018616e-04       6.761396556775e-13       1.690349139194e-12       5.422225968797e-22       3.380698278387e-13      -9.017276814427e-01       1.185656018616e-04       6.011206854558e-01       6.994248857445e-01      -1.202303575256e+00       1.185655198437e-04       6.236465949156e-07      -9.017276814444e-01       1.185657723788e-04 
       4.355799754366e-02       9.398580520077e-08      -1.202310734265e+00       1.309143606520e-04       9.101875909532e-13       2.275468977383e-12       8.898937143777e-22       4.550937954766e-13      -9.017330506985e-01       1.309143606520e-04       6.011206841075e-01       6.994232668367e-01      -1.202310734263e+00       1.309142502434e-04       7.603216583391e-07      -9.017330507010e-01       1.309145901891e-04 
       4.766680149401e-02       1.028522052040e-07      -1.202318005516e+00       1.432630469379e-04       1.192835033424e-12       2.982087583559e-12       1.396658719439e-21       5.964175167118e-13      -9.017385041372e-01       1.432630469379e-04       6.011206856053e-01       6.994216367806e-01      -1.202318005514e+00       1.432629022434e-04       9.105268679593e-07      -9.017385041408e-01       1.432633477482e-04 
       5.177560544436e-02       1.117187373283e-07      -1.202325378083e+00       1.556116580928e-04       1.528667573209e-12       3.821668933021e-12       2.111775690912e-21       7.643337866043e-13      -9.017440335626e-01       1.556116580928e-04       6.011206865514e-01       6.994199983084e-01      -1.202325378080e+00       1.556114726609e-04       1.074262149070e-06      -9.017440335676e-01       1.556120435851e-04 
       5.588440939471e-02       1.205854015737e-07      -1.202332845301e+00       1.679601916653e-04       1.922271000550e-12       4.805677501374e-12       3.093761126621e-21       9.611355002748e-13      -9.017496339756e-01       1.679601916653e-04       6.011206827143e-01       6.994183530862e-01      -1.202332845297e+00       1.679599584884e-04       1.251527457326e-06      -9.017496339824e-01       1.679606764038e-04 
       5.999321334506e-02       1.294521979403e-07      -1.202340413828e+00       1.803086469582e-04       2.378231324913e-12       5.945578312283e-12       4.411188823030e-21       1.189115662457e-12      -9.017553103711e-01       1.803086469582e-04       6.011206718892e-01       6.994166994492e-01      -1.202340413822e+00       1.803083584722e-04       1.442322710304e-06      -9.017553103801e-01       1.803092466627e-04 
       6.410201729541e-02       1.383191264279e-07      -1.202348088572e+00       1.926570232076e-04       2.901134760927e-12       7.252836902319e-12       6.143488838402e-21       1.450567380464e-12      -9.017610664287e-01       1.926570232076e-04       6.011206555576e-01       6.994150361705e-01      -1.202348088564e+00       1.926566712922e-04       1.646647770360e-06      -9.017610664404e-01       1.926577547532e-04 
       6.821082124576e-02       1.471861870367e-07      -1.202355884870e+00       2.050053218127e-04       3.495567764879e-12       8.738919412197e-12       8.381746682162e-21       1.747783882439e-12      -9.017669136524e-01       2.050053218127e-04       6.011206323273e-01       6.994133594154e-01      -1.202355884860e+00       2.050048977914e-04       1.864502490726e-06      -9.017669136675e-01       2.050062032300e-04 
       7.643946422178e-02       1.649445199005e-07      -1.202371844657e+00       2.297348424421e-04       4.919499577785e-12       1.229874894446e-11       1.481424101414e-20       2.459749788893e-12      -9.017788834926e-01       2.297348424421e-04       6.011205662602e-01       6.994099656888e-01      -1.202371844642e+00       2.297342456953e-04       2.341476468193e-06      -9.017788835163e-01       2.297360828527e-04 
       8.466810719781e-02       1.827033826691e-07      -1.202388185506e+00       2.544640173399e-04       6.685557546504e-12       1.671389386626e-11       2.470094130773e-20       3.342778773252e-12      -9.017911391298e-01       2.544640173399e-04       6.011204860178e-01       6.994065445263e-01      -1.202388185483e+00       2.544632063673e-04       2.872713301926e-06      -9.017911391655e-01       2.544657029723e-04 
       9.289675017383e-02       2.004627753425e-07      -1.202404954801e+00       2.791928445420e-04       8.830588227552e-12       2.207647056888e-11       3.927713554111e-20       4.415294113776e-12      -9.018037161005e-01       2.791928445420e-04       6.011203770830e-01       6.994030840813e-01      -1.202404954768e+00       2.791917733743e-04       3.458212184484e-06      -9.018037161523e-01       2.791950709034e-04 
       1.011253931499e-01       2.182226979206e-07      -1.202422140071e+00       3.039213098624e-04       1.139144097062e-11       2.847860242655e-11       6.004283660627e-20       5.695720485310e-12      -9.018166050534e-01       3.039213098623e-04       6.011202434161e-01       6.993995874702e-01      -1.202422140025e+00       3.039199280604e-04       4.097972111669e-06      -9.018166051260e-01       3.039241817373e-04 
       1.093540361259e-01       2.359831504034e-07      -1.202439751493e+00       3.286494046489e-04       1.440496829907e-11       3.601242074768e-11       8.878855586105e-20       7.202484149536e-12      -9.018298136195e-01       3.286494046489e-04       6.011200850000e-01       6.993960521481e-01      -1.202439751429e+00       3.286476573033e-04       4.791991962717e-06      -9.018298137188e-01       3.286530360987e-04 
       1.175826791019e-01       2.537441327911e-07      -1.202457790395e+00       3.533771185985e-04       1.790802566478e-11       4.477006416196e-11       1.276210819538e-19       8.954012832392e-12      -9.018433427959e-01       3.533771185985e-04       6.011199018590e-01       6.993924777815e-01      -1.202457790309e+00       3.533749463297e-04       5.540270634547e-06      -9.018433429286e-01       3.533816329605e-04 
       1.258113220779e-01       2.715056450835e-07      -1.202476262951e+00       3.781044431816e-04       2.193747154321e-11       5.484367885803e-11       1.789892688386e-19       1.096873577161e-11      -9.018571972132e-01       3.781044431816e-04       6.011196918355e-01       6.993888628259e-01      -1.202476262839e+00       3.781017821391e-04       6.342807047902e-06      -9.018571973871e-01       3.781099730681e-04 
       1.379724145584e-01       2.977563134223e-07      -1.202504330880e+00       4.146481546876e-04       2.893466488342e-11       7.233666220854e-11       2.839377328126e-19       1.446733244171e-11      -9.018782481602e-01       4.146481546875e-04       6.011193373951e-01       6.993834526334e-01      -1.202504330719e+00       4.146446448841e-04       7.628219392810e-06      -9.018782484118e-01       4.146554479206e-04 
