# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ddec[0]        15:(.)p_ddec[0]          16:(.)rho_lambda         17:(.)rho_crit           18:gr.fac. D             19:gr.fac. f          
       8.697823467967e+13       1.035515586584e-25       5.522451829165e-09       1.574850160225e+22       1.445351351216e+04       1.661739119607e-10       1.257141090206e+18       3.188678419975e-09       1.574785573594e+44       1.636923422878e+33       8.662268421030e+33       7.265430475351e+43       2.421810158450e+43       1.788244059295e+43       5.960813530985e+42       2.778134729041e-08       2.480153027161e+44       1.412840598888e-06       7.167828077816e+00 
       8.637361934426e+13       1.050063545060e-25       5.562469596043e-09       1.553031619010e+22       1.445351351216e+04       1.673371293445e-10       1.248402274286e+18       3.210999168915e-09       1.531452550306e+44       1.603023730218e+33       8.482878088466e+33       7.065509245904e+43       2.355169748635e+43       1.739037346479e+43       5.796791154932e+42       2.778134729041e-08       2.411907209645e+44       1.483482628832e-06       6.826502931253e+00 
       8.577320689599e+13       1.064815887804e-25       5.600668373518e-09       1.531515359721e+22       1.445351351216e+04       1.685084892499e-10       1.239724204852e+18       3.233476163097e-09       1.489311912151e+44       1.569826079661e+33       8.307202821039e+33       6.871089204325e+43       2.290363068108e+43       1.691184643802e+43       5.637282146006e+42       2.778134729041e-08       2.345539297063e+44       1.554124658776e-06       6.516207343469e+00 
       8.517696811915e+13       1.079775486212e-25       5.638867150992e-09       1.510297194437e+22       1.445351351216e+04       1.696880486746e-10       1.231106459635e+18       3.256110496239e-09       1.448330848536e+44       1.537315932340e+33       8.135165682000e+33       6.682018975654e+43       2.227339658551e+43       1.644648693268e+43       5.482162310892e+42       2.778134729041e-08       2.280997615524e+44       1.624766688721e-06       6.232893980709e+00 
       8.458487400115e+13       1.094945252017e-25       5.678884917870e-09       1.489372993255e+22       1.445351351216e+04       1.708758650153e-10       1.222548619300e+18       3.278903269712e-09       1.408477451704e+44       1.505479050481e+33       7.966691327913e+33       6.498151350284e+43       2.166050450095e+43       1.599393262102e+43       5.331310873674e+42       2.778134729041e-08       2.218231913037e+44       1.695408718665e-06       5.973190064846e+00 
       8.399689573103e+13       1.110328137863e-25       5.718902684748e-09       1.468738683491e+22       1.445351351216e+04       1.720719960704e-10       1.214050267428e+18       3.301855592600e-09       1.369720691902e+44       1.474301491162e+33       7.801705975661e+33       6.319343169339e+43       2.106447723113e+43       1.555383114539e+43       5.184610381797e+42       2.778134729041e-08       2.157193320383e+44       1.766050748609e-06       5.734262462252e+00 
       8.341300469814e+13       1.125927137872e-25       5.758920451626e-09       1.448390248885e+22       1.445351351216e+04       1.732765000429e-10       1.205610990494e+18       3.324968581748e-09       1.332030393213e+44       1.443769600213e+33       7.640137370128e+33       6.145455213216e+43       2.048485071072e+43       1.512583984388e+43       5.041946614627e+42       2.778134729041e-08       2.097834313064e+44       1.836692778553e-06       5.513713906011e+00 
       8.283317249071e+13       1.141745288232e-25       5.798938218504e-09       1.428323728819e+22       1.445351351216e+04       1.744894355432e-10       1.197230377849e+18       3.348243361820e-09       1.295377210063e+44       1.413870006234e+33       7.481914752559e+33       5.976352093187e+43       1.992117364396e+43       1.470962548353e+43       4.903208494508e+42       2.778134729041e-08       2.040108674306e+44       1.907334808498e-06       5.309502279863e+00 
       8.225737089444e+13       1.157785667786e-25       5.840774974786e-09       1.408535217547e+22       1.445351351216e+04       1.757108615920e-10       1.188908021698e+18       3.371681065353e-09       1.259732604377e+44       1.384589614737e+33       7.326968829569e+33       5.811902145985e+43       1.937300715328e+43       1.430486400087e+43       4.768288000288e+42       2.778134729041e-08       1.983971459072e+44       1.977976838442e-06       5.119877198439e+00 
       8.168557189121e+13       1.174051398633e-25       5.880792741664e-09       1.389020863437e+22       1.445351351216e+04       1.769408376232e-10       1.180643517078e+18       3.395282832810e-09       1.225068823353e+44       1.355915602413e+33       7.175231742800e+33       5.651977331290e+43       1.883992443763e+43       1.391124024962e+43       4.637080083207e+42       2.778134729041e-08       1.929378959064e+44       2.048618868386e-06       4.943329708838e+00 
