#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]           19:delta_ddec[0]         20:theta_ddec[0]         21:shear_ddec[0]         22:cs2_ddec[0]        
       7.000861556447e-02       1.560397886550e-07      -1.190537409869e+00       2.083440445476e-06       4.007411975113e-14       1.001852993778e-13       1.083955085617e-23       2.003705987556e-14      -8.929030574016e-01       2.083440445476e-06       6.017521667194e-01       7.023656718670e-01      -8.929030574016e-01       2.083440540772e-06      -1.190537410037e+00       2.083440399891e-06       1.948741527512e-08       3.333333333333e-01      -1.190537409869e+00       2.083440400036e-06       1.201030706967e-08       3.333333333333e-01 
       7.000861740668e-02       1.560397927615e-07      -1.190537410553e+00       2.083440501490e-06       4.007412281250e-14       1.001853070313e-13       1.083955225477e-23       2.003706140625e-14      -8.929030579144e-01       2.083440501490e-06       6.024090725267e-01       7.023656716960e-01      -8.929030579144e-01       2.083440596786e-06      -1.190537410721e+00       2.083440455905e-06       1.948741629968e-08       3.333333333333e-01      -1.190537410553e+00       2.083440456050e-06       1.115713243528e-08       3.333333333333e-01 
       7.000861924890e-02       1.560397968681e-07      -1.190537411303e+00       2.083440557620e-06       4.007412588501e-14       1.001853147125e-13       1.083955365638e-23       2.003706294251e-14      -8.929030584772e-01       2.083440557620e-06       6.030193219898e-01       7.023656715084e-01      -8.929030584772e-01       2.083440652916e-06      -1.190537411471e+00       2.083440512035e-06       1.948741732425e-08       3.333333333333e-01      -1.190537411303e+00       2.083440512180e-06       1.036455394310e-08       3.333333333333e-01 
       7.000862109111e-02       1.560398009746e-07      -1.190537412115e+00       2.083440613859e-06       4.007412896789e-14       1.001853224197e-13       1.083955506080e-23       2.003706448394e-14      -8.929030590864e-01       2.083440613859e-06       6.035862141154e-01       7.023656713054e-01      -8.929030590864e-01       2.083440709155e-06      -1.190537412284e+00       2.083440568274e-06       1.948741834881e-08       3.333333333333e-01      -1.190537412115e+00       2.083440568419e-06       9.628286925228e-09       3.333333333333e-01 
       7.000862293333e-02       1.560398050812e-07      -1.190537412985e+00       2.083440670198e-06       4.007413206038e-14       1.001853301509e-13       1.083955646782e-23       2.003706603019e-14      -8.929030597388e-01       2.083440670198e-06       6.041128303142e-01       7.023656710879e-01      -8.929030597388e-01       2.083440765494e-06      -1.190537413154e+00       2.083440624613e-06       1.948741937337e-08       3.333333333333e-01      -1.190537412985e+00       2.083440624759e-06       8.944329321981e-09       3.333333333333e-01 
       7.000862477554e-02       1.560398091878e-07      -1.190537413908e+00       2.083440726631e-06       4.007413516180e-14       1.001853379045e-13       1.083955787725e-23       2.003706758090e-14      -8.929030604313e-01       2.083440726631e-06       6.046020362991e-01       7.023656708571e-01      -8.929030604313e-01       2.083440821927e-06      -1.190537414077e+00       2.083440681046e-06       1.948742039793e-08       3.333333333333e-01      -1.190537413908e+00       2.083440681192e-06       8.308959215997e-09       3.333333333333e-01 
       7.000862845814e-02       1.560398173968e-07      -1.190537415899e+00       2.083440839695e-06       4.007414138585e-14       1.001853534646e-13       1.083956070128e-23       2.003707069292e-14      -8.929030619245e-01       2.083440839695e-06       6.054782961259e-01       7.023656703593e-01      -8.929030619245e-01       2.083440934991e-06      -1.190537416068e+00       2.083440794110e-06       1.948742244603e-08       3.333333333333e-01      -1.190537415899e+00       2.083440794255e-06       7.170891791627e-09       3.333333333333e-01 
       7.000863214073e-02       1.560398256058e-07      -1.190537418062e+00       2.083440953059e-06       4.007414763854e-14       1.001853690964e-13       1.083956353307e-23       2.003707381927e-14      -8.929030635463e-01       2.083440953059e-06       6.062345814334e-01       7.023656698188e-01      -8.929030635463e-01       2.083441048355e-06      -1.190537418230e+00       2.083440907474e-06       1.948742449414e-08       3.333333333333e-01      -1.190537418062e+00       2.083440907619e-06       6.188644447991e-09       3.333333333333e-01 
       7.000863496159e-02       1.560398318939e-07      -1.190537419819e+00       2.083441040072e-06       4.007415244502e-14       1.001853811126e-13       1.083956570678e-23       2.003707622251e-14      -8.929030648645e-01       2.083441040072e-06       6.067430249985e-01       7.023656693794e-01      -8.929030648645e-01       2.083441135368e-06      -1.190537419988e+00       2.083440994487e-06       1.948742606298e-08       3.333333333333e-01      -1.190537419819e+00       2.083440994633e-06       5.528288552434e-09       3.333333333333e-01 
       7.000863778244e-02       1.560398381819e-07      -1.190537421654e+00       2.083441127222e-06       4.007415726447e-14       1.001853931612e-13       1.083956788401e-23       2.003707863223e-14      -8.929030662408e-01       2.083441127222e-06       6.071972028163e-01       7.023656689206e-01      -8.929030662408e-01       2.083441222517e-06      -1.190537421823e+00       2.083441081637e-06       1.948742763182e-08       3.333333333333e-01      -1.190537421654e+00       2.083441081782e-06       4.938411745055e-09       3.333333333333e-01 
