# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.60881e-06 to 21.9587 h/Mpc,
# number of wavenumbers equal to 853
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       5.056678639574e-04      -7.771224328258e-01      -2.707343462457e+00      -2.707481685840e+00      -7.432363409820e-01      -7.424559418956e-01      -2.706842517269e+00       4.471333618388e-01       4.471341049382e-01 
       5.374071853343e-04      -7.182054007193e-01      -3.056466643812e+00      -3.056637354336e+00      -6.816039383852e-01      -6.808551322794e-01      -3.055863181513e+00       4.469049493805e-01       4.469106281132e-01 
       5.711927319294e-04      -6.499854207896e-01      -3.451088370795e+00      -3.451298489086e+00      -6.115172879607e-01      -6.108058596332e-01      -3.450370944952e+00       4.466554002274e-01       4.466647755814e-01 
       6.071797585811e-04      -5.776202601221e-01      -3.897436406767e+00      -3.897694084367e+00      -5.385057269978e-01      -5.378340433214e-01      -3.896594318956e+00       4.463829300151e-01       4.463946462781e-01 
       6.455249558241e-04      -5.077642380269e-01      -4.402482850661e+00      -4.402797575879e+00      -4.695853509086e-01      -4.689518151095e-01      -4.401506476707e+00       4.460855975421e-01       4.460982692351e-01 
       6.863834258880e-04      -4.478139813658e-01      -4.973971701665e+00      -4.974354395672e+00      -4.124310912386e-01      -4.118302532002e-01      -4.972852551241e+00       4.457612829189e-01       4.457736109667e-01 
       7.299050697801e-04      -4.045302373369e-01      -5.620425546690e+00      -5.620888571520e+00      -3.739055859602e-01      -3.733291410985e-01      -5.619155796367e+00       4.454076732042e-01       4.454185801400e-01 
       7.762304804195e-04      -3.821152763364e-01      -6.351125143725e+00      -6.351682268487e+00      -3.580325412178e-01      -3.574712606191e-01      -6.349696516728e+00       4.450222607269e-01       4.450310238005e-01 
       8.254865149471e-04      -3.801307762509e-01      -7.176056853254e+00      -7.176723122997e+00      -3.638379553280e-01      -3.632841404889e-01      -7.174458762669e+00       4.446023834022e-01       4.446087336872e-01 
       8.777817983007e-04      -3.920531637614e-01      -8.105824103046e+00      -8.106615614999e+00      -3.838992430735e-01      -3.833488706314e-01      -8.104041286037e+00       4.441453066709e-01       4.441494568399e-01 
       9.332024751379e-04      -4.055545232200e-01      -9.151522134202e+00      -9.152455742263e+00      -4.047373198367e-01      -4.041907335798e-01      -9.149532370457e+00       4.436483646237e-01       4.436509346088e-01 
       9.918085613878e-04      -4.054535796626e-01      -1.032457860732e+01      -1.032567158840e+01      -4.100124192292e-01      -4.094727659496e-01      -1.032235142678e+01       4.431091439798e-01       4.431109775965e-01 
       1.053631235555e-03      -3.793639900103e-01      -1.163656671251e+01      -1.163783642930e+01      -3.865038991923e-01      -3.859737075868e-01      -1.163406399813e+01       4.425256813827e-01       4.425275870202e-01 
       1.118671346315e-03      -3.243496672183e-01      -1.309900087280e+01      -1.310046456443e+01      -3.310591330022e-01      -3.305371709136e-01      -1.309617978859e+01       4.418966192670e-01       4.418991118203e-01 
       1.186899301353e-03      -2.511274105209e-01      -1.472312787064e+01      -1.472480257576e+01      -2.548907600819e-01      -2.543723432558e-01      -1.471994531400e+01       4.412212650228e-01       4.412244098864e-01 
       1.258256359613e-03      -1.818914112255e-01      -1.651972695829e+01      -1.652162980837e+01      -1.811949745274e-01      -1.806774612749e-01      -1.651614366782e+01       4.404995291889e-01       4.405029688044e-01 
       1.332657200755e-03      -1.402744949719e-01      -1.849893209044e+01      -1.850108085482e+01      -1.346833497251e-01      -1.341741439284e-01      -1.849491377636e+01       4.397317704880e-01       4.397349400055e-01 
       1.340840250952e-03      -1.380932497924e-01      -1.872318846065e+01      -1.872536479852e+01      -1.319857724778e-01      -1.314784832240e-01      -1.871912142112e+01       4.396464369541e-01       4.396495452323e-01 
       1.409993519211e-03      -1.371618418130e-01      -2.067008563136e+01      -2.067249967804e+01      -1.270174564992e-01      -1.265369146956e-01      -2.066559994761e+01       4.389186138614e-01       4.389210517926e-01 
       1.490138307530e-03      -1.610913487505e-01      -2.304163053765e+01      -2.304433216845e+01      -1.471791603087e-01      -1.467508791281e-01      -2.303664135303e+01       4.380608518779e-01       4.380624435345e-01 
       1.572950464739e-03      -1.821479088721e-01      -2.562104283503e+01      -2.562405874801e+01      -1.657110238903e-01      -1.653410469073e-01      -2.561550591693e+01       4.371594659744e-01       4.371604781067e-01 
       1.658279387686e-03      -1.704984047668e-01      -2.841480254027e+01      -2.841816539127e+01      -1.535761304105e-01      -1.532365632830e-01      -2.840866725724e+01       4.362157331631e-01       4.362166178876e-01 
