#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]        
       9.921273391812e-02       2.140753041853e-07      -1.201541276808e+00       2.979667689072e-06       1.074766829064e-13       2.686917072659e-13       5.451621009112e-23       5.373834145318e-14      -9.011559576064e-01       2.979667689072e-06       6.012972753259e-01       6.996147300839e-01      -9.011559576064e-01       2.979667960255e-06      -1.201541277147e+00       2.979667558191e-06       3.946950795178e-08       3.333333333333e-01 
       1.033426184410e-01       2.229881920831e-07      -1.201574804798e+00       3.103764269998e-06       1.214690523701e-13       3.036726309252e-13       6.685095857478e-23       6.073452618503e-14      -9.011811035982e-01       3.103764269998e-06       6.012927564994e-01       6.996063522740e-01      -9.011811035982e-01       3.103764576468e-06      -1.201574805165e+00       3.103764122085e-06       4.282281261991e-08       3.333333333333e-01 
       1.074725029639e-01       2.319012134612e-07      -1.201604547474e+00       3.227855733045e-06       1.366259635452e-13       3.415649088630e-13       8.132377739013e-23       6.831298177261e-14      -9.012034106054e-01       3.227855733045e-06       6.012887716128e-01       6.995989209630e-01      -9.012034106054e-01       3.227856077739e-06      -1.201604547871e+00       3.227855566684e-06       4.631292396363e-08       3.333333333333e-01 
       1.182033896155e-01       2.550609891573e-07      -1.201668299517e+00       3.550268814393e-06       1.817867108844e-13       4.544667772110e-13       1.308966325034e-22       9.089335544220e-14      -9.012512246378e-01       3.550268814393e-06       6.012803987686e-01       6.995829950748e-01      -9.012512246378e-01       3.550269272967e-06      -1.201668299997e+00       3.550268593065e-06       5.602097777200e-08       3.333333333333e-01 
       1.289342762671e-01       2.782216660357e-07      -1.201718305673e+00       3.872659167680e-06       2.359411657752e-13       5.898529144379e-13       2.021454067391e-22       1.179705828876e-13      -9.012887292548e-01       3.872659167680e-06       6.012741531623e-01       6.995705068116e-01      -9.012887292548e-01       3.872659762801e-06      -1.201718306244e+00       3.872658880441e-06       6.665254467430e-08       3.333333333333e-01 
       1.396651629186e-01       3.013832440962e-07      -1.201759173506e+00       4.195031806031e-06       2.999064117523e-13       7.497660293809e-13       3.015103467293e-22       1.499532058762e-13      -9.013193801293e-01       4.195031806031e-06       6.012694025937e-01       6.995603042823e-01      -9.013193801293e-01       4.195032562422e-06      -1.201759174176e+00       4.195031440943e-06       7.820756656543e-08       3.333333333333e-01 
       1.503960495702e-01       3.245457233389e-07      -1.201793729191e+00       4.517389998325e-06       3.744996264863e-13       9.362490662158e-13       4.365976893620e-22       1.872498132432e-13      -9.013452968935e-01       4.517389998325e-06       6.012657242258e-01       6.995516809429e-01      -9.013452968935e-01       4.517390942765e-06      -1.201793729969e+00       4.517389542454e-06       9.068601407002e-08       3.333333333333e-01 
       1.611269362217e-01       3.477091037638e-07      -1.201823809063e+00       4.839736049382e-06       4.605380914818e-13       1.151345228705e-12       6.162769759041e-22       2.302690457409e-13      -9.013678567976e-01       4.839736049382e-06       6.012628392229e-01       6.995441777099e-01      -9.013678567977e-01       4.839737210707e-06      -1.201823809956e+00       4.839735488799e-06       1.040878559518e-07       3.333333333333e-01 
       1.718578228733e-01       3.708733853709e-07      -1.201850679965e+00       5.162071797103e-06       5.588392103604e-13       1.397098025901e-12       8.507784293562e-22       2.794196051802e-13      -9.013880099741e-01       5.162071797103e-06       6.012605538893e-01       6.995374778725e-01      -9.013880099742e-01       5.162073206204e-06      -1.201850680980e+00       5.162071116885e-06       1.184130547006e-07       3.333333333333e-01 
       1.960343726758e-01       4.230655166728e-07      -1.201903474142e+00       5.888258544648e-06       8.294935695392e-13       2.073733923848e-12       1.643260979637e-21       4.147467847696e-13      -9.014276056062e-01       5.888258544648e-06       6.012569367144e-01       6.995243238550e-01      -9.014276056063e-01       5.888260635864e-06      -1.201903475462e+00       5.888257535040e-06       1.540710138006e-07       3.333333333333e-01 
       2.202109224784e-01       4.752622223314e-07      -1.201949691164e+00       6.614408528818e-06       1.175893267105e-12       2.939733167762e-12       2.939765949979e-21       5.879466335524e-13      -9.014622683732e-01       6.614408528818e-06       6.012547398117e-01       6.995128199779e-01      -9.014622683734e-01       6.614411492891e-06      -1.201949692830e+00       6.614407097641e-06       1.944154250769e-07       3.333333333333e-01 
       2.443874722809e-01       5.274635023468e-07      -1.201992199094e+00       7.340527270276e-06       1.607391946631e-12       4.018479866578e-12       4.949768404773e-21       8.036959733157e-13      -9.014941493203e-01       7.340527270276e-06       6.012534019143e-01       6.995022492259e-01      -9.014941493206e-01       7.340531321443e-06      -1.201992201146e+00       7.340525313968e-06       2.394460794139e-07       3.333333333333e-01 
       2.685640220834e-01       5.796693567190e-07      -1.202032592859e+00       8.066618671561e-06       2.133346105719e-12       5.333365264299e-12       7.934147456002e-21       1.066673052860e-12      -9.015244446440e-01       8.066618671561e-06       6.012525757024e-01       6.994922128666e-01      -9.015244446444e-01       8.066624047552e-06      -1.202032595337e+00       8.066616075173e-06       2.891628245410e-07       3.333333333333e-01 
       2.927405718860e-01       6.318797854479e-07      -1.202071739603e+00       8.792685144790e-06       2.763114970319e-12       6.907787425797e-12       1.221085692460e-20       1.381557485159e-12      -9.015538047022e-01       8.792685144790e-06       6.012520725596e-01       6.994824941138e-01      -9.015538047027e-01       8.792692106821e-06      -1.202071742547e+00       8.792681781987e-06       3.435654911591e-07       3.333333333333e-01 
       3.169171216885e-01       6.840947885335e-07      -1.202110109829e+00       9.518728093792e-06       3.506060436897e-12       8.765151092242e-12       1.816060133466e-20       1.753030218448e-12      -9.015825823718e-01       9.518728093792e-06       6.012517906218e-01       6.994729753418e-01      -9.015825823725e-01       9.518736926558e-06      -1.202110113279e+00       9.518723826845e-06       4.026539087518e-07       3.333333333333e-01 
       3.488258887310e-01       7.530163545260e-07      -1.202159905203e+00       1.047694071508e-05       4.675740806074e-12       1.168935201519e-11       2.934522937899e-20       2.337870403037e-12      -9.016199289026e-01       1.047694071508e-05       6.012516740409e-01       6.994606328377e-01      -9.016199289036e-01       1.047695249249e-05      -1.202159909383e+00       1.047693502468e-05       4.878132117822e-07       3.333333333333e-01 
       3.807346557735e-01       8.219458887406e-07      -1.202209031648e+00       1.143511338364e-05       6.080415632180e-12       1.520103908045e-11       4.546717641702e-20       3.040207816090e-12      -9.016567737357e-01       1.143511338364e-05       6.012517698322e-01       6.994484677579e-01      -9.016567737371e-01       1.143512869645e-05      -1.202209036626e+00       1.143510598381e-05       5.811341858243e-07       3.333333333333e-01 
       4.126434228160e-01       8.908833911773e-07      -1.202257775839e+00       1.239324724112e-05       7.741629568384e-12       1.935407392096e-11       6.800680538714e-20       3.870814784192e-12      -9.016933318792e-01       1.239324724112e-05       6.012520018436e-01       6.994364084324e-01      -9.016933318812e-01       1.239326673404e-05      -1.202257781687e+00       1.239323781969e-05       6.826164919585e-07       3.333333333333e-01 
       4.445521898585e-01       9.598288618362e-07      -1.202306438136e+00       1.335134453622e-05       9.680936521111e-12       2.420234130278e-11       9.871502163494e-20       4.840468260556e-12      -9.017298286021e-01       1.335134453622e-05       6.012522971444e-01       6.994243797711e-01      -9.017298286049e-01       1.335136890786e-05      -1.202306444923e+00       1.335133275480e-05       7.922597535741e-07       3.333333333333e-01 
