# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.60881e-06 to 21.9587 h/Mpc,
# number of wavenumbers equal to 853
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       5.056678639574e-04      -7.770602387594e-01      -2.707591137316e+00      -2.707729399403e+00      -7.431629763683e-01      -1.402592675896e+00      -2.707103299991e+00       4.471757105682e-01       4.471763794343e-01 
       5.374071853343e-04      -7.181560049483e-01      -3.056777213864e+00      -3.056947971158e+00      -6.815448795815e-01      -1.371376323389e+00      -3.056187456600e+00       4.469521696013e-01       4.469574670494e-01 
       5.711927319294e-04      -6.499565154911e-01      -3.451477282445e+00      -3.451687459807e+00      -6.114807770655e-01      -1.304568350317e+00      -3.450773618151e+00       4.467077793660e-01       4.467165457715e-01 
       6.071797585811e-04      -5.776194630052e-01      -3.897922776578e+00      -3.898180524074e+00      -5.385004796120e-01      -1.197462987093e+00      -3.897093756067e+00       4.464407661509e-01       4.464517324449e-01 
       6.455249558241e-04      -5.077992794182e-01      -4.403090261025e+00      -4.403405073304e+00      -4.696193060290e-01      -1.047005975782e+00      -4.402125313555e+00       4.461492063196e-01       4.461610752969e-01 
       6.863834258880e-04      -4.478897334592e-01      -4.974729165589e+00      -4.975111958847e+00      -4.125094854219e-01      -8.529958546132e-01      -4.973618685091e+00       4.458310068500e-01       4.458425618577e-01 
       7.299050697801e-04      -4.046478511961e-01      -5.621368570366e+00      -5.621831716725e+00      -3.740286081263e-01      -6.195058870387e-01      -5.620103571400e+00       4.454838922039e-01       4.454941236682e-01 
       7.762304804195e-04      -3.822690254955e-01      -6.352297040784e+00      -6.352854311251e+00      -3.581929759617e-01      -3.563428588174e-01      -6.350868188519e+00       4.451054077515e-01       4.451136377539e-01 
       8.254865149471e-04      -3.803070609491e-01      -7.177510173070e+00      -7.178176607618e+00      -3.640197872366e-01      -8.019618170891e-02      -7.175906163750e+00       4.446929555813e-01       4.446989306618e-01 
       8.777817983007e-04      -3.922303638596e-01      -8.107622251454e+00      -8.108413966172e+00      -3.840785018105e-01       1.850492744884e-01      -8.105827744406e+00       4.442438747003e-01       4.442477919636e-01 
       9.332024751379e-04      -4.057070834584e-01      -9.153741218763e+00      -9.154675066722e+00      -4.048863754433e-01       4.094951398815e-01      -9.151734759678e+00       4.437555720120e-01       4.437580096583e-01 
       9.918085613878e-04      -4.055583548633e-01      -1.032730940003e+01      -1.032840266301e+01      -4.101078997253e-01       5.605423221462e-01      -1.032506226250e+01       4.432256948143e-01       4.432274407038e-01 
       1.053631235555e-03      -3.794094377646e-01      -1.163991677275e+01      -1.164118682311e+01      -3.865365880605e-01       6.086642784635e-01      -1.163739343893e+01       4.426523149406e-01       4.426541240795e-01 
       1.118671346315e-03      -3.243452519631e-01      -1.310309678034e+01      -1.310456085722e+01      -3.310433662160e-01       5.352788506285e-01      -1.310025743965e+01       4.420340749701e-01       4.420364281280e-01 
       1.186899301353e-03      -2.511043050689e-01      -1.472811736679e+01      -1.472979253890e+01      -2.548635593680e-01       3.413284268413e-01      -1.472492172469e+01       4.413702425800e-01       4.413732004445e-01 
