# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ddec[0]        15:(.)p_ddec[0]          16:(.)rho_lambda         17:(.)rho_crit           18:gr.fac. D             19:gr.fac. f          
       9.326212236469e+13       8.413075914909e-26       4.811226972379e-09       1.938389602018e+22       1.395428497666e+04       1.496243557711e-10       1.301406233005e+18       2.777816771016e-09       2.081614238068e+44       2.017959657592e+33       1.067863528163e+34       1.439362795135e+44       4.797875983783e+43       2.363772158819e+43       7.879240529395e+42       4.623070212068e-08       3.757354249212e+44       8.734473403861e-07       1.433565615564e+01 
       9.261382558559e+13       8.531271218437e-26       4.845787771046e-09       1.911534454467e+22       1.395428497666e+04       1.506717262615e-10       1.292359715000e+18       2.797261488414e-09       2.024334923495e+44       1.976168935292e+33       1.045748721263e+34       1.399756170228e+44       4.665853900760e+43       2.298728767690e+43       7.662429225635e+42       4.623070212068e-08       3.653963970616e+44       9.607920744246e-07       1.303241468694e+01 
       9.197003533823e+13       8.651127047785e-26       4.878529580310e-09       1.885051367801e+22       1.395428497666e+04       1.517264283453e-10       1.283376082423e+18       2.816842318832e-09       1.968631751041e+44       1.935243673539e+33       1.024091898619e+34       1.361239391983e+44       4.537464639942e+43       2.235475161044e+43       7.451583870148e+42       4.623070212068e-08       3.553418659250e+44       1.048136808463e-06       1.194638012970e+01 
       9.133072029615e+13       8.772666731679e-26       4.913090378977e-09       1.858935187355e+22       1.395428497666e+04       1.527885133437e-10       1.274454898136e+18       2.836560215064e-09       1.914461350357e+44       1.895165949170e+33       1.002883575656e+34       1.323782471331e+44       4.412608237769e+43       2.173962089781e+43       7.246540299269e+42       4.623070212068e-08       3.455640030785e+44       1.135481542502e-06       1.102742781203e+01 
       9.069584935070e+13       8.895913926592e-26       4.947651177645e-09       1.833180829876e+22       1.395428497666e+04       1.538580329371e-10       1.265595728040e+18       2.856416136569e-09       1.861781544502e+44       1.855918210199e+33       9.821144642157e+33       1.287356244408e+44       4.291187481359e+43       2.114141659975e+43       7.047138866583e+42       4.623070212068e-08       3.360551955024e+44       1.222826276540e-06       1.023975439688e+01 
       9.006539160943e+13       9.020892621347e-26       4.982211976312e-09       1.807783282540e+22       1.395428497666e+04       1.549350391677e-10       1.256798141053e+18       2.876411049525e-09       1.810551317112e+44       1.817483268131e+33       9.617754684945e+33       1.251932349844e+44       4.173107832814e+43       2.055967295590e+43       6.853224318633e+42       4.623070212068e-08       3.268080396630e+44       1.310171010579e-06       9.557104103758e+00 
       8.943931639467e+13       9.147627141784e-26       5.016772774979e-09       1.782737601970e+22       1.395428497666e+04       1.560195844419e-10       1.248061709089e+18       2.896545926872e-09       1.760730780460e+44       1.779844290435e+33       9.418576810560e+33       1.217483206684e+44       4.058277355614e+43       1.999393702211e+43       6.664645674036e+42       4.623070212068e-08       3.178153357477e+44       1.397515744617e-06       8.959785097272e+00 
       8.881759324197e+13       9.276142155499e-26       5.051333573647e-09       1.758038913277e+22       1.395428497666e+04       1.571117215330e-10       1.239386007040e+18       2.916821748360e-09       1.712281144399e+44       1.742984793170e+33       9.223523789319e+33       1.183981992911e+44       3.946606643036e+43       1.944376831779e+43       6.481256105930e+42       4.623070212068e-08       3.090700820598e+44       1.484860478656e-06       8.432738915080e+00 
       8.820019189868e+13       9.406462676641e-26       5.087713361718e-09       1.733682409112e+22       1.395428497666e+04       1.582115035837e-10       1.230770612750e+18       2.937239500598e-09       1.665164686165e+44       1.706888633768e+33       9.032510198010e+33       1.151402624562e+44       3.838008748542e+43       1.890873848296e+43       6.302912827655e+42       4.623070212068e-08       3.005654695664e+44       1.572205212694e-06       7.964253419797e+00 
       8.758708232243e+13       9.538614070785e-26       5.122274160385e-09       1.709663348726e+22       1.395428497666e+04       1.593189841088e-10       1.222215107001e+18       2.957800177102e-09       1.619344721000e+44       1.671540003966e+33       8.845452382488e+33       1.119719735424e+44       3.732399118081e+43       1.838843094474e+43       6.129476981579e+42       4.623070212068e-08       2.922948765977e+44       1.659549946733e-06       7.545082187176e+00 
