#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ddec[0]         19:theta_ddec[0]         20:shear_ddec[0]         21:cs2_ddec[0]        
       7.435719694695e-02       1.710133412535e-07      -1.182230345263e+00       2.197404914979e-06       5.094727615257e-14       1.273681903814e-13       1.661102678265e-23       2.547363807628e-14      -8.866727589469e-01       2.197404914979e-06       5.910851576132e-01       7.044424409168e-01      -1.182230345263e+00       2.197404860967e-06       2.178599104963e-08      -8.866727589469e-01       2.197405029157e-06      -1.182230345263e+00       2.197404860970e-06       2.177170685377e-08       3.333333333333e-01 
       7.523085807523e-02       1.730229225526e-07      -1.182232517377e+00       2.223224129924e-06       5.276444852250e-14       1.319111213063e-13       1.761019700168e-23       2.638222426125e-14      -8.866743880326e-01       2.223224129924e-06       5.910884601567e-01       7.044418985320e-01      -1.182232517377e+00       2.223224073986e-06       2.230094192028e-08      -8.866743880326e-01       2.223224248175e-06      -1.182232517377e+00       2.223224073990e-06       2.228357860671e-08       3.333333333333e-01 
       7.610451920352e-02       1.750325098252e-07      -1.182234800617e+00       2.249043574275e-06       5.462433397140e-14       1.365608349285e-13       1.865688434254e-23       2.731216698570e-14      -8.866761004630e-01       2.249043574275e-06       5.910916583351e-01       7.044413283730e-01      -1.182234800617e+00       2.249043516365e-06       2.282190808829e-08      -8.866761004630e-01       2.249043696693e-06      -1.182234800617e+00       2.249043516371e-06       2.280139370622e-08       3.333333333333e-01 
       7.894673518689e-02       1.815701901530e-07      -1.182242807313e+00       2.333041329482e-06       6.097647202817e-14       1.524411800704e-13       2.241129303679e-23       3.048823601408e-14      -8.866821054845e-01       2.333041329482e-06       5.911014261848e-01       7.044393288698e-01      -1.182242807313e+00       2.333041264838e-06       2.455834465025e-08      -8.866821054845e-01       2.333041466133e-06      -1.182242807313e+00       2.333041264852e-06       2.452707128734e-08       3.333333333333e-01 
       8.178895117027e-02       1.881079337010e-07      -1.182251658795e+00       2.417041133463e-06       6.780300643601e-14       1.695075160900e-13       2.674722315175e-23       3.390150321801e-14      -8.866887440966e-01       2.417041133463e-06       5.911103061018e-01       7.044371182492e-01      -1.182251658795e+00       2.417041061582e-06       2.635844573966e-08      -8.866887440966e-01       2.417041285410e-06      -1.182251658795e+00       2.417041061606e-06       2.631561436396e-08       3.333333333333e-01 
       8.463116715364e-02       1.946457404691e-07      -1.182261213888e+00       2.501042866268e-06       7.512103240040e-14       1.878025810010e-13       3.172976681610e-23       3.756051620020e-14      -8.866959104159e-01       2.501042866268e-06       5.911184179194e-01       7.044347318058e-01      -1.182261213888e+00       2.501042786629e-06       2.822221275319e-08      -8.866959104159e-01       2.501043034611e-06      -1.182261213888e+00       2.501042786667e-06       2.816699567255e-08       3.333333333333e-01 
       8.747338313701e-02       2.011836104573e-07      -1.182271263805e+00       2.585046222840e-06       8.294763968415e-14       2.073690992104e-13       3.742870076571e-23       4.147381984207e-14      -8.867034478540e-01       2.585046222840e-06       5.911258849211e-01       7.044322217357e-01      -1.182271263805e+00       2.585046134905e-06       3.014964736215e-08      -8.867034478540e-01       2.585046408718e-06      -1.182271263805e+00       2.585046134960e-06       3.008118843826e-08       3.333333333333e-01 
       9.031559912038e-02       2.077215436657e-07      -1.182281626225e+00       2.669050897256e-06       9.129991686680e-14       2.282497921670e-13       4.391865068941e-23       4.564995843340e-14      -8.867112196685e-01       2.669050897256e-06       5.911328139962e-01       7.044296336198e-01      -1.182281626225e+00       2.669050800466e-06       3.214075093887e-08      -8.867112196685e-01       2.669051101846e-06      -1.182281626225e+00       2.669050800543e-06       3.205816550282e-08       3.333333333333e-01 
       9.315781510376e-02       2.142595400943e-07      -1.182292169926e+00       2.753056646403e-06       1.001949534459e-13       2.504873836149e-13       5.127925518808e-23       5.009747672297e-14      -8.867191274447e-01       2.753056646403e-06       5.911392912703e-01       7.044270002628e-01      -1.182292169926e+00       2.753056540184e-06       3.419552429341e-08      -8.867191274447e-01       2.753056870922e-06      -1.182292169926e+00       2.753056540287e-06       3.409789879490e-08       3.333333333333e-01 
       1.002527317611e-01       2.305803700903e-07      -1.182318963334e+00       2.962761196214e-06       1.248795932248e-13       3.121989830619e-13       7.402044015604e-23       6.243979661239e-14      -8.867392225008e-01       2.962761196214e-06       5.911538596521e-01       7.044203086697e-01      -1.182318963334e+00       2.962761063828e-06       3.960262468536e-08      -8.867392225008e-01       2.962761476032e-06      -1.182318963334e+00       2.962761064014e-06       3.946328362497e-08       3.333333333333e-01 
