#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]           19:delta_ddec[0]         20:theta_ddec[0]         21:shear_ddec[0]         22:cs2_ddec[0]        
       7.933640743502e-02       1.824520831546e-07      -1.182740786746e+00       2.345542940208e-06       6.189960763511e-14       1.547490190878e-13       2.297191439628e-23       3.094980381755e-14      -8.870555900595e-01       2.345542940208e-06       5.971426856137e-01       7.043148343130e-01      -8.870555900595e-01       2.345543078891e-06      -1.182740786962e+00       2.345542874391e-06       2.482518364685e-08       3.333333333333e-01      -1.182740786746e+00       2.345542877107e-06       1.931255850571e-08       3.333333333333e-01 
       8.104673059938e-02       1.863859020266e-07      -1.183232613738e+00       2.397097217331e-06       6.601742382038e-14       1.650435595510e-13       2.556797500597e-23       3.300871191019e-14      -8.874244603037e-01       2.397097217331e-06       5.979382744502e-01       7.041918789168e-01      -8.874244603037e-01       2.397097365177e-06      -1.183232613964e+00       2.397097147165e-06       2.590782021365e-08       3.333333333333e-01      -1.183232613738e+00       2.397097150926e-06       1.931255848980e-08       3.333333333333e-01 
       8.275705376375e-02       1.903197437914e-07      -1.183756712469e+00       2.448760004922e-06       7.031705411482e-14       1.757926352871e-13       2.839487735627e-23       3.515852705741e-14      -8.878175343514e-01       2.448760004922e-06       5.986679740196e-01       7.040608556156e-01      -8.878175343514e-01       2.448760162326e-06      -1.183756712704e+00       2.448759930219e-06       2.701401980034e-08       3.333333333333e-01      -1.183756712469e+00       2.448759935212e-06       1.931255849123e-08       3.333333333333e-01 
       8.699974064958e-02       2.000782667684e-07      -1.185149828287e+00       2.577310943585e-06       8.179246255731e-14       2.044811563933e-13       3.650268052234e-23       4.089623127865e-14      -8.888623712153e-01       2.577310943585e-06       6.002335570397e-01       7.037125802149e-01      -8.888623712153e-01       2.577311126456e-06      -1.185149828547e+00       2.577310856792e-06       2.986011408504e-08       3.333333333333e-01      -1.185149828287e+00       2.577310865678e-06       1.931255847931e-08       3.333333333333e-01 
       9.124242753542e-02       2.098369306171e-07      -1.186611092893e+00       2.706310926346e-06       9.446872451940e-14       2.361718112985e-13       4.637282377979e-23       4.723436225970e-14      -8.899583196699e-01       2.706310926346e-06       6.015122166221e-01       7.033472677995e-01      -8.899583196699e-01       2.706311137292e-06      -1.186611093179e+00       2.706310826220e-06       3.285206694670e-08       3.333333333333e-01      -1.186611092893e+00       2.706310840239e-06       1.931255849245e-08       3.333333333333e-01 
       9.548511442125e-02       2.195957353373e-07      -1.188084537120e+00       2.835648041547e-06       1.084043021424e-13       2.710107553561e-13       5.827817748238e-23       5.420215107122e-14      -8.910634028396e-01       2.835648041547e-06       6.025646064035e-01       7.029789106617e-01      -8.910634028396e-01       2.835648283304e-06      -1.188084537433e+00       2.835647926785e-06       3.599031566289e-08       3.333333333333e-01      -1.188084537120e+00       2.835647947241e-06       1.931255856669e-08       3.333333333333e-01 
       9.972780130708e-02       2.293546809290e-07      -1.189534367235e+00       2.965236927784e-06       1.236576202113e-13       3.091440505282e-13       7.251832109443e-23       6.182881010564e-14      -8.921507754261e-01       2.965236927784e-06       6.034368824241e-01       7.026164572347e-01      -8.921507754261e-01       2.965237203213e-06      -1.189534367577e+00       2.965236797019e-06       3.927519227782e-08       3.333333333333e-01      -1.189534367235e+00       2.965236825277e-06       1.931255856183e-08       3.333333333333e-01 
       1.039704881929e-01       2.391137673924e-07      -1.190938444288e+00       3.095012533496e-06       1.402870954209e-13       3.507177385521e-13       8.942079529893e-23       7.014354771043e-14      -8.932038332157e-01       3.095012533496e-06       6.041645143656e-01       7.022654422568e-01      -8.932038332157e-01       3.095012845587e-06      -1.190938444659e+00       3.095012385299e-06       4.270694636172e-08       3.333333333333e-01      -1.190938444288e+00       3.095012422787e-06       1.931255856651e-08       3.333333333333e-01 
       1.082131750788e-01       2.488729947273e-07      -1.192283777132e+00       3.224925158722e-06       1.583511473837e-13       3.958778684593e-13       1.093423497379e-22       7.917557369187e-14      -8.942128328493e-01       3.224925158722e-06       6.047750346176e-01       7.019291135145e-01      -8.942128328493e-01       3.224925510593e-06      -1.192283777535e+00       3.224924991602e-06       4.628576026410e-08       3.333333333333e-01      -1.192283777132e+00       3.224925039811e-06       1.931255855529e-08       3.333333333333e-01 
       1.189378030812e-01       2.735429151007e-07      -1.195385587286e+00       3.553692394181e-06       2.108028593382e-13       5.270071483456e-13       1.758486665620e-22       1.054014296691e-13      -8.965391904642e-01       3.553692394181e-06       6.059299742365e-01       7.011536730925e-01      -8.965391904643e-01       3.553692861359e-06      -1.195385587772e+00       3.553692172156e-06       5.598882381881e-08       3.333333333333e-01      -1.195385587286e+00       3.553692254531e-06       1.931255849050e-08       3.333333333333e-01 
       1.296624310836e-01       2.982137356054e-07      -1.198053561876e+00       3.882704477884e-06       2.737379703075e-13       6.843449257689e-13       2.713950793619e-22       1.368689851538e-13      -8.985401714070e-01       3.882704477884e-06       6.067025545508e-01       7.004866927371e-01      -8.985401714070e-01       3.882705083150e-06      -1.198053562454e+00       3.882704190012e-06       6.663355931105e-08       3.333333333333e-01      -1.198053561876e+00       3.882704317487e-06       1.931255853645e-08       3.333333333333e-01 
       1.403870590860e-01       3.228854562415e-07      -1.200325284592e+00       4.211744389342e-06       3.481000541592e-13       8.702501353979e-13       4.045877212406e-22       1.740500270796e-13      -9.002439634442e-01       4.211744389342e-06       6.072319727173e-01       6.999187765265e-01      -9.002439634442e-01       4.211745157531e-06      -1.200325285270e+00       4.211744023666e-06       7.822024352865e-08       3.333333333333e-01      -1.200325284592e+00       4.211744208188e-06       1.931255855498e-08       3.333333333333e-01 
       1.511116870884e-01       3.475580770088e-07      -1.202255093532e+00       4.540698701700e-06       4.348327763954e-13       1.087081940989e-12       5.855833020266e-22       2.174163881977e-13      -9.016913201488e-01       4.540698701700e-06       6.076019000381e-01       6.994363399362e-01      -9.016913201488e-01       4.540699659698e-06      -1.202255094316e+00       4.540698245249e-06       9.074876292081e-08       3.333333333333e-01      -1.202255093532e+00       4.540698499777e-06       1.931255852171e-08       3.333333333333e-01 
       1.618363150908e-01       3.722315979074e-07      -1.203896962063e+00       4.869510782655e-06       5.348799507394e-13       1.337199876849e-12       8.262175828424e-22       2.674399753697e-13      -9.029227215469e-01       4.869510782655e-06       6.078644392444e-01       6.990258896237e-01      -9.029227215469e-01       4.869511959401e-06      -1.203896962963e+00       4.869510221443e-06       1.042188135087e-07       3.333333333333e-01      -1.203896962063e+00       4.869510559948e-06       1.931255847884e-08       3.333333333333e-01 
       1.725609430933e-01       3.969060189373e-07      -1.205298733807e+00       5.198155438341e-06       6.491855494171e-13       1.622963873543e-12       1.140133887897e-21       3.245927747086e-13      -9.039740503550e-01       5.198155438341e-06       6.080530684878e-01       6.986754646830e-01      -9.039740503551e-01       5.198156864828e-06      -1.205298734830e+00       5.198154757372e-06       1.186299688084e-07       3.333333333333e-01      -1.205298733807e+00       5.198155194837e-06       1.931255853173e-08       3.333333333333e-01 
       1.966384751776e-01       4.523050807016e-07      -1.207768536755e+00       5.935350171556e-06       9.626154189491e-13       2.406538547373e-12       2.195469391140e-21       4.813077094745e-13      -9.058264025665e-01       5.935350171556e-06       6.083097881978e-01       6.980580586245e-01      -9.058264025666e-01       5.935352282196e-06      -1.207768538084e+00       5.935349161863e-06       1.544097821017e-07       3.333333333333e-01      -1.207768536755e+00       5.935349881290e-06       1.931255847541e-08       3.333333333333e-01 
       2.207160072619e-01       5.077086794297e-07      -1.209561003795e+00       6.671719977145e-06       1.363357787995e-12       3.408394469987e-12       3.917875756282e-21       6.816788939974e-13      -9.071707528465e-01       6.671719977145e-06       6.084374308988e-01       6.976099924566e-01      -9.071707528467e-01       6.671722961706e-06      -1.209561005469e+00       6.671718546568e-06       1.949251119798e-07       3.333333333333e-01      -1.209561003795e+00       6.671719640002e-06       1.931255857321e-08       3.333333333333e-01 
       2.447935393462e-01       5.631168151218e-07      -1.210894497718e+00       7.407378013872e-06       1.862102914672e-12       4.655257286680e-12       6.582825036050e-21       9.310514573360e-13      -9.081708732885e-01       7.407378013872e-06       6.085003813974e-01       6.972766754748e-01      -9.081708732888e-01       7.407382085329e-06      -1.210894499777e+00       7.407376058797e-06       2.401708110546e-07       3.333333333333e-01      -1.210894497718e+00       7.407377629706e-06       1.931255856641e-08       3.333333333333e-01 
       2.688710714305e-01       6.185294877778e-07      -1.211909742576e+00       8.142441326224e-06       2.469545075784e-12       6.173862689460e-12       1.053293529093e-20       1.234772537892e-12      -9.089323069317e-01       8.142441326224e-06       6.085294496617e-01       6.970229266609e-01      -9.089323069320e-01       8.142446720759e-06      -1.211909745059e+00       8.142438731596e-06       2.901426822061e-07       3.333333333333e-01      -1.211909742576e+00       8.142440894855e-06       1.931255850056e-08       3.333333333333e-01 
       2.929486035148e-01       6.739466973977e-07      -1.212699122958e+00       8.877011757921e-06       3.196382302433e-12       7.990955756083e-12       1.618532620568e-20       1.598191151217e-12      -9.095243422185e-01       8.877011757921e-06       6.085402677220e-01       6.968256498632e-01      -9.095243422190e-01       8.877018734911e-06      -1.212699125906e+00       8.877008397250e-06       3.448373299445e-07       3.333333333333e-01      -1.212699122958e+00       8.877011279132e-06       1.931255850164e-08       3.333333333333e-01 
       3.170261355991e-01       7.293684439816e-07      -1.213324606408e+00       9.611172504227e-06       4.053315937007e-12       1.013328984252e-11       2.403898000076e-20       2.026657968503e-12      -9.099934548059e-01       9.611172504227e-06       6.085411654158e-01       6.966693531925e-01      -9.099934548066e-01       9.611181346246e-06      -1.213324609861e+00       9.611168239592e-06       4.042519252787e-07       3.333333333333e-01      -1.213324606408e+00       9.611171977763e-06       1.931255857462e-08       3.333333333333e-01 
       3.487171419474e-01       8.023218276534e-07      -1.213967960138e+00       1.057696592035e-05       5.397561149726e-12       1.349390287432e-11       3.873525567501e-20       2.698780574863e-12      -9.104759701038e-01       1.057696592035e-05       6.085346703521e-01       6.965086213907e-01      -9.104759701048e-01       1.057697768693e-05      -1.213967964316e+00       1.057696023642e-05       4.896445066289e-07       3.333333333333e-01      -1.213967960138e+00       1.057696533067e-05       1.931255850033e-08       3.333333333333e-01 
       3.804081482957e-01       8.752830711605e-07      -1.214465158851e+00       1.154228279993e-05       7.010147004510e-12       1.752536751128e-11       5.987366230274e-20       3.505073502255e-12      -9.108488691384e-01       1.154228279993e-05       6.085242876006e-01       6.963844385432e-01      -9.108488691399e-01       1.154229807361e-05      -1.214465163822e+00       1.154227541190e-05       5.832053696951e-07       3.333333333333e-01      -1.214465158851e+00       1.154228214640e-05       1.931255856295e-08       3.333333333333e-01 
       4.120991546439e-01       9.482521745030e-07      -1.214858705256e+00       1.250721343784e-05       8.915500278308e-12       2.228875069577e-11       8.937273591604e-20       4.457750139154e-12      -9.111440289423e-01       1.250721343784e-05       6.085126609508e-01       6.962861789679e-01      -9.111440289443e-01       1.250723285402e-05      -1.214858711089e+00       1.250720403488e-05       6.849307926879e-07       3.333333333333e-01      -1.214858705256e+00       1.250721271972e-05       1.931255848893e-08       3.333333333333e-01 
       4.437901609922e-01       1.021229137681e-06      -1.215177119334e+00       1.347182773010e-05       1.113805820063e-11       2.784514550157e-11       1.294993291286e-19       5.569029100314e-12      -9.113828395003e-01       1.347182773010e-05       6.085010248151e-01       6.962067126659e-01      -9.113828395029e-01       1.347185197698e-05      -1.215177126098e+00       1.347181597529e-05       7.948177029511e-07       3.333333333333e-01      -1.215177119334e+00       1.347182694649e-05       1.931255853646e-08       3.333333333333e-01 
       4.754811673405e-01       1.094213960694e-06      -1.215439856336e+00       1.443617816669e-05       1.370226643525e-11       3.425566608812e-11       1.828978294111e-19       6.851133217625e-12      -9.115798922518e-01       1.443617816669e-05       6.084899605293e-01       6.961411758210e-01      -9.115798922553e-01       1.443620798529e-05      -1.215439864100e+00       1.443616369709e-05       9.128636017173e-07       3.333333333333e-01      -1.215439856336e+00       1.443617731659e-05       1.931255856229e-08       3.333333333333e-01 
